timestamp,power_draw_w
1763967098,5.36
1763967099,5.16
1763967100,5.15
1763967101,5.29
1763967102,5.09
1763967103,5.05
1763967104,5.23
1763967105,5.14
1763967106,5.17
1763967107,30.57
1763967109,83.40
1763967110,92.98
1763967111,93.47
1763967112,149.47
1763967113,191.39
1763967114,200.51
1763967115,201.62
1763967116,202.16
1763967117,202.83
1763967118,203.65
1763967119,202.96
1763967120,203.47
1763967121,204.43
1763967122,204.89
1763967123,205.85
1763967124,202.93
1763967125,204.40
1763967126,204.33
1763967127,203.22
1763967128,206.09
1763967129,206.31
1763967130,206.75
1763967131,206.55
1763967132,206.71
1763967133,207.49
1763967135,187.40
1763967136,196.18
1763967137,211.05
1763967138,210.59
1763967139,209.42
1763967140,209.66
1763967141,208.80
1763967142,210.99
1763967143,218.50
1763967144,217.57
1763967145,217.49
1763967146,217.05
1763967147,222.60
1763967148,219.99
1763967149,214.94
1763967150,235.04
1763967151,216.96
1763967152,216.76
1763967153,216.28
1763967154,214.41
1763967155,214.18
1763967157,215.09
1763967158,213.31
1763967159,217.27
1763967160,218.44
1763967161,217.84
1763967162,214.09
1763967163,215.43
1763967164,215.57
1763967165,212.57
1763967166,216.86
1763967167,196.34
1763967168,179.77
1763967169,210.02
1763967170,220.89
1763967171,219.95
1763967172,216.79
1763967173,215.72
1763967174,220.47
1763967175,220.78
1763967176,220.15
1763967177,216.89
1763967178,215.91
1763967179,219.23
1763967180,221.19
1763967181,221.37
1763967182,217.03
1763967184,221.80
1763967185,218.90
1763967186,219.93
1763967187,219.78
1763967188,217.31
1763967189,216.44
1763967190,219.85
1763967191,220.15
1763967192,220.44
1763967193,220.61
1763967194,220.87
1763967195,220.66
1763967196,220.75
1763967197,220.48
1763967198,219.29
1763967199,218.24
1763967200,221.08
1763967201,221.40
1763967202,217.56
1763967203,213.81
1763967204,218.70
1763967205,221.84
1763967206,221.65
1763967207,216.65
1763967208,220.33
1763967209,223.31
1763967211,223.47
1763967212,217.68
1763967213,221.86
1763967214,222.84
1763967215,220.37
1763967216,222.42
1763967217,218.41
1763967218,216.31
1763967219,222.09
1763967220,222.40
1763967221,222.56
1763967222,214.33
1763967223,202.11
1763967224,191.54
1763967225,220.22
1763967226,223.74
1763967227,223.02
1763967228,219.18
1763967229,223.11
1763967230,222.96
1763967231,217.76
1763967233,219.42
1763967234,226.76
1763967235,226.28
1763967236,224.02
1763967237,225.97
1763967238,231.23
1763967239,222.65
1763967240,220.94
1763967241,229.95
1763967242,235.27
1763967243,220.68
1763967244,219.79
1763967245,216.73
1763967246,221.87
1763967247,216.87
1763967248,224.95
1763967249,223.18
1763967250,216.79
1763967251,219.44
1763967252,225.38
1763967253,225.50
1763967254,224.82
1763967255,223.67
1763967256,225.47
1763967257,222.70
1763967259,224.51
1763967260,226.48
1763967261,224.48
1763967262,224.76
1763967263,225.78
1763967264,225.65
1763967265,224.01
1763967266,226.35
1763967267,226.47
1763967268,220.36
1763967269,225.94
1763967270,226.04
1763967271,222.88
1763967272,214.77
1763967273,201.10
1763967274,226.23
1763967275,226.47
1763967276,223.10
1763967277,224.83
1763967278,214.98
1763967279,193.24
1763967280,198.82
1763967281,220.72
1763967282,221.86
1763967283,227.05
1763967284,226.26
1763967285,221.97
1763967287,226.81
1763967288,225.17
1763967289,220.38
1763967290,227.06
1763967291,225.79
1763967292,223.08
1763967293,219.99
1763967294,223.66
1763967295,225.09
1763967296,224.21
1763967297,223.12
1763967298,224.43
1763967299,226.24
1763967300,226.39
1763967301,226.35
1763967302,226.35
1763967303,222.13
1763967304,222.65
1763967305,223.31
1763967306,221.36
1763967307,221.98
1763967308,226.40
1763967309,226.35
1763967310,226.24
1763967311,220.61
1763967312,223.56
1763967314,225.18
1763967315,225.34
1763967316,220.96
1763967317,225.30
1763967318,226.12
1763967319,221.67
1763967320,225.92
1763967321,226.10
1763967322,222.66
1763967323,225.63
1763967324,228.05
1763967325,231.05
1763967326,230.52
1763967327,229.06
1763967328,231.51
1763967329,225.67
1763967330,226.69
1763967331,245.05
1763967332,228.96
1763967333,226.09
1763967334,207.04
1763967335,191.71
1763967336,223.64
1763967338,219.34
1763967339,225.06
1763967340,223.10
1763967341,222.62
1763967342,217.74
1763967343,221.25
1763967344,225.48
1763967345,224.50
1763967346,220.23
1763967347,225.45
1763967348,226.60
1763967349,221.91
1763967350,225.07
1763967351,225.58
1763967352,221.16
1763967353,224.92
1763967354,219.89
1763967355,219.47
1763967356,225.43
1763967357,222.11
1763967358,224.45
1763967359,225.57
1763967360,225.40
1763967361,221.22
1763967362,218.97
1763967363,225.59
1763967365,225.42
1763967366,219.63
1763967367,223.15
1763967368,225.41
1763967369,219.25
1763967370,223.92
1763967371,223.62
1763967372,218.13
1763967373,223.36
1763967374,225.34
1763967375,225.37
1763967376,224.44
1763967377,222.03
1763967378,221.31
1763967379,218.08
1763967380,220.07
1763967381,224.85
1763967382,223.83
1763967383,226.64
1763967384,223.18
1763967385,220.94
1763967386,219.54
1763967387,221.18
1763967388,225.36
1763967389,210.17
1763967390,188.64
1763967392,225.41
1763967393,224.32
1763967394,218.94
1763967395,222.61
1763967396,219.65
1763967397,218.55
1763967398,220.95
1763967399,226.12
1763967400,222.29
1763967401,222.45
1763967402,225.18
1763967403,225.51
1763967404,224.77
1763967405,224.75
1763967406,225.22
1763967407,225.20
1763967408,225.25
1763967409,225.34
1763967410,222.09
1763967411,224.20
1763967412,218.06
1763967413,225.14
1763967414,229.31
1763967415,228.12
1763967416,228.15
1763967418,229.76
1763967419,231.00
1763967420,205.46
1763967421,222.65
1763967422,247.96
1763967423,222.04
1763967424,227.22
1763967425,223.55
1763967426,220.65
1763967427,224.40
1763967428,219.33
1763967429,225.24
1763967430,219.53
1763967431,217.67
1763967432,219.49
1763967433,225.75
1763967434,222.26
1763967435,221.65
1763967436,227.58
1763967437,223.35
1763967438,224.80
1763967439,226.00
1763967440,223.42
1763967441,220.87
1763967443,225.93
1763967444,225.14
1763967445,223.84
1763967446,203.84
1763967447,194.93
1763967448,223.67
1763967449,223.99
1763967450,224.98
1763967451,225.54
1763967452,225.61
1763967453,222.96
1763967454,224.36
1763967455,224.51
1763967456,220.82
1763967457,225.75
1763967458,225.61
1763967459,220.83
1763967460,223.31
1763967461,225.94
1763967462,225.58
1763967463,225.40
1763967464,225.80
1763967465,223.20
1763967466,224.68
1763967467,225.69
1763967468,225.48
1763967469,225.23
1763967471,225.55
1763967472,225.14
1763967473,220.96
1763967474,222.41
1763967475,220.83
1763967476,219.38
1763967477,226.60
1763967478,226.52
1763967479,222.26
1763967480,223.71
1763967481,226.78
1763967482,223.33
1763967483,220.83
1763967484,225.98
1763967485,223.37
1763967486,215.95
1763967487,223.27
1763967488,226.94
1763967489,224.58
1763967490,219.45
1763967491,221.53
1763967492,221.43
1763967493,226.44
1763967494,225.01
1763967495,220.11
1763967497,220.39
1763967498,224.98
1763967499,225.86
1763967500,225.90
1763967501,210.23
1763967502,190.88
1763967503,217.06
1763967504,229.08
1763967505,228.80
1763967506,227.47
1763967507,228.51
1763967508,230.83
1763967509,232.09
1763967510,227.28
1763967511,222.36
1763967512,245.62
1763967513,224.63
1763967514,227.77
1763967515,224.12
1763967516,223.02
1763967517,220.42
1763967518,214.54
1763967519,219.33
1763967520,225.14
1763967521,220.92
1763967522,224.78
1763967524,225.91
1763967525,225.59
1763967526,221.66
1763967527,221.71
1763967528,225.67
1763967529,223.74
1763967530,218.90
1763967531,218.75
1763967532,223.33
1763967533,221.70
1763967534,225.85
1763967535,227.61
1763967536,223.40
1763967537,224.68
1763967538,226.83
1763967539,225.77
1763967540,222.69
1763967541,219.70
1763967542,224.33
1763967543,225.81
1763967544,226.02
1763967545,223.81
1763967546,224.49
1763967547,220.42
1763967548,220.77
1763967549,225.92
1763967551,221.61
1763967552,223.42
1763967553,226.43
1763967554,224.07
1763967555,223.92
1763967556,220.96
1763967557,200.92
1763967558,195.77
1763967559,219.06
1763967560,219.44
1763967561,225.02
1763967562,224.15
1763967563,222.56
1763967564,225.59
1763967565,226.16
1763967566,204.86
1763967567,220.57
1763967568,223.89
1763967569,225.83
1763967570,225.14
1763967571,222.62
1763967572,225.73
1763967573,219.80
1763967574,224.51
1763967575,219.38
1763967577,221.55
1763967578,224.52
1763967579,225.51
1763967580,222.88
1763967581,225.59
1763967582,224.15
1763967583,220.32
1763967584,219.19
1763967585,224.22
1763967586,223.80
1763967587,226.15
1763967588,224.41
1763967589,227.84
1763967590,223.31
1763967591,226.26
1763967592,223.67
1763967593,217.61
1763967594,229.45
1763967595,229.32
1763967596,229.32
1763967597,227.65
1763967598,230.57
1763967599,230.66
1763967600,227.88
1763967601,224.61
1763967602,243.32
1763967604,225.57
1763967605,227.95
1763967606,223.67
1763967607,217.65
1763967608,218.12
1763967609,221.22
1763967610,226.12
1763967611,226.48
1763967612,217.21
1763967613,201.00
1763967614,198.73
1763967615,226.54
1763967616,225.15
1763967617,224.34
1763967618,225.62
1763967619,226.27
1763967620,226.28
1763967621,224.56
1763967622,222.56
1763967623,227.29
1763967624,225.62
