timestamp,power_draw_w
1763883691,182.71
1763883692,182.53
1763883693,182.37
1763883694,182.24
1763883696,182.16
1763883697,182.32
1763883698,182.24
1763883699,182.15
1763883700,182.12
1763883701,181.85
1763883702,182.03
1763883703,182.16
1763883704,182.22
1763883705,182.19
1763883706,182.26
1763883707,182.24
1763883708,182.34
1763883709,182.20
1763883710,182.21
1763883711,182.14
1763883712,182.51
1763883713,182.38
1763883714,182.26
1763883715,182.21
1763883716,182.32
1763883717,182.26
1763883718,182.14
1763883719,182.24
1763883720,181.99
1763883721,182.17
1763883723,182.32
1763883724,182.28
1763883725,182.32
1763883726,182.47
1763883727,182.39
1763883728,182.31
1763883729,141.17
1763883730,274.47
1763883731,261.64
1763883732,185.94
1763883733,182.43
1763883734,182.47
1763883735,182.25
1763883736,182.51
1763883737,182.47
1763883738,182.09
1763883739,182.10
1763883740,182.10
1763883741,182.24
1763883742,182.13
1763883743,182.17
1763883744,182.17
1763883745,182.32
1763883746,182.08
1763883747,182.65
1763883748,182.28
1763883749,183.11
1763883751,182.73
1763883752,182.88
1763883753,182.36
1763883754,182.47
1763883755,182.47
1763883756,182.24
1763883757,182.28
1763883758,182.34
1763883759,182.69
1763883760,182.39
1763883761,182.38
1763883762,182.86
1763883763,182.88
1763883764,183.68
1763883765,182.71
1763883766,183.43
1763883767,182.60
1763883768,182.83
1763883769,182.66
1763883770,182.91
1763883771,182.34
1763883772,182.42
1763883773,182.76
1763883774,183.12
1763883775,182.31
1763883776,182.71
1763883777,182.54
