timestamp,gpu_util_percent,memory_util_percent
1763884436,100,75
1763884437,100,73
1763884438,100,73
1763884439,100,72
1763884440,100,75
1763884441,100,74
1763884443,100,75
1763884444,100,75
1763884445,100,75
1763884446,100,75
1763884447,100,73
1763884448,100,75
1763884449,100,74
1763884450,100,75
1763884451,100,75
1763884452,100,74
1763884453,100,74
1763884454,100,75
1763884455,100,74
1763884456,100,75
1763884457,100,75
1763884458,100,74
1763884459,100,74
1763884460,100,74
1763884461,100,75
1763884462,100,74
1763884463,100,75
1763884464,100,73
1763884465,100,74
1763884466,100,73
1763884467,100,74
1763884468,100,74
1763884469,100,75
1763884471,100,75
1763884472,100,75
1763884473,100,75
1763884474,100,74
1763884475,100,75
1763884476,100,75
1763884477,100,74
1763884478,100,74
1763884479,100,75
1763884480,100,75
1763884481,100,74
1763884482,100,75
1763884483,100,75
1763884484,100,74
1763884485,100,73
1763884486,100,75
1763884487,100,75
1763884488,100,75
1763884489,100,75
1763884490,100,75
1763884491,100,75
1763884492,100,73
1763884493,100,73
1763884494,100,74
1763884495,100,74
1763884496,100,74
1763884498,100,74
1763884499,100,74
1763884500,100,75
1763884501,100,75
1763884502,100,75
1763884503,100,75
1763884504,100,75
1763884505,100,75
1763884506,100,75
1763884507,100,74
1763884508,100,74
1763884509,100,75
1763884510,100,75
1763884511,100,75
1763884512,100,75
1763884513,100,75
1763884514,100,75
1763884515,100,74
1763884516,100,74
1763884517,100,74
1763884518,100,75
1763884519,100,75
1763884520,100,75
1763884521,100,74
1763884522,100,75
1763884523,24,5
1763884525,100,100
1763884526,100,100
1763884527,100,98
1763884528,100,78
1763884529,100,78
1763884530,100,79
1763884531,100,78
1763884532,100,78
1763884533,100,80
1763884534,100,79
