timestamp,gpu_util_percent,memory_util_percent
1763817293,100,73
1763817294,100,73
1763817295,100,73
1763817296,100,73
1763817298,100,73
1763817299,100,73
1763817300,100,71
1763817301,100,74
1763817302,100,74
1763817303,100,74
1763817304,100,74
1763817305,100,74
1763817306,100,74
1763817307,100,73
1763817308,100,74
1763817309,100,74
1763817310,100,75
1763817311,100,74
1763817312,100,74
1763817313,100,74
1763817314,100,74
1763817315,100,74
1763817316,100,74
1763817317,100,74
1763817318,100,74
1763817319,100,74
1763817320,100,75
1763817321,100,75
1763817322,100,75
1763817323,100,74
1763817325,100,73
1763817326,100,72
1763817327,100,72
1763817328,100,73
1763817329,100,75
1763817330,100,74
1763817331,100,75
1763817332,100,74
1763817333,100,75
1763817334,100,74
1763817335,100,75
1763817336,100,75
1763817337,100,74
1763817338,100,74
1763817339,100,75
1763817340,100,74
1763817341,100,74
1763817342,100,74
1763817343,100,74
1763817344,100,73
1763817345,100,74
1763817346,100,76
1763817347,100,75
1763817349,100,75
1763817350,100,75
1763817351,100,75
1763817352,100,75
1763817353,100,76
1763817354,100,74
1763817355,100,74
1763817356,100,75
1763817357,100,77
1763817358,100,75
1763817359,100,74
1763817360,100,74
1763817361,100,74
1763817362,100,75
1763817363,100,76
1763817364,100,75
1763817365,100,75
1763817366,100,74
1763817367,100,74
1763817368,100,75
1763817369,100,75
1763817370,100,74
1763817371,100,74
1763817372,100,75
1763817373,100,74
1763817374,100,75
1763817375,100,75
1763817377,100,75
1763817378,100,75
1763817379,100,74
1763817380,100,72
1763817381,2,1
1763817382,100,100
1763817383,100,100
1763817384,100,84
1763817385,100,84
1763817386,100,85
1763817387,100,84
1763817388,100,85
1763817389,100,84
1763817390,100,84
1763817391,100,84
1763817392,100,84
1763817393,100,84
1763817394,100,85
1763817395,100,84
1763817396,100,84
1763817397,100,85
1763817398,100,85
1763817399,100,85
1763817400,100,84
1763817401,100,85
1763817402,100,84
1763817404,100,84
1763817405,100,84
1763817406,100,84
1763817407,100,84
1763817408,100,82
1763817409,100,83
1763817410,100,83
1763817411,100,84
1763817412,100,84
1763817413,100,85
1763817414,100,85
1763817415,100,84
1763817416,100,84
1763817417,100,84
1763817418,100,85
1763817419,100,84
1763817420,100,84
1763817421,100,84
1763817422,100,85
1763817423,100,84
1763817424,100,83
