timestamp,power_draw_w
1763817776,184.59
1763817777,184.80
1763817778,185.32
1763817779,184.71
1763817780,184.71
1763817781,184.95
1763817782,184.40
1763817783,183.68
1763817784,184.02
1763817785,184.24
1763817786,184.23
1763817787,184.39
1763817788,184.27
1763817789,184.16
1763817790,184.22
1763817791,184.42
1763817792,184.00
1763817793,184.02
1763817794,184.16
1763817795,184.10
1763817796,184.11
1763817797,184.34
1763817798,184.16
1763817799,183.85
1763817800,184.02
1763817801,184.30
1763817803,183.77
1763817804,184.35
1763817805,184.32
1763817806,184.35
1763817807,184.63
1763817808,184.20
1763817809,184.09
1763817810,183.82
1763817811,184.23
1763817812,184.57
1763817813,184.70
1763817814,184.04
1763817815,184.06
1763817816,184.49
1763817817,184.72
1763817818,184.30
1763817819,184.63
1763817820,183.90
1763817821,183.38
1763817822,183.29
1763817823,183.62
1763817824,182.95
1763817825,183.21
1763817826,183.53
1763817827,166.66
1763817829,219.96
1763817830,318.84
1763817831,288.48
1763817832,207.21
1763817833,186.75
1763817834,187.47
1763817835,186.42
1763817836,187.03
1763817837,187.19
1763817838,187.07
1763817839,186.99
1763817840,187.09
1763817841,186.75
1763817842,187.00
1763817843,187.20
1763817844,186.91
1763817845,187.29
1763817846,187.28
1763817847,187.30
1763817848,187.08
1763817849,187.53
1763817850,187.56
1763817851,187.07
1763817852,187.46
1763817853,187.10
1763817854,187.23
1763817855,187.17
1763817857,187.17
1763817858,187.25
1763817859,187.36
1763817860,187.28
1763817861,187.11
1763817862,188.23
1763817863,188.11
1763817864,187.92
1763817865,187.26
1763817866,187.15
1763817867,186.87
1763817868,187.28
1763817869,187.21
1763817870,186.99
1763817871,187.15
1763817872,187.07
1763817873,187.07
1763817874,187.44
1763817875,187.10
1763817876,187.45
1763817877,187.28
1763817878,187.05
1763817879,186.74
1763817880,187.22
1763817881,187.49
1763817882,187.24
1763817884,187.14
1763817885,187.19
1763817886,186.94
1763817887,187.02
1763817888,186.74
1763817889,186.91
1763817890,186.19
1763817891,186.10
1763817892,185.67
1763817893,186.52
1763817894,186.63
1763817895,186.74
1763817896,186.82
1763817897,186.36
1763817898,186.77
1763817899,187.09
1763817900,187.28
1763817901,187.00
1763817902,186.94
1763817903,186.79
1763817904,186.49
1763817905,187.04
1763817906,186.58
1763817907,186.49
1763817908,186.99
1763817909,186.70
1763817911,186.65
1763817912,186.70
1763817913,187.10
1763817914,186.84
1763817915,187.15
1763817916,187.00
1763817917,186.87
1763817918,186.45
1763817919,186.17
1763817920,185.31
1763817921,185.92
1763817922,185.87
1763817923,185.52
1763817924,186.11
1763817925,185.65
1763817926,185.78
1763817927,185.57
1763817928,186.01
1763817929,185.94
1763817930,186.18
1763817931,185.88
1763817932,186.29
1763817933,186.42
1763817935,186.57
1763817936,186.33
1763817937,187.16
1763817938,187.15
1763817939,187.49
1763817940,186.94
1763817941,187.24
1763817942,186.95
1763817943,187.54
1763817944,188.33
1763817945,187.43
1763817946,187.23
1763817947,187.27
1763817948,187.40
1763817949,187.28
1763817950,186.90
1763817951,186.89
1763817952,187.06
1763817953,187.08
1763817954,186.79
1763817955,187.11
1763817956,187.01
1763817957,187.29
1763817958,187.06
1763817959,172.04
1763817960,212.18
1763817962,309.72
1763817963,243.23
1763817964,178.45
1763817965,179.00
1763817966,178.92
1763817967,178.96
1763817968,178.82
1763817969,178.94
1763817970,178.73
1763817971,179.17
1763817972,179.05
1763817973,178.92
1763817974,178.60
1763817975,178.64
1763817976,178.76
1763817977,179.06
1763817978,179.01
1763817979,178.56
1763817980,178.77
1763817981,178.89
1763817982,178.99
1763817983,179.13
1763817984,178.89
1763817985,178.82
1763817986,178.79
1763817987,178.88
1763817988,178.56
1763817990,178.35
1763817991,178.34
1763817992,178.87
1763817993,178.59
1763817994,178.59
1763817995,178.41
1763817996,178.28
1763817997,178.57
1763817998,179.11
1763817999,178.52
1763818000,178.84
1763818001,179.24
1763818002,178.10
1763818003,178.80
1763818004,178.90
1763818005,178.60
1763818006,178.90
1763818007,178.21
1763818008,178.64
1763818009,178.71
1763818010,178.65
1763818011,178.62
1763818012,178.05
1763818013,178.35
1763818014,178.10
1763818015,178.40
1763818017,178.66
1763818018,182.10
1763818019,186.82
1763818020,185.59
1763818021,185.77
1763818022,185.77
1763818023,185.90
1763818024,185.69
1763818025,185.91
1763818026,186.37
1763818027,186.64
1763818028,186.38
1763818029,186.31
1763818030,185.72
1763818031,185.64
1763818032,185.71
1763818033,185.56
1763818034,186.86
1763818035,186.08
1763818036,186.12
1763818037,187.13
1763818038,186.84
1763818039,186.78
1763818040,186.67
1763818042,186.92
1763818043,187.22
1763818044,186.89
1763818045,186.91
1763818046,186.77
1763818047,187.18
1763818048,186.75
1763818049,186.91
1763818050,186.77
1763818051,187.09
1763818052,186.79
1763818053,186.95
1763818054,186.81
1763818055,186.54
1763818056,185.68
1763818057,186.89
1763818058,186.45
1763818059,186.29
1763818060,186.47
1763818061,186.61
1763818062,186.74
1763818063,186.69
1763818064,187.01
1763818065,186.98
1763818066,186.59
1763818068,186.97
1763818069,186.88
1763818070,187.10
1763818071,187.13
1763818072,186.76
1763818073,186.49
1763818074,186.72
1763818075,186.95
1763818076,187.12
1763818077,186.87
1763818078,186.79
1763818079,186.95
1763818080,186.73
1763818081,185.81
1763818082,186.42
1763818083,185.79
1763818084,186.44
