timestamp,gpu_util_percent,memory_util_percent
1763805558,100,70
1763805559,100,70
1763805560,100,70
1763805561,100,70
1763805562,100,70
1763805563,100,70
1763805564,100,70
1763805565,100,70
1763805566,100,70
1763805567,100,70
1763805568,100,70
1763805569,100,70
1763805571,100,70
1763805572,100,70
1763805573,100,70
1763805574,100,70
1763805575,100,70
1763805576,100,70
1763805577,100,70
1763805578,100,70
1763805579,100,70
1763805580,100,71
1763805581,100,71
1763805582,100,70
1763805583,100,71
1763805584,100,71
1763805585,100,72
1763805586,100,72
1763805587,100,72
1763805588,100,72
1763805589,100,72
1763805590,100,72
1763805591,100,72
1763805593,100,72
1763805594,100,72
1763805595,100,73
1763805596,100,73
1763805597,100,73
1763805598,100,73
1763805599,100,74
1763805600,100,73
1763805601,100,72
1763805602,100,73
1763805603,100,74
1763805604,100,72
1763805605,100,73
1763805606,100,73
1763805607,100,72
1763805608,100,72
1763805609,100,72
1763805610,100,73
1763805611,100,73
1763805612,100,72
1763805613,100,72
1763805614,100,72
1763805615,100,72
1763805616,100,73
1763805617,100,73
1763805618,100,73
1763805619,100,73
1763805620,100,72
1763805622,100,72
1763805623,100,73
1763805624,100,72
1763805625,100,73
1763805626,100,73
1763805627,100,72
1763805628,100,73
1763805629,100,72
1763805630,100,72
1763805631,100,73
1763805632,100,72
1763805633,100,72
1763805634,100,72
1763805635,100,73
1763805636,100,73
1763805637,100,74
1763805638,100,72
1763805639,100,72
1763805640,100,72
1763805641,100,74
1763805642,100,73
1763805643,100,73
1763805644,100,73
1763805645,100,73
1763805646,100,74
1763805647,100,72
1763805648,100,73
1763805650,100,72
1763805651,100,73
1763805652,100,72
1763805653,100,73
1763805654,100,73
1763805655,100,72
1763805656,100,72
1763805657,100,72
1763805658,100,74
1763805659,100,72
1763805660,100,74
1763805661,100,74
1763805662,100,74
1763805663,100,73
1763805664,100,73
1763805665,100,73
1763805666,100,73
1763805667,100,73
1763805668,100,73
1763805669,100,73
1763805670,100,74
1763805671,100,74
1763805672,100,73
1763805673,100,74
1763805674,100,73
1763805675,100,74
1763805676,100,74
1763805678,100,73
1763805679,100,73
1763805680,100,74
1763805681,100,74
1763805682,100,74
1763805683,100,74
1763805684,100,74
1763805685,100,73
1763805686,100,73
1763805687,100,73
1763805688,100,72
1763805689,100,73
1763805690,100,73
1763805691,100,73
1763805692,100,73
1763805693,100,74
1763805694,100,73
1763805695,100,72
1763805696,100,73
1763805697,100,73
1763805698,100,73
1763805699,100,74
1763805700,100,74
1763805701,100,72
1763805702,100,73
1763805703,100,72
1763805704,100,73
1763805706,100,73
1763805707,100,73
1763805708,100,74
1763805709,100,73
1763805710,100,67
1763805711,100,100
1763805712,100,100
