timestamp,power_draw_w
1763811020,183.91
1763811021,183.68
1763811022,183.68
1763811023,183.52
1763811024,183.38
1763811025,183.25
1763811026,183.58
1763811027,183.44
1763811028,183.40
1763811029,183.52
1763811030,182.89
1763811031,182.94
1763811032,182.81
1763811033,183.61
1763811034,183.69
1763811036,182.57
1763811037,182.67
1763811038,182.61
1763811039,183.49
1763811040,183.51
1763811041,182.75
1763811042,182.47
1763811043,182.62
1763811044,183.44
1763811045,183.51
1763811046,183.35
1763811047,182.64
1763811048,182.43
1763811049,183.34
1763811050,183.73
1763811051,183.38
1763811052,182.99
1763811053,182.95
1763811054,183.04
1763811055,183.53
1763811056,183.28
1763811057,182.74
1763811058,183.23
1763811059,183.90
1763811060,183.71
1763811061,183.09
1763811062,182.69
1763811064,183.66
1763811065,183.49
1763811066,182.68
1763811067,182.78
1763811068,182.91
1763811069,183.67
1763811070,183.58
1763811071,183.44
1763811072,182.64
1763811073,176.10
1763811074,312.92
1763811075,317.17
1763811076,289.79
1763811077,251.19
1763811078,218.58
1763811079,194.28
1763811080,194.85
1763811081,195.05
1763811082,194.51
1763811083,194.51
1763811084,195.37
1763811085,195.47
1763811086,194.81
1763811087,195.22
1763811088,195.00
1763811089,195.21
1763811090,195.38
1763811092,195.46
1763811093,194.60
1763811094,195.00
1763811095,195.21
1763811096,194.96
1763811097,195.05
1763811098,194.75
1763811099,195.17
1763811100,194.42
1763811101,194.97
1763811102,195.12
1763811103,195.81
1763811104,194.82
1763811105,195.03
1763811106,195.17
1763811107,195.12
1763811108,194.96
1763811109,195.10
1763811110,195.82
1763811111,194.99
1763811112,195.39
1763811113,194.90
1763811114,195.56
1763811115,195.53
1763811116,195.47
1763811117,194.84
1763811119,195.25
1763811120,195.14
1763811121,195.21
1763811122,195.83
1763811123,195.01
1763811124,195.54
1763811125,195.38
1763811126,195.40
1763811127,193.96
1763811128,180.16
1763811129,210.13
1763811130,213.72
1763811131,212.12
1763811132,195.34
1763811133,183.82
1763811134,184.56
1763811135,184.51
1763811136,184.41
1763811137,183.49
1763811138,184.01
1763811139,184.33
1763811140,184.41
1763811141,184.65
1763811142,184.24
1763811143,184.36
1763811144,184.53
1763811145,184.45
1763811147,184.38
1763811148,184.35
1763811149,184.73
1763811150,184.73
1763811151,183.96
1763811152,184.00
1763811153,183.72
1763811154,184.69
1763811155,184.92
1763811156,183.99
1763811157,183.90
1763811158,184.27
1763811159,184.32
1763811160,184.78
1763811161,184.86
1763811162,184.21
1763811163,184.69
1763811164,184.18
1763811165,184.03
1763811166,184.12
1763811167,184.89
1763811168,184.65
1763811169,184.79
1763811170,183.85
1763811171,183.98
1763811172,184.63
1763811174,184.44
1763811175,184.13
1763811176,183.68
1763811177,183.80
1763811178,184.54
1763811179,184.30
1763811180,184.11
1763811181,183.42
1763811182,183.85
1763811183,183.93
1763811184,184.16
1763811185,183.91
1763811186,184.34
1763811187,184.74
1763811188,184.49
1763811189,183.64
1763811190,183.40
1763811191,183.46
1763811192,184.39
1763811193,184.35
1763811194,184.23
1763811195,184.17
1763811196,184.29
1763811197,183.99
1763811198,183.91
1763811199,183.93
1763811200,184.70
1763811202,184.52
1763811203,184.04
1763811204,184.24
1763811205,184.47
1763811206,184.70
1763811207,183.95
1763811208,183.84
1763811209,184.61
1763811210,184.41
1763811211,183.87
1763811212,183.93
1763811213,184.15
1763811214,184.41
1763811215,184.47
1763811216,184.12
1763811217,183.75
1763811218,184.40
1763811219,183.82
1763811220,183.40
1763811221,183.63
1763811222,184.69
1763811223,184.57
1763811224,184.62
1763811225,184.00
1763811226,184.31
1763811227,184.08
1763811228,184.13
1763811230,183.80
1763811231,184.63
1763811232,184.36
1763811233,183.69
1763811234,183.45
1763811235,184.08
1763811236,184.02
1763811237,184.07
1763811238,183.88
1763811239,183.92
1763811240,184.34
1763811241,184.19
1763811242,183.68
1763811243,183.62
1763811244,184.33
1763811245,184.60
1763811246,184.38
1763811247,184.07
1763811248,183.98
1763811249,184.75
1763811250,184.29
1763811251,183.93
