timestamp,gpu_util_percent,memory_util_percent
1763812761,100,100
1763812762,100,100
1763812763,100,100
1763812764,100,99
1763812765,100,96
1763812766,100,90
1763812767,100,84
1763812768,100,84
1763812769,100,83
1763812770,100,88
1763812771,100,83
1763812772,100,84
1763812773,100,83
1763812774,100,83
1763812775,100,85
1763812776,100,82
1763812777,100,83
1763812778,100,84
1763812779,100,88
1763812780,100,84
1763812781,100,84
1763812782,100,84
1763812783,100,87
1763812784,100,87
1763812786,100,83
1763812787,100,84
1763812788,100,84
1763812789,100,86
1763812790,100,84
1763812791,100,84
1763812792,100,85
1763812793,100,86
1763812794,100,84
1763812795,100,84
1763812796,100,86
1763812797,100,85
1763812798,100,85
1763812799,100,85
1763812800,100,86
1763812801,100,84
1763812802,100,85
1763812803,100,88
1763812804,100,83
1763812805,100,84
1763812806,100,85
1763812807,100,86
1763812808,100,84
1763812809,100,85
1763812810,100,86
1763812811,100,85
1763812812,100,84
1763812814,100,85
1763812815,100,86
1763812816,100,84
1763812817,100,85
1763812818,100,87
1763812819,100,84
1763812820,100,84
1763812821,100,87
1763812822,100,85
1763812823,100,84
1763812824,100,84
1763812825,100,86
1763812826,100,83
1763812827,100,85
1763812828,100,86
1763812829,100,85
1763812830,100,84
1763812831,100,85
1763812832,100,86
1763812833,100,85
1763812834,100,84
1763812835,100,88
1763812836,100,84
1763812837,100,85
1763812838,100,87
1763812839,100,86
1763812841,100,84
1763812842,100,85
1763812843,100,86
1763812844,100,85
1763812845,100,82
1763812846,100,83
1763812847,100,84
1763812848,100,84
1763812849,100,86
1763812850,100,83
1763812851,100,85
1763812852,100,86
1763812853,100,85
1763812854,100,85
1763812855,100,85
1763812856,100,86
1763812857,100,84
1763812858,100,85
1763812859,100,87
1763812860,100,84
1763812861,100,85
1763812862,100,87
1763812863,100,84
1763812864,100,85
1763812865,100,87
1763812866,100,85
1763812867,100,84
1763812869,100,84
1763812870,100,87
1763812871,100,84
1763812872,100,84
1763812873,100,87
1763812874,100,84
1763812875,100,84
1763812876,100,85
1763812877,100,85
1763812878,100,83
1763812879,100,84
1763812880,100,86
1763812881,100,85
1763812882,100,84
1763812883,100,84
1763812884,100,88
1763812885,100,83
1763812886,100,84
1763812887,100,85
1763812888,100,87
1763812889,100,84
1763812890,100,84
1763812891,100,88
1763812892,100,83
1763812893,100,84
1763812894,100,84
1763812896,100,88
1763812897,100,84
1763812898,100,84
1763812899,100,85
1763812900,100,87
1763812901,100,83
1763812902,100,85
1763812903,100,87
1763812904,100,83
1763812905,100,84
1763812906,100,84
1763812907,100,86
1763812908,100,84
1763812909,100,85
1763812910,100,84
1763812911,100,84
1763812912,100,84
1763812913,100,85
1763812914,100,85
1763812915,100,84
1763812916,100,87
1763812917,100,84
1763812918,100,84
1763812919,100,84
1763812920,100,85
1763812921,100,82
1763812922,100,84
1763812924,100,88
1763812925,100,84
1763812926,100,84
1763812927,100,84
1763812928,100,87
1763812929,100,84
1763812930,100,85
1763812931,100,87
1763812932,100,84
1763812933,100,84
1763812934,100,85
1763812935,100,88
1763812936,100,84
1763812937,100,85
1763812938,100,85
1763812939,100,87
1763812940,100,84
1763812941,100,85
1763812942,100,89
1763812943,100,86
1763812944,100,84
1763812945,100,85
1763812946,97,70
1763812947,100,97
1763812948,100,98
1763812949,100,97
1763812950,100,96
1763812952,100,86
1763812953,100,62
1763812954,100,62
1763812955,100,65
1763812956,100,67
1763812957,100,73
1763812958,100,69
1763812959,100,68
1763812960,100,72
1763812961,100,75
1763812962,100,75
1763812963,100,74
1763812964,100,74
1763812965,100,73
1763812966,100,74
1763812967,100,74
1763812968,100,74
1763812969,100,76
1763812970,100,78
1763812971,100,75
1763812972,100,75
1763812973,100,74
1763812974,100,70
1763812975,100,83
1763812976,100,83
1763812977,100,83
1763812978,100,79
1763812980,100,79
1763812981,100,80
1763812982,100,81
1763812983,100,80
1763812984,100,80
1763812985,100,81
1763812986,100,84
1763812987,100,80
1763812988,100,83
1763812989,100,80
1763812990,100,79
1763812991,100,80
1763812992,100,81
1763812993,100,80
1763812994,100,80
1763812995,100,80
1763812996,100,81
1763812997,100,84
1763812998,100,83
1763812999,100,84
1763813000,100,81
1763813001,100,80
1763813002,100,79
1763813003,100,76
1763813004,100,79
