timestamp,power_draw_w
1763820601,179.57
1763820602,179.78
1763820603,179.92
1763820604,179.70
1763820605,179.71
1763820606,179.76
1763820607,179.75
1763820608,179.98
1763820609,179.84
1763820610,179.57
1763820611,179.46
1763820613,179.64
1763820614,179.87
1763820615,179.78
1763820616,179.75
1763820617,179.58
1763820618,179.56
1763820619,179.55
1763820620,179.62
1763820621,179.61
1763820622,179.56
1763820623,179.40
1763820624,179.55
1763820625,179.47
1763820627,179.38
1763820628,179.47
1763820629,179.28
1763820630,179.16
1763820631,179.46
1763820632,179.34
1763820633,179.35
1763820634,179.26
1763820635,179.21
1763820636,179.40
1763820637,179.47
1763820638,179.32
1763820639,179.42
1763820641,179.39
1763820642,179.36
1763820643,179.27
1763820644,179.31
1763820645,179.35
1763820646,179.48
1763820647,179.33
1763820648,179.45
1763820649,179.45
1763820650,123.49
1763820651,317.94
1763820652,259.23
1763820653,182.92
1763820654,178.44
1763820655,178.21
1763820657,177.87
1763820658,177.84
1763820659,178.23
1763820660,178.17
1763820661,178.45
1763820662,178.35
1763820663,178.39
1763820664,178.41
1763820665,178.59
1763820666,178.10
1763820667,178.40
1763820668,178.07
1763820669,178.14
1763820670,178.18
1763820671,178.24
1763820672,178.05
1763820673,178.23
1763820675,178.00
1763820676,177.73
1763820677,177.74
1763820678,178.13
1763820679,178.08
1763820680,177.75
1763820681,177.51
1763820682,178.10
1763820683,177.60
1763820684,177.72
1763820685,178.12
1763820686,178.05
1763820687,178.10
1763820688,177.80
1763820690,178.33
1763820691,178.44
1763820692,178.20
1763820693,178.28
1763820694,178.23
1763820695,178.28
1763820696,178.12
1763820697,181.39
1763820698,185.13
1763820699,185.68
1763820700,185.52
1763820701,185.51
1763820702,185.29
1763820703,185.72
1763820704,186.24
1763820705,185.53
1763820706,185.02
1763820708,184.96
1763820709,185.46
1763820710,185.60
1763820711,185.43
1763820712,184.79
1763820713,185.04
1763820714,185.49
1763820715,184.98
1763820716,185.50
1763820717,185.80
1763820718,185.97
1763820719,185.51
1763820720,185.13
1763820721,185.57
1763820722,185.06
1763820724,185.07
1763820725,185.18
1763820726,185.06
1763820727,185.25
1763820728,185.22
1763820729,184.82
1763820730,185.51
1763820731,185.07
1763820732,185.49
1763820733,184.76
1763820734,184.78
1763820735,184.90
1763820736,184.99
1763820738,185.16
1763820739,185.34
1763820740,185.48
1763820741,185.36
1763820742,185.46
1763820743,185.45
1763820744,185.17
1763820745,185.53
1763820746,185.47
1763820747,185.46
1763820748,185.93
1763820749,185.77
1763820750,185.40
1763820751,185.34
1763820753,185.73
1763820754,185.72
1763820755,185.75
1763820756,186.15
1763820757,185.76
1763820758,185.87
1763820759,185.98
1763820760,185.54
1763820761,185.70
1763820762,185.82
1763820763,185.43
1763820764,185.87
1763820765,185.66
1763820766,185.64
1763820768,185.37
1763820769,186.19
1763820770,186.12
1763820771,185.81
1763820772,185.89
1763820773,185.81
1763820774,185.74
1763820775,185.47
1763820776,185.34
1763820777,185.30
1763820778,185.90
1763820779,185.85
1763820781,185.69
1763820782,185.13
1763820783,185.60
1763820784,185.26
1763820785,185.48
1763820786,185.42
1763820787,185.81
1763820788,185.70
1763820789,185.86
1763820790,184.91
1763820791,185.65
1763820792,186.12
1763820793,186.85
1763820794,185.17
1763820795,186.24
1763820797,185.45
1763820798,185.56
1763820799,186.32
1763820800,186.00
1763820801,185.82
1763820802,185.56
1763820803,186.31
1763820804,185.85
1763820805,186.61
1763820806,185.97
1763820807,185.31
1763820808,185.21
1763820809,186.29
1763820810,186.24
1763820812,185.42
1763820813,187.08
1763820814,186.17
1763820815,186.19
1763820816,185.64
1763820817,185.29
1763820818,185.10
1763820819,185.08
1763820820,185.78
1763820821,185.77
1763820822,185.51
1763820823,185.83
1763820824,185.97
1763820825,185.63
1763820826,186.16
1763820827,186.56
1763820828,185.72
1763820830,186.71
1763820831,185.85
1763820832,185.58
1763820833,185.13
1763820834,185.61
1763820835,185.37
1763820836,185.71
1763820837,186.34
1763820838,187.10
1763820839,186.47
1763820840,187.06
1763820841,169.96
1763820843,295.27
1763820844,199.73
1763820845,173.46
1763820846,173.37
1763820847,173.32
1763820848,173.46
1763820849,173.79
1763820850,173.59
1763820851,173.44
1763820852,173.38
1763820853,173.10
1763820854,173.08
1763820855,173.13
1763820857,173.09
1763820858,174.85
1763820859,181.72
1763820860,181.76
1763820861,181.88
1763820862,181.80
1763820863,181.71
1763820864,181.68
1763820865,181.91
1763820866,182.27
1763820867,181.70
1763820868,181.67
1763820869,181.52
1763820870,181.73
1763820872,181.63
1763820873,181.63
1763820874,181.90
1763820875,182.00
1763820876,181.58
1763820877,181.65
1763820878,181.48
1763820879,181.57
1763820880,181.58
1763820881,181.57
1763820882,181.57
1763820883,181.72
1763820884,181.68
1763820886,181.51
1763820887,181.28
1763820888,181.60
1763820889,181.97
1763820890,181.54
1763820891,181.69
1763820892,181.60
1763820893,181.60
1763820894,181.76
1763820895,181.75
1763820896,181.98
1763820897,181.62
1763820898,181.68
1763820899,181.55
1763820901,181.90
1763820902,181.89
1763820903,181.88
1763820904,182.12
1763820905,182.16
1763820906,182.15
1763820907,181.89
1763820908,181.97
1763820909,181.83
1763820910,181.86
1763820911,181.80
1763820912,181.42
1763820913,181.71
1763820915,181.81
1763820916,182.13
1763820917,181.93
1763820918,181.84
1763820919,181.50
1763820920,181.13
1763820921,181.61
1763820922,181.39
1763820923,181.07
1763820924,181.32
1763820925,181.54
1763820926,181.62
1763820927,181.54
1763820929,181.53
1763820930,181.90
1763820931,182.00
1763820932,181.77
1763820933,181.86
1763820934,181.85
1763820935,181.64
1763820936,181.12
