timestamp,gpu_util_percent,memory_util_percent
1763826002,100,78
1763826003,100,78
1763826004,100,78
1763826005,100,79
1763826006,100,79
1763826007,100,79
1763826008,100,79
1763826009,100,79
1763826010,100,78
1763826011,100,78
1763826012,100,78
1763826013,100,78
1763826014,100,78
1763826015,100,79
1763826017,100,80
1763826018,100,78
1763826019,100,78
1763826020,100,78
1763826021,100,78
1763826022,100,78
1763826023,100,78
1763826024,100,78
1763826025,100,78
1763826026,100,78
1763826027,100,78
1763826028,100,78
1763826030,100,78
1763826031,100,78
1763826032,100,78
1763826033,100,78
1763826034,100,79
1763826035,100,78
1763826036,100,78
1763826037,100,78
1763826038,100,79
1763826039,100,79
1763826040,100,78
1763826041,100,78
1763826042,100,78
1763826044,100,78
1763826045,100,78
1763826046,100,78
1763826047,100,78
1763826048,100,78
1763826049,100,78
1763826050,100,78
1763826051,100,78
1763826052,100,78
1763826053,100,78
1763826054,100,78
1763826055,100,79
1763826056,100,78
1763826057,100,79
1763826059,100,78
1763826060,100,78
1763826061,100,78
1763826062,100,78
1763826063,100,78
1763826064,100,79
1763826065,100,78
1763826066,100,80
1763826067,100,79
1763826068,100,78
1763826069,100,79
1763826070,100,78
1763826071,100,79
1763826073,100,78
1763826074,100,78
1763826075,100,79
1763826076,100,78
1763826077,100,78
1763826078,100,78
1763826079,100,78
1763826080,100,78
1763826081,100,78
1763826082,100,78
1763826083,100,78
1763826084,100,80
1763826085,100,78
1763826086,100,78
1763826087,100,78
1763826088,100,78
1763826090,100,78
1763826091,100,78
1763826092,100,79
1763826093,100,78
1763826094,100,78
1763826095,100,79
1763826096,100,78
1763826097,100,80
1763826098,100,78
1763826099,100,78
1763826100,100,78
1763826101,100,79
1763826103,100,78
1763826104,100,78
1763826105,100,78
1763826106,100,78
1763826107,100,78
1763826108,100,78
1763826109,100,78
1763826110,100,79
1763826111,100,79
1763826112,100,78
1763826113,100,78
1763826114,100,78
1763826115,100,78
1763826117,100,79
1763826118,100,78
1763826119,100,78
1763826120,100,78
1763826121,100,78
1763826122,100,80
1763826123,100,80
1763826124,100,80
1763826125,100,78
1763826126,100,80
1763826127,58,71
1763826128,100,100
1763826129,100,66
1763826130,100,66
1763826132,100,66
1763826133,100,66
1763826134,100,67
1763826135,100,67
1763826136,100,68
1763826137,100,68
1763826138,100,68
1763826139,100,68
1763826140,100,68
1763826141,100,68
1763826142,100,68
1763826143,100,68
1763826144,100,68
1763826145,100,68
1763826147,100,68
1763826148,100,68
1763826149,100,71
1763826150,100,73
1763826151,100,73
1763826152,100,73
1763826153,100,73
1763826154,100,73
1763826155,100,73
1763826156,100,73
1763826157,100,73
1763826158,100,73
1763826159,100,73
1763826160,100,73
1763826161,100,73
1763826163,100,73
1763826164,100,73
1763826165,100,73
1763826166,100,73
1763826167,0,0
1763826168,100,100
1763826169,100,100
1763826170,100,69
1763826171,100,69
1763826172,100,69
1763826173,100,69
1763826175,100,69
1763826176,100,69
1763826177,100,69
1763826178,100,69
1763826179,100,69
1763826180,100,69
1763826181,100,69
1763826182,100,75
1763826183,100,75
1763826184,100,75
1763826185,100,75
1763826186,100,75
1763826187,100,75
1763826189,100,75
1763826190,100,75
1763826191,100,75
1763826192,100,75
1763826193,100,75
1763826194,100,75
1763826195,100,75
1763826196,100,75
1763826197,100,75
1763826198,100,75
1763826199,100,75
1763826200,100,75
1763826201,100,75
1763826202,100,75
1763826203,100,75
1763826205,100,75
1763826206,100,75
1763826207,100,75
1763826208,100,75
1763826209,100,75
1763826210,100,75
1763826211,100,75
1763826212,100,75
1763826213,100,75
1763826214,100,75
1763826215,100,75
1763826216,100,75
1763826217,100,75
1763826219,100,75
1763826220,100,75
1763826221,100,75
1763826222,100,75
1763826223,100,75
1763826224,100,75
1763826225,100,75
1763826226,100,75
1763826227,100,75
1763826228,100,75
1763826229,100,75
1763826230,100,75
1763826231,100,75
1763826233,100,75
1763826234,100,75
1763826235,100,75
1763826236,100,75
1763826237,100,75
1763826238,100,75
1763826239,100,75
1763826240,100,75
1763826241,100,75
1763826242,100,75
1763826243,100,75
1763826244,100,75
1763826245,100,75
1763826246,100,75
1763826248,100,75
1763826249,100,75
1763826250,100,75
1763826251,100,75
1763826252,100,75
1763826253,100,75
1763826254,100,75
1763826255,100,75
1763826256,100,75
1763826257,100,75
1763826258,100,75
1763826259,100,75
1763826260,100,75
1763826261,100,75
1763826262,100,75
1763826263,100,75
1763826264,100,75
1763826265,100,75
1763826266,100,75
1763826267,100,75
1763826268,100,75
1763826269,100,75
1763826270,100,75
1763826271,100,75
1763826272,100,75
1763826274,100,75
1763826275,100,75
1763826276,100,75
1763826277,100,75
1763826278,100,75
1763826279,100,75
1763826280,100,75
1763826281,100,75
1763826282,100,75
1763826283,100,75
1763826284,100,75
1763826285,100,75
1763826287,100,75
1763826288,100,75
1763826289,100,75
1763826290,100,75
1763826291,100,75
1763826292,100,75
1763826293,100,75
1763826294,100,75
1763826295,100,75
1763826296,100,75
1763826297,100,75
1763826298,100,75
1763826299,100,75
1763826300,100,75
1763826301,100,75
1763826303,100,75
1763826304,100,75
1763826305,100,75
1763826306,100,75
1763826307,100,75
1763826308,100,75
1763826309,100,75
1763826310,100,75
1763826311,100,75
1763826312,100,75
1763826313,100,75
1763826314,100,75
1763826315,100,75
1763826317,100,75
1763826318,100,75
1763826319,100,75
1763826320,100,75
1763826321,100,75
1763826322,100,75
1763826323,100,75
1763826324,100,75
1763826325,100,75
1763826326,100,75
1763826327,100,75
1763826328,100,75
1763826329,100,75
1763826330,100,75
1763826332,100,75
1763826333,100,75
1763826334,100,75
1763826335,100,75
1763826336,100,75
1763826337,100,74
1763826338,100,73
1763826339,100,74
1763826340,100,75
1763826341,100,75
1763826342,100,75
1763826343,100,75
1763826344,100,75
1763826346,100,75
1763826347,100,75
1763826348,100,75
1763826349,100,75
1763826350,100,75
1763826351,100,75
1763826352,100,75
1763826353,100,75
1763826354,100,75
1763826355,100,75
1763826356,100,75
1763826357,100,75
1763826358,100,75
1763826360,100,75
1763826361,100,75
1763826362,100,75
1763826363,100,75
1763826364,100,75
1763826365,100,75
1763826366,100,75
1763826367,100,75
1763826368,100,75
1763826369,100,75
1763826370,100,75
1763826371,100,75
1763826372,100,75
1763826373,100,75
1763826375,100,75
1763826376,100,75
1763826377,100,75
1763826378,100,75
1763826379,100,75
1763826380,100,75
1763826381,100,75
1763826382,100,75
1763826383,100,75
1763826384,100,75
1763826385,100,75
1763826386,100,75
1763826387,100,75
1763826389,100,75
1763826390,100,75
1763826391,100,75
1763826392,100,75
1763826393,100,75
1763826394,100,75
1763826395,100,75
1763826396,100,75
1763826397,100,75
1763826398,100,75
1763826399,100,75
1763826400,100,75
1763826402,100,75
1763826403,100,75
1763826404,100,75
1763826405,100,75
1763826406,100,75
1763826407,100,75
1763826408,100,75
1763826409,100,75
1763826410,100,75
1763826411,100,75
1763826412,100,75
1763826413,100,75
1763826414,100,75
1763826415,100,75
1763826416,100,75
1763826418,100,75
1763826419,100,75
1763826420,100,75
1763826421,100,75
1763826422,100,75
1763826423,100,75
1763826424,100,75
1763826425,100,75
1763826426,100,75
1763826427,100,75
1763826428,100,75
1763826429,100,75
1763826431,100,75
1763826432,100,75
1763826433,100,75
1763826434,100,75
1763826435,100,75
1763826436,100,75
1763826437,100,75
1763826438,100,75
1763826439,100,75
1763826440,100,75
1763826441,100,75
1763826442,100,75
1763826443,100,75
1763826444,100,75
1763826445,100,75
1763826447,100,75
1763826448,100,75
1763826449,100,75
1763826450,100,75
1763826451,100,75
1763826452,100,75
1763826453,100,75
1763826454,100,75
1763826455,100,75
1763826456,100,75
1763826457,100,75
1763826458,100,75
1763826460,100,75
1763826461,100,75
1763826462,100,75
1763826463,100,75
1763826464,100,75
1763826465,100,75
1763826466,100,75
1763826467,100,75
1763826468,100,75
1763826469,100,75
1763826470,100,75
1763826471,100,75
1763826472,100,75
1763826473,100,75
1763826474,100,75
1763826476,100,75
1763826477,100,75
1763826478,100,75
1763826479,100,75
1763826480,100,75
1763826481,100,75
1763826482,100,75
1763826483,100,75
1763826484,100,75
1763826485,100,75
1763826486,100,75
1763826487,100,75
1763826488,100,75
1763826489,100,75
1763826491,100,75
1763826492,100,75
1763826493,100,75
1763826494,100,75
1763826495,100,75
1763826496,100,75
1763826497,100,75
1763826498,100,75
1763826499,100,75
1763826500,100,75
1763826501,100,75
1763826502,100,75
1763826503,100,75
1763826505,100,75
1763826506,100,75
1763826507,100,75
1763826508,100,75
1763826509,100,75
1763826510,100,75
1763826511,100,75
1763826512,100,75
1763826513,0,0
1763826514,100,100
1763826515,100,77
1763826516,100,77
1763826517,100,79
1763826518,100,77
1763826520,100,78
1763826521,100,78
