timestamp,gpu_util_percent,memory_util_percent
1763830423,100,80
1763830424,100,79
1763830425,100,80
1763830426,100,80
1763830427,100,80
1763830428,100,79
1763830429,100,78
1763830430,100,77
1763830431,100,77
1763830432,100,79
1763830433,100,79
1763830434,100,77
1763830435,100,77
1763830436,100,79
1763830438,100,78
1763830439,100,79
1763830440,100,77
1763830441,100,77
1763830442,100,79
1763830443,100,78
1763830444,100,77
1763830445,100,79
1763830446,100,79
1763830447,100,78
1763830448,100,80
1763830449,100,77
1763830450,100,79
1763830451,100,78
1763830452,100,77
1763830453,100,79
1763830454,100,77
1763830455,100,80
1763830456,100,78
1763830457,100,77
1763830458,100,79
1763830459,100,78
1763830460,100,78
1763830461,81,74
1763830462,100,97
1763830463,100,96
1763830465,100,96
1763830466,100,92
1763830467,100,90
1763830468,100,90
1763830469,100,87
1763830470,100,86
1763830471,100,86
1763830472,100,86
1763830473,100,86
1763830474,100,86
1763830475,100,85
1763830476,100,86
1763830477,100,88
1763830478,100,76
1763830479,100,77
1763830480,100,77
1763830481,100,76
1763830482,100,75
1763830483,100,77
1763830484,100,75
1763830485,100,78
1763830486,100,76
1763830487,100,75
1763830488,100,78
1763830489,100,76
1763830490,100,77
1763830491,100,76
1763830493,100,76
1763830494,100,78
1763830495,100,76
1763830496,100,77
1763830497,100,76
1763830498,100,69
1763830499,100,78
1763830500,100,77
1763830501,100,78
1763830502,100,76
1763830503,100,78
1763830504,100,77
1763830505,100,75
1763830506,100,76
1763830507,100,77
1763830508,100,78
1763830509,100,76
1763830510,100,79
1763830511,100,76
1763830512,100,78
1763830513,100,75
1763830514,100,78
1763830515,100,77
1763830516,100,77
1763830517,100,77
1763830518,100,78
1763830520,100,77
1763830521,100,76
1763830522,100,79
1763830523,100,79
1763830524,100,77
1763830525,100,76
1763830526,100,78
1763830527,100,76
1763830528,100,79
1763830529,100,78
1763830530,100,77
1763830531,100,78
1763830532,100,78
1763830533,100,76
1763830534,100,77
1763830535,100,79
1763830536,100,77
1763830537,100,79
1763830538,100,77
1763830539,100,77
1763830540,100,79
1763830541,100,78
1763830542,100,77
1763830543,100,79
1763830544,100,79
1763830545,100,76
1763830546,100,79
1763830548,100,77
1763830549,100,78
1763830550,100,79
1763830551,100,79
1763830552,100,77
1763830553,100,79
1763830554,100,77
1763830555,100,79
