timestamp,power_draw_w
1763834664,179.63
1763834665,180.52
1763834666,180.10
1763834667,179.87
1763834668,179.48
1763834669,179.72
1763834670,120.10
1763834671,296.71
1763834672,318.62
1763834673,318.30
1763834674,318.60
1763834675,318.45
1763834676,300.36
1763834677,258.77
1763834678,223.65
1763834679,215.46
1763834680,210.88
1763834681,210.60
1763834682,210.50
1763834684,199.29
1763834685,188.48
1763834686,188.54
1763834687,188.04
1763834688,187.79
1763834689,187.73
1763834690,187.73
1763834691,188.27
1763834692,188.28
1763834693,188.08
1763834694,188.24
1763834695,187.79
1763834696,188.33
1763834697,187.88
1763834698,188.46
1763834699,187.67
1763834700,187.59
1763834701,187.59
1763834702,188.01
1763834703,188.12
1763834704,188.45
1763834705,187.65
1763834706,187.98
1763834707,187.74
1763834708,188.26
1763834709,187.74
1763834710,187.83
1763834712,187.43
1763834713,188.21
1763834714,187.81
1763834715,187.99
1763834716,187.89
1763834717,188.17
1763834718,188.01
1763834719,188.16
1763834720,187.78
1763834721,188.78
1763834722,187.91
1763834723,187.98
1763834724,188.11
1763834725,188.08
1763834726,187.76
1763834727,188.17
1763834728,187.90
1763834729,188.34
1763834730,188.29
1763834731,188.78
1763834732,187.57
1763834733,188.45
1763834734,187.97
1763834735,188.30
1763834736,188.21
1763834737,188.67
1763834739,187.59
1763834740,187.57
1763834741,188.42
1763834742,187.91
1763834743,188.70
1763834744,188.52
1763834745,188.22
1763834746,188.33
1763834747,188.21
1763834748,188.87
1763834749,187.86
1763834750,187.92
1763834751,187.70
1763834752,187.88
1763834753,187.82
1763834754,187.98
1763834755,188.64
1763834756,188.15
1763834757,188.52
1763834758,188.54
1763834759,187.87
1763834760,188.28
1763834761,188.23
1763834762,187.55
1763834763,187.88
1763834764,187.85
1763834765,188.46
1763834767,187.78
1763834768,188.52
1763834769,187.71
1763834770,188.18
1763834771,188.24
1763834772,188.02
1763834773,187.83
1763834774,187.69
1763834775,187.88
1763834776,187.73
1763834777,187.89
1763834778,187.84
1763834779,188.15
1763834780,187.57
1763834781,188.09
1763834782,188.13
1763834783,188.55
1763834784,188.45
1763834785,188.51
1763834786,187.90
1763834787,188.84
1763834788,188.21
1763834789,187.99
1763834790,188.32
