timestamp,gpu_util_percent,memory_util_percent
1763842051,100,76
1763842052,100,76
1763842053,100,76
1763842054,100,76
1763842055,0,0
1763842056,100,100
1763842057,100,100
1763842058,100,79
1763842059,100,78
1763842060,100,81
1763842061,100,76
1763842062,100,76
1763842063,100,77
1763842064,100,77
1763842065,100,77
1763842066,100,77
1763842067,100,77
1763842068,100,77
1763842070,100,76
1763842071,100,77
1763842072,100,77
1763842073,100,81
1763842074,100,80
1763842075,100,77
1763842076,100,77
1763842077,100,76
1763842078,100,77
1763842079,100,77
1763842080,100,77
1763842081,100,76
1763842082,100,77
1763842083,100,77
1763842084,100,77
1763842085,100,77
1763842086,100,79
1763842087,100,75
1763842088,100,77
1763842089,100,77
1763842090,100,77
1763842091,100,78
1763842092,100,77
1763842093,100,78
1763842094,100,77
1763842095,100,77
1763842097,100,77
1763842098,100,77
1763842099,100,78
1763842100,100,77
1763842101,100,77
1763842102,100,76
1763842103,100,77
1763842104,100,77
1763842105,100,76
1763842106,100,77
1763842107,100,76
1763842108,100,77
1763842109,100,77
1763842110,100,77
1763842111,100,80
1763842112,100,77
1763842113,100,77
1763842114,100,77
1763842115,100,77
1763842116,100,77
1763842117,100,78
1763842118,100,77
1763842119,100,77
1763842120,100,78
1763842121,100,77
1763842122,100,77
1763842124,100,80
1763842125,100,76
1763842126,100,77
1763842127,100,78
1763842128,100,77
1763842129,100,77
1763842130,100,77
1763842131,100,78
1763842132,100,77
1763842133,100,77
1763842134,100,77
1763842135,100,79
1763842136,100,79
1763842137,100,76
1763842138,100,77
1763842139,100,76
1763842140,100,77
1763842141,100,77
1763842142,100,77
1763842143,100,78
1763842144,100,77
1763842145,100,77
1763842146,100,77
1763842147,100,80
1763842148,100,80
1763842149,100,77
1763842151,100,77
1763842152,100,77
1763842153,100,77
1763842154,100,78
1763842155,100,77
1763842156,100,77
1763842157,100,77
1763842158,100,76
1763842159,100,77
1763842160,100,78
1763842161,100,80
1763842162,100,78
1763842163,100,77
