timestamp,gpu_temp_c,memory_temp_c
1764171197,64,N/A
1764171199,64,N/A
1764171201,64,N/A
1764171203,64,N/A
1764171204,64,N/A
1764171206,65,N/A
1764171207,65,N/A
1764171208,72,N/A
1764171209,73,N/A
1764171210,75,N/A
1764171211,75,N/A
1764171212,76,N/A
1764171213,76,N/A
1764171214,76,N/A
1764171215,77,N/A
1764171216,77,N/A
1764171217,78,N/A
1764171218,78,N/A
1764171219,78,N/A
1764171220,78,N/A
1764171221,79,N/A
1764171222,79,N/A
1764171223,79,N/A
1764171224,80,N/A
1764171225,80,N/A
1764171226,81,N/A
1764171227,80,N/A
1764171228,81,N/A
1764171229,81,N/A
1764171230,81,N/A
1764171231,81,N/A
1764171232,81,N/A
1764171233,82,N/A
1764171234,82,N/A
1764171235,82,N/A
1764171236,83,N/A
1764171237,82,N/A
1764171238,83,N/A
1764171239,82,N/A
1764171240,83,N/A
1764171241,82,N/A
1764171242,82,N/A
1764171244,82,N/A
1764171245,82,N/A
1764171246,83,N/A
1764171247,82,N/A
1764171248,82,N/A
1764171249,82,N/A
1764171250,83,N/A
1764171251,81,N/A
1764171252,83,N/A
1764171253,82,N/A
1764171254,83,N/A
1764171255,82,N/A
1764171256,82,N/A
1764171257,83,N/A
1764171258,83,N/A
1764171259,83,N/A
1764171260,83,N/A
1764171261,82,N/A
1764171262,83,N/A
1764171263,83,N/A
1764171264,82,N/A
1764171265,83,N/A
1764171266,83,N/A
1764171267,83,N/A
1764171268,83,N/A
1764171269,83,N/A
1764171270,83,N/A
1764171271,82,N/A
1764171272,83,N/A
1764171273,83,N/A
1764171274,83,N/A
1764171275,82,N/A
1764171276,83,N/A
1764171277,83,N/A
1764171278,83,N/A
1764171279,83,N/A
1764171280,83,N/A
1764171281,83,N/A
1764171282,83,N/A
1764171284,82,N/A
1764171285,83,N/A
1764171286,83,N/A
1764171287,83,N/A
1764171288,82,N/A
1764171289,83,N/A
1764171290,83,N/A
1764171291,84,N/A
1764171292,83,N/A
1764171293,83,N/A
1764171294,83,N/A
1764171295,84,N/A
1764171296,83,N/A
1764171297,83,N/A
1764171298,82,N/A
1764171299,83,N/A
1764171300,83,N/A
1764171301,83,N/A
1764171302,83,N/A
1764171303,84,N/A
1764171304,82,N/A
1764171305,83,N/A
1764171306,83,N/A
1764171307,83,N/A
1764171308,84,N/A
1764171309,82,N/A
1764171310,83,N/A
1764171311,83,N/A
1764171312,84,N/A
1764171313,83,N/A
1764171314,83,N/A
1764171315,83,N/A
1764171316,83,N/A
1764171317,84,N/A
1764171318,83,N/A
1764171319,84,N/A
1764171320,83,N/A
1764171321,84,N/A
1764171322,83,N/A
1764171324,84,N/A
1764171325,82,N/A
1764171326,83,N/A
1764171327,83,N/A
1764171328,83,N/A
1764171329,83,N/A
1764171330,84,N/A
1764171331,79,N/A
1764171332,79,N/A
1764171333,78,N/A
1764171334,78,N/A
1764171335,78,N/A
1764171336,77,N/A
1764171337,77,N/A
1764171338,77,N/A
1764171339,77,N/A
1764171340,76,N/A
1764171341,76,N/A
1764171342,76,N/A
1764171343,76,N/A
1764171344,76,N/A
1764171345,75,N/A
1764171346,75,N/A
1764171347,75,N/A
1764171348,75,N/A
1764171349,75,N/A
1764171350,75,N/A
1764171351,75,N/A
1764171352,75,N/A
1764171353,75,N/A
1764171354,75,N/A
1764171355,75,N/A
1764171356,75,N/A
1764171357,76,N/A
1764171358,75,N/A
1764171359,75,N/A
1764171360,76,N/A
1764171361,76,N/A
1764171362,76,N/A
1764171364,76,N/A
1764171365,76,N/A
1764171366,76,N/A
1764171367,77,N/A
1764171368,77,N/A
1764171369,77,N/A
1764171370,77,N/A
1764171371,77,N/A
1764171372,77,N/A
1764171373,77,N/A
1764171374,77,N/A
1764171375,77,N/A
1764171376,77,N/A
1764171377,77,N/A
1764171378,77,N/A
1764171379,77,N/A
1764171380,77,N/A
1764171381,77,N/A
1764171382,77,N/A
1764171383,77,N/A
1764171384,77,N/A
1764171385,77,N/A
1764171386,77,N/A
1764171387,78,N/A
1764171388,78,N/A
1764171389,77,N/A
1764171390,78,N/A
1764171391,77,N/A
1764171392,78,N/A
1764171393,78,N/A
1764171394,77,N/A
1764171395,77,N/A
1764171396,77,N/A
1764171397,78,N/A
1764171398,78,N/A
1764171399,78,N/A
1764171400,78,N/A
1764171402,78,N/A
1764171403,78,N/A
1764171404,78,N/A
1764171405,78,N/A
1764171406,78,N/A
1764171407,78,N/A
1764171408,78,N/A
1764171409,78,N/A
1764171410,78,N/A
1764171411,78,N/A
1764171412,78,N/A
1764171413,78,N/A
1764171414,78,N/A
1764171415,78,N/A
1764171416,78,N/A
1764171417,78,N/A
1764171418,78,N/A
1764171419,78,N/A
1764171420,78,N/A
1764171421,78,N/A
1764171422,78,N/A
1764171423,78,N/A
1764171424,78,N/A
1764171425,78,N/A
1764171426,78,N/A
1764171427,78,N/A
1764171428,78,N/A
1764171429,77,N/A
1764171430,78,N/A
1764171431,78,N/A
1764171432,78,N/A
1764171433,78,N/A
1764171434,78,N/A
1764171435,78,N/A
1764171436,78,N/A
1764171437,78,N/A
1764171438,77,N/A
1764171440,78,N/A
1764171441,78,N/A
1764171442,78,N/A
1764171443,78,N/A
1764171444,78,N/A
1764171445,78,N/A
1764171446,78,N/A
1764171447,78,N/A
1764171448,78,N/A
1764171449,78,N/A
1764171450,77,N/A
1764171451,78,N/A
1764171452,78,N/A
1764171453,78,N/A
1764171454,78,N/A
1764171455,78,N/A
1764171456,78,N/A
1764171457,78,N/A
1764171458,78,N/A
1764171459,78,N/A
1764171460,78,N/A
1764171461,78,N/A
1764171462,78,N/A
1764171463,78,N/A
1764171464,78,N/A
1764171465,78,N/A
1764171466,78,N/A
1764171467,78,N/A
1764171468,78,N/A
1764171469,78,N/A
1764171470,78,N/A
1764171471,78,N/A
1764171472,78,N/A
1764171473,78,N/A
1764171474,79,N/A
1764171475,78,N/A
1764171476,78,N/A
1764171477,78,N/A
1764171478,78,N/A
1764171480,78,N/A
1764171481,79,N/A
1764171482,78,N/A
1764171483,78,N/A
1764171484,78,N/A
1764171485,79,N/A
1764171486,78,N/A
1764171487,78,N/A
1764171488,78,N/A
1764171489,78,N/A
1764171490,78,N/A
1764171491,78,N/A
1764171492,78,N/A
1764171493,79,N/A
1764171494,79,N/A
1764171495,79,N/A
1764171496,78,N/A
1764171497,79,N/A
1764171498,79,N/A
1764171499,78,N/A
1764171500,79,N/A
1764171501,78,N/A
1764171502,79,N/A
1764171503,79,N/A
1764171504,79,N/A
1764171505,78,N/A
1764171506,79,N/A
1764171507,79,N/A
1764171508,79,N/A
1764171509,79,N/A
1764171510,78,N/A
1764171511,78,N/A
1764171512,79,N/A
1764171513,78,N/A
1764171514,78,N/A
1764171515,78,N/A
1764171516,79,N/A
1764171517,79,N/A
1764171518,79,N/A
1764171520,79,N/A
1764171521,78,N/A
1764171522,79,N/A
1764171523,79,N/A
1764171524,78,N/A
1764171525,78,N/A
1764171526,79,N/A
1764171527,79,N/A
1764171528,79,N/A
1764171529,78,N/A
1764171530,78,N/A
1764171531,79,N/A
1764171532,79,N/A
1764171533,78,N/A
1764171534,78,N/A
1764171535,79,N/A
1764171536,79,N/A
1764171537,79,N/A
1764171538,79,N/A
1764171539,79,N/A
1764171540,79,N/A
1764171541,79,N/A
1764171542,79,N/A
1764171543,78,N/A
1764171544,79,N/A
1764171545,79,N/A
1764171546,79,N/A
1764171547,79,N/A
1764171548,79,N/A
1764171549,79,N/A
1764171550,79,N/A
1764171551,78,N/A
1764171552,78,N/A
1764171553,79,N/A
1764171554,79,N/A
1764171555,79,N/A
1764171556,79,N/A
1764171557,79,N/A
1764171559,79,N/A
1764171560,79,N/A
1764171561,79,N/A
1764171562,76,N/A
1764171563,81,N/A
1764171564,82,N/A
1764171565,82,N/A
1764171566,82,N/A
1764171567,81,N/A
1764171568,82,N/A
1764171569,82,N/A
1764171570,83,N/A
1764171571,82,N/A
1764171572,83,N/A
1764171573,82,N/A
1764171574,83,N/A
1764171575,82,N/A
1764171576,83,N/A
1764171577,83,N/A
1764171578,82,N/A
1764171579,82,N/A
1764171580,82,N/A
1764171581,83,N/A
