timestamp,gpu_util_percent,memory_util_percent
1764232618,0,0
1764232620,0,0
1764232622,0,0
1764232623,0,0
1764232624,70,60
1764232625,84,73
1764232626,84,74
1764232628,81,69
1764232629,83,72
1764232630,84,74
1764232631,82,70
1764232632,83,72
1764232633,84,73
1764232634,84,73
1764232635,80,68
1764232636,84,73
1764232637,84,74
1764232638,81,69
1764232639,83,72
1764232640,84,73
1764232641,84,73
1764232642,80,68
1764232643,84,73
1764232644,84,73
1764232645,80,68
1764232646,84,73
1764232647,81,69
1764232648,83,72
1764232649,84,73
1764232650,83,71
1764232651,83,71
1764232652,84,73
1764232653,83,70
1764232654,83,72
1764232655,84,73
1764232656,84,71
1764232657,82,70
1764232658,84,73
1764232659,84,71
1764232660,82,69
1764232661,84,73
1764232662,84,72
1764232663,81,68
1764232664,84,72
1764232665,84,74
1764232666,82,69
1764232668,84,72
1764232669,84,73
1764232670,81,68
1764232671,83,72
1764232672,85,73
1764232673,84,70
1764232674,84,72
1764232675,88,76
1764232676,45,38
1764232677,85,74
1764232678,83,71
1764232679,84,72
1764232680,84,73
1764232681,84,72
1764232682,81,68
1764232683,78,67
1764232684,78,67
1764232685,78,67
1764232686,78,67
1764232687,78,67
1764232688,81,68
1764232689,83,72
1764232690,84,73
1764232691,80,68
1764232692,84,72
1764232693,85,73
1764232694,80,67
1764232695,84,71
1764232696,84,74
1764232697,82,69
1764232698,83,71
1764232699,85,73
1764232700,80,68
1764232701,84,72
1764232702,85,72
1764232703,82,68
1764232704,85,71
1764232705,84,73
1764232707,81,68
1764232708,99,57
1764232709,98,59
1764232710,98,54
1764232711,98,60
1764232712,98,60
1764232713,99,56
1764232714,98,58
1764232715,99,58
1764232716,98,55
1764232717,98,60
1764232718,98,56
1764232719,98,61
1764232720,98,57
1764232721,98,56
1764232722,98,62
1764232723,99,60
1764232724,98,56
1764232725,98,56
1764232726,95,61
1764232727,95,62
1764232728,96,64
1764232729,96,63
1764232730,92,66
1764232731,89,58
1764232732,84,73
1764232733,84,74
1764232734,83,71
1764232735,82,69
1764232736,84,74
1764232737,84,72
1764232738,80,68
1764232739,84,73
1764232740,84,73
1764232741,80,68
1764232742,83,71
1764232743,84,73
1764232745,83,71
1764232746,82,70
1764232747,84,73
1764232748,84,72
1764232749,82,69
1764232750,84,72
1764232751,84,73
1764232752,82,70
1764232753,84,72
1764232754,84,73
1764232755,78,67
1764232756,78,67
1764232757,78,67
1764232758,77,66
1764232759,83,70
1764232760,85,72
1764232761,83,69
1764232762,83,71
1764232763,84,73
1764232764,83,70
1764232765,82,71
1764232766,84,73
1764232767,80,68
1764232768,84,73
1764232769,84,72
1764232770,85,71
1764232771,86,71
1764232772,84,69
1764232773,86,72
1764232774,84,68
1764232775,86,72
1764232776,83,67
1764232777,58,45
1764232778,85,70
1764232779,86,71
1764232780,86,71
1764232781,86,72
1764232782,88,72
1764232783,31,22
1764232785,85,71
1764232786,85,70
1764232787,85,71
1764232788,85,71
1764232789,85,71
1764232790,85,71
1764232791,85,71
1764232792,85,72
1764232793,84,69
1764232794,85,72
1764232795,83,68
1764232796,85,72
1764232797,85,70
1764232798,86,72
1764232799,85,70
1764232800,85,71
1764232801,86,71
1764232802,85,71
1764232803,86,72
1764232804,82,67
1764232805,86,72
1764232806,84,69
1764232807,86,72
1764232808,85,70
