timestamp,power_draw_w
1764239309,76.93
1764239311,76.65
1764239313,76.83
1764239315,85.35
1764239316,102.45
1764239317,181.99
1764239318,240.44
1764239319,240.67
1764239320,242.38
1764239321,242.76
1764239322,242.37
1764239323,241.98
1764239324,243.76
1764239325,252.97
1764239326,255.57
1764239327,256.26
1764239328,257.00
1764239329,257.42
1764239330,256.03
1764239331,256.80
1764239332,259.68
1764239334,238.74
1764239335,257.19
1764239336,260.21
1764239337,257.11
1764239338,256.58
1764239339,266.48
1764239340,267.20
1764239341,268.10
1764239342,267.55
1764239343,268.34
1764239344,266.94
1764239345,267.46
1764239346,269.45
1764239347,269.12
1764239348,267.79
1764239349,270.15
1764239350,270.15
1764239351,271.99
1764239352,255.84
1764239353,245.80
1764239354,236.25
1764239355,255.78
1764239356,257.25
1764239357,256.66
1764239358,258.41
1764239359,256.95
1764239360,258.79
1764239361,256.90
1764239362,258.02
1764239363,259.89
1764239364,259.56
1764239365,259.04
1764239366,261.10
1764239367,258.57
1764239368,260.48
1764239369,260.76
1764239370,260.16
1764239371,259.33
1764239373,259.84
1764239374,259.20
1764239375,259.35
1764239376,260.61
1764239377,260.72
1764239378,259.20
1764239379,259.73
1764239380,259.84
1764239381,260.25
1764239382,260.92
1764239383,258.29
1764239384,260.51
1764239385,260.89
1764239386,259.12
1764239387,260.01
1764239388,260.88
1764239389,258.95
1764239390,274.52
1764239391,265.56
1764239392,258.94
1764239393,273.44
1764239394,273.53
1764239395,272.18
1764239396,272.08
1764239397,271.94
1764239398,272.57
1764239399,274.47
1764239400,269.29
1764239401,270.94
1764239402,277.87
1764239403,278.31
1764239404,279.13
1764239405,263.55
1764239406,270.11
1764239407,273.18
1764239408,268.16
1764239409,266.66
1764239410,269.18
1764239411,273.58
1764239413,268.35
1764239414,271.33
1764239415,269.45
1764239416,272.99
1764239417,272.96
1764239418,270.39
1764239419,260.81
1764239420,263.18
1764239421,269.96
1764239422,254.53
1764239423,266.79
1764239424,265.53
1764239425,272.26
1764239426,270.24
1764239427,258.04
1764239428,264.72
1764239429,274.50
1764239430,266.97
1764239431,265.38
1764239432,271.24
1764239433,259.16
1764239434,262.96
1764239435,272.08
1764239436,263.36
1764239437,264.46
1764239438,263.28
1764239439,274.08
1764239440,272.16
1764239441,264.75
1764239442,266.96
1764239443,260.65
1764239444,266.26
1764239445,263.28
1764239446,264.31
1764239447,260.75
1764239448,259.93
1764239449,266.45
1764239450,271.65
1764239452,268.83
1764239453,262.87
1764239454,262.84
1764239455,265.21
1764239456,268.68
1764239457,272.05
1764239458,262.86
1764239459,261.10
1764239460,266.26
1764239461,252.50
1764239462,259.95
1764239463,258.96
1764239464,264.06
1764239465,269.01
1764239466,266.67
1764239467,269.87
1764239468,263.98
1764239469,267.52
1764239470,268.30
1764239471,269.15
1764239472,261.27
1764239473,262.99
1764239474,261.62
1764239475,264.38
1764239476,263.36
1764239477,258.96
1764239478,263.06
1764239479,261.17
1764239480,269.98
1764239481,266.73
1764239482,262.78
1764239483,266.18
1764239484,264.50
1764239485,266.64
1764239486,260.76
1764239487,267.00
1764239488,262.88
1764239489,267.07
1764239490,263.56
1764239492,263.06
1764239493,264.01
1764239494,264.01
1764239495,261.18
1764239496,249.21
1764239497,266.25
1764239498,257.29
1764239499,249.03
1764239500,251.29
1764239501,247.98
1764239502,254.23
