timestamp,power_draw_w
1764296868,76.64
1764296870,78.95
1764296871,76.54
1764296873,85.05
1764296874,85.52
1764296875,237.09
1764296876,307.69
1764296877,308.21
1764296878,308.99
1764296879,309.96
1764296880,310.77
1764296881,311.17
1764296883,312.67
1764296884,313.35
1764296885,314.26
1764296886,312.93
1764296887,311.93
1764296888,312.72
1764296889,312.64
1764296890,313.30
1764296891,314.09
1764296892,314.62
1764296893,309.17
1764296894,307.63
1764296895,307.09
1764296896,304.73
1764296897,303.30
1764296898,301.20
1764296899,296.14
1764296900,293.90
1764296901,299.58
1764296902,300.83
1764296903,290.61
1764296904,297.35
1764296905,292.70
1764296906,286.57
1764296907,298.86
1764296908,291.32
1764296909,291.34
1764296910,286.95
1764296911,286.30
1764296912,284.41
1764296913,287.83
1764296914,291.01
1764296915,284.83
1764296916,277.00
1764296917,278.07
1764296918,277.17
1764296919,274.46
1764296920,285.97
1764296921,278.30
1764296923,278.77
1764296924,281.65
1764296925,280.16
1764296926,284.55
1764296927,286.33
1764296928,282.49
1764296929,279.71
1764296930,279.66
1764296931,280.40
1764296932,279.59
1764296933,279.41
1764296934,279.41
1764296935,280.80
1764296936,279.56
1764296937,277.65
1764296938,279.87
1764296939,280.30
1764296940,264.32
1764296941,282.68
1764296942,259.27
1764296943,279.20
1764296944,274.68
1764296945,281.41
1764296946,276.75
1764296947,279.51
1764296948,280.50
1764296949,281.22
1764296950,280.66
1764296951,283.24
1764296952,280.61
1764296953,279.18
1764296954,274.57
1764296955,275.12
1764296956,276.70
1764296957,273.36
1764296958,275.12
1764296959,275.59
1764296961,274.44
1764296962,274.30
1764296963,243.08
1764296964,233.60
1764296965,232.63
1764296966,234.21
1764296967,218.68
1764296968,208.02
1764296969,207.91
1764296970,208.16
1764296971,208.53
1764296972,208.45
1764296973,208.38
1764296974,208.73
1764296975,208.30
1764296976,208.87
1764296977,208.97
1764296978,208.10
1764296979,208.34
1764296980,208.25
1764296981,207.48
1764296982,208.02
1764296983,209.09
1764296984,207.68
1764296985,208.23
1764296986,208.37
1764296987,208.34
1764296988,208.56
1764296989,208.53
1764296990,207.95
1764296991,208.09
1764296992,208.20
1764296993,207.91
1764296994,208.14
1764296995,208.22
1764296996,207.39
1764296997,208.11
1764296998,208.84
1764296999,207.98
1764297001,208.24
1764297002,208.44
1764297003,207.96
1764297004,207.96
1764297005,208.38
1764297006,207.80
1764297007,207.59
1764297008,208.23
1764297009,207.10
1764297010,207.86
1764297011,201.87
1764297012,196.20
1764297013,304.61
1764297014,311.48
1764297015,307.16
