timestamp,gpu_util_percent,memory_util_percent
1764185073,0,0
1764185075,0,0
1764185077,0,0
1764185079,0,0
1764185081,0,0
1764185082,0,0
1764185084,0,0
1764185086,0,0
1764185088,0,0
1764185090,0,0
1764185092,0,0
1764185094,0,0
1764185096,0,0
1764185098,0,0
1764185100,0,0
1764185102,0,0
1764185104,0,0
1764185106,0,0
1764185108,0,0
1764185110,0,0
1764185112,0,0
1764185114,0,0
1764185116,0,0
1764185118,0,0
1764185120,0,0
1764185122,0,0
1764185125,0,0
1764185127,0,0
1764185129,0,0
1764185131,0,0
1764185133,3,0
1764185136,0,0
1764185138,0,0
1764185140,0,0
1764185142,0,0
1764185144,0,0
1764185147,0,0
1764185149,0,0
1764185151,0,0
1764185153,2,0
1764185156,0,0
1764185159,0,0
1764185161,0,0
1764185164,0,0
1764185166,0,0
1764185168,2,0
1764185170,3,0
1764185173,3,0
1764185175,0,0
1764185177,0,0
1764185179,1,0
1764185182,0,0
1764185184,0,0
1764185186,0,0
1764185188,0,0
1764185191,0,0
1764185193,0,0
1764185195,0,0
1764185198,0,0
1764185200,0,0
1764185203,2,0
1764185205,2,0
1764185207,0,0
1764185210,0,0
1764185212,0,0
1764185215,2,0
1764185217,0,0
1764185220,0,0
1764185223,0,0
1764185225,0,0
1764185227,0,0
1764185229,0,0
1764185232,3,0
1764185234,0,0
1764185237,0,0
1764185239,0,0
1764185241,0,0
1764185243,0,0
1764185246,0,0
1764185249,2,0
1764185251,0,0
1764185254,0,0
1764185256,0,0
1764185258,2,0
1764185262,0,0
1764185264,0,0
1764185267,2,0
1764185269,0,0
1764185271,0,0
1764185273,0,0
1764185276,0,0
1764185278,0,0
1764185280,0,0
1764185282,0,0
1764185284,0,0
1764185287,0,0
1764185289,0,0
1764185291,0,0
1764185294,0,0
1764185296,0,0
1764185298,2,0
1764185301,2,0
1764185304,0,0
1764185306,0,0
1764185308,2,0
1764185311,0,0
1764185313,0,0
1764185315,0,0
1764185318,0,0
1764185320,0,0
1764185323,0,0
1764185325,0,0
1764185328,0,0
1764185330,0,0
1764185332,0,0
1764185335,0,0
1764185337,0,0
1764185340,0,0
1764185342,2,0
1764185346,0,0
1764185348,0,0
1764185350,0,0
1764185353,0,0
1764185355,0,0
1764185357,2,0
1764185359,0,0
1764185362,0,0
1764185364,2,0
1764185366,0,0
1764185369,0,0
1764185371,0,0
1764185373,0,0
1764185376,0,0
1764185379,0,0
1764185381,3,0
1764185383,0,0
1764185385,2,0
1764185388,0,0
1764185390,0,0
1764185393,0,0
1764185395,0,0
1764185398,0,0
1764185400,0,0
1764185402,0,0
1764185404,0,0
1764185406,0,0
1764185409,0,0
1764185411,0,0
1764185413,0,0
1764185416,0,0
1764185418,0,0
1764185420,0,0
1764185423,0,0
1764185425,0,0
1764185427,0,0
1764185429,0,0
1764185432,0,0
1764185434,0,0
1764185436,0,0
1764185439,2,0
1764185441,0,0
1764185444,0,0
1764185446,0,0
1764185448,0,0
1764185450,1,0
1764185453,0,0
1764185455,0,0
1764185457,1,0
1764185460,2,0
1764185462,0,0
1764185464,0,0
1764185466,0,0
1764185468,0,0
1764185471,0,0
1764185473,0,0
1764185475,0,0
1764185478,0,0
1764185481,0,0
1764185483,0,0
1764185486,2,0
1764185489,0,0
1764185491,2,0
1764185494,0,0
1764185497,0,0
1764185499,0,0
1764185501,0,0
1764185504,0,0
1764185506,0,0
1764185509,0,0
1764185511,0,0
1764185513,0,0
1764185515,0,0
1764185518,0,0
1764185520,0,0
1764185522,0,0
1764185525,0,0
1764185527,0,0
1764185531,0,0
1764185535,0,0
1764185537,1,0
1764185541,0,0
1764185543,0,0
1764185545,0,0
1764185548,0,0
1764185550,2,0
1764185553,0,0
1764185555,0,0
1764185558,2,0
1764185561,0,0
1764185563,0,0
1764185566,0,0
1764185568,0,0
1764185571,2,0
1764185574,2,0
1764185576,0,0
1764185579,0,0
1764185582,0,0
1764185584,0,0
1764185586,0,0
1764185589,0,0
1764185591,0,0
1764185593,0,0
1764185596,0,0
1764185599,0,0
1764185601,0,0
1764185603,0,0
1764185605,0,0
1764185609,2,0
1764185612,0,0
1764185614,0,0
1764185617,0,0
1764185619,0,0
1764185621,2,0
1764185625,0,0
1764185627,0,0
1764185630,0,0
1764185632,0,0
1764185634,0,0
1764185637,0,0
1764185639,0,0
1764185641,0,0
1764185645,0,0
1764185649,3,0
1764185651,0,0
1764185654,2,0
1764185656,0,0
1764185659,0,0
1764185661,2,0
1764185664,0,0
1764185667,0,0
1764185669,2,0
1764185672,0,0
1764185675,0,0
1764185677,0,0
1764185679,0,0
1764185682,0,0
1764185684,0,0
1764185686,3,0
1764185690,0,0
1764185692,1,0
1764185696,0,0
1764185699,0,0
1764185703,0,0
1764185705,0,0
1764185707,0,0
1764185709,0,0
1764185712,0,0
1764185715,0,0
1764185717,2,0
1764185721,0,0
1764185723,0,0
1764185725,0,0
1764185727,0,0
1764185730,0,0
1764185732,0,0
1764185734,2,0
1764185737,0,0
1764185739,0,0
1764185742,0,0
1764185744,1,0
1764185746,0,0
1764185750,0,0
1764185752,0,0
1764185755,0,0
1764185757,0,0
1764185760,0,0
1764185762,0,0
1764185764,0,0
1764185767,0,0
1764185769,0,0
1764185771,0,0
1764185774,0,0
1764185776,2,0
1764185779,0,0
1764185781,0,0
1764185784,0,0
1764185787,0,0
1764185789,0,0
1764185792,0,0
1764185795,0,0
1764185797,0,0
1764185800,2,0
1764185802,0,0
1764185804,0,0
1764185807,0,0
1764185809,0,0
1764185812,0,0
1764185814,3,0
1764185818,0,0
1764185821,0,0
1764185823,0,0
1764185825,0,0
1764185827,0,0
1764185830,0,0
1764185832,0,0
1764185834,0,0
1764185837,0,0
1764185839,2,0
1764185842,0,0
1764185844,0,0
1764185846,0,0
1764185848,0,0
1764185851,0,0
1764185854,2,0
1764185857,0,0
1764185859,0,0
