timestamp,gpu_util_percent,memory_util_percent
1764195393,0,0
1764195395,0,0
1764195397,0,0
1764195398,10,3
1764195399,57,35
1764195400,64,39
1764195401,57,35
1764195402,64,40
1764195403,20,15
1764195404,62,38
1764195405,61,38
1764195406,64,39
1764195407,63,39
1764195408,61,37
1764195409,24,15
1764195410,63,39
1764195412,63,39
1764195413,62,38
1764195414,62,38
1764195415,28,21
1764195416,63,39
1764195417,64,39
1764195418,63,39
1764195419,62,38
1764195420,14,8
1764195421,61,37
1764195422,61,37
1764195423,61,37
1764195424,58,36
1764195425,63,39
1764195426,21,15
1764195427,62,38
1764195428,63,39
1764195429,62,38
1764195430,63,38
1764195431,28,21
1764195432,62,38
1764195433,63,39
1764195434,64,39
1764195435,62,38
1764195436,64,39
1764195437,38,23
1764195438,62,38
1764195439,63,39
1764195440,63,39
1764195441,63,38
1764195442,24,17
1764195443,63,39
1764195444,61,38
1764195445,62,38
1764195446,64,39
1764195447,27,20
1764195448,61,37
1764195449,63,39
1764195451,61,37
1764195452,63,39
1764195453,62,38
1764195454,65,40
1764195455,64,39
1764195456,64,39
1764195457,64,39
1764195458,63,38
1764195459,28,21
1764195460,61,38
1764195461,63,38
1764195462,63,39
1764195463,62,38
1764195464,19,14
1764195465,52,32
1764195466,61,37
1764195467,63,38
1764195468,64,39
1764195469,63,39
1764195470,25,18
1764195471,63,39
1764195472,64,39
1764195473,65,40
1764195474,65,40
1764195475,11,7
1764195476,62,38
1764195477,63,39
1764195478,62,38
1764195479,63,38
1764195480,62,38
1764195481,4,2
1764195482,64,39
1764195483,64,39
1764195484,63,38
1764195485,64,39
1764195486,28,21
1764195487,63,38
1764195488,63,38
1764195489,62,38
1764195491,62,38
1764195492,39,24
1764195493,61,38
1764195494,63,39
1764195495,62,38
1764195496,64,39
1764195497,63,38
1764195498,15,11
1764195499,62,38
1764195500,64,39
1764195501,64,39
1764195502,64,39
1764195503,28,21
1764195504,64,39
1764195505,63,38
1764195506,63,39
1764195507,63,39
1764195508,20,14
1764195509,63,39
1764195510,64,39
1764195511,62,38
1764195512,64,39
1764195513,64,39
1764195514,11,7
1764195515,62,38
1764195516,63,39
1764195517,63,39
1764195518,63,39
1764195519,28,21
1764195520,58,36
1764195521,63,38
1764195522,64,39
1764195523,64,39
1764195524,16,10
1764195525,63,38
1764195526,62,38
1764195527,61,38
1764195528,63,39
1764195529,62,38
1764195531,28,21
1764195532,63,38
1764195533,62,38
1764195534,63,39
1764195535,64,39
1764195536,28,21
1764195537,62,38
1764195538,52,32
1764195539,64,39
1764195540,63,39
1764195541,63,38
1764195542,5,3
1764195543,63,39
1764195544,63,39
1764195545,60,36
1764195546,65,40
1764195547,28,20
1764195548,64,39
1764195549,63,38
1764195550,63,38
1764195551,63,39
1764195552,25,15
1764195553,63,38
1764195554,61,37
1764195555,58,35
1764195556,64,39
1764195557,64,39
1764195558,14,10
1764195559,63,39
1764195560,63,39
1764195561,62,38
1764195562,63,38
1764195563,28,21
1764195564,52,32
1764195565,63,38
1764195566,63,38
1764195567,63,38
1764195568,63,39
1764195569,5,3
1764195571,64,39
1764195572,64,39
1764195573,62,38
1764195574,64,40
1764195575,28,21
1764195576,49,30
1764195577,64,39
1764195578,64,39
1764195579,62,38
1764195580,32,19
1764195581,65,40
1764195582,64,39
1764195583,62,38
1764195584,62,38
1764195585,63,39
1764195586,29,21
1764195587,64,39
1764195588,48,29
1764195589,62,38
1764195590,64,39
1764195591,17,13
1764195592,62,38
1764195593,62,38
1764195594,64,39
1764195595,63,38
1764195596,64,39
1764195597,31,19
1764195598,63,39
1764195599,63,39
1764195600,63,39
1764195601,61,38
1764195602,28,21
1764195603,63,39
1764195604,63,39
1764195605,63,38
1764195606,63,38
1764195607,15,11
1764195608,63,38
1764195609,62,38
1764195611,63,38
1764195612,64,39
1764195613,60,36
1764195614,37,23
1764195615,64,39
1764195616,63,38
1764195617,64,39
1764195618,62,38
1764195619,23,16
1764195620,63,38
1764195621,62,38
1764195622,63,39
1764195623,65,40
1764195624,16,12
1764195625,62,38
1764195626,65,40
1764195627,59,36
1764195628,59,36
1764195629,64,39
1764195630,10,7
1764195631,63,38
1764195632,61,37
1764195633,63,39
1764195634,63,39
1764195635,28,21
1764195636,63,39
1764195637,63,38
1764195638,63,38
1764195639,63,38
1764195640,51,31
1764195641,29,18
1764195642,63,39
1764195643,63,38
1764195644,63,39
1764195645,62,38
1764195646,27,19
1764195647,63,39
1764195648,63,38
1764195650,63,39
1764195651,63,38
1764195652,28,20
1764195653,64,39
1764195654,63,38
1764195655,62,38
1764195656,64,39
1764195657,64,39
1764195658,62,38
1764195659,61,38
1764195660,64,39
1764195661,63,38
1764195662,64,39
1764195663,26,18
1764195664,62,38
1764195665,64,39
1764195666,63,39
1764195667,63,39
1764195668,28,20
1764195669,63,39
1764195670,64,39
1764195671,61,38
1764195672,63,38
1764195673,8,6
1764195674,63,39
1764195675,62,38
1764195676,63,39
1764195677,62,38
1764195678,62,38
1764195679,28,21
1764195680,64,39
1764195681,64,39
1764195682,62,38
1764195683,62,38
1764195684,28,20
1764195685,61,38
1764195686,63,38
1764195687,63,39
1764195689,61,37
1764195690,37,23
1764195691,53,32
1764195692,59,36
1764195693,60,36
1764195694,56,35
1764195695,63,39
1764195696,28,21
1764195697,63,39
1764195698,62,38
1764195699,63,39
1764195700,61,37
1764195701,15,9
1764195702,55,34
1764195703,59,36
1764195704,62,38
1764195705,63,38
1764195706,63,38
1764195707,11,8
1764195708,63,38
1764195709,63,38
1764195710,64,39
1764195711,63,38
1764195712,28,21
1764195713,64,39
1764195714,64,39
1764195715,64,39
1764195716,63,38
1764195717,29,17
1764195718,62,38
1764195719,63,39
1764195720,63,38
1764195721,64,39
1764195722,63,38
1764195723,6,4
1764195724,63,39
1764195725,63,39
1764195727,63,39
1764195728,63,39
1764195729,29,21
1764195730,61,38
1764195731,63,39
1764195732,63,38
1764195733,64,39
1764195734,19,14
1764195735,51,31
1764195736,52,32
1764195737,50,31
1764195738,52,32
1764195739,64,39
1764195740,27,16
1764195741,50,31
1764195742,63,39
1764195743,63,39
1764195744,65,40
1764195745,63,38
1764195746,19,14
1764195747,60,37
1764195748,63,38
1764195749,63,38
1764195750,63,39
1764195751,28,20
1764195752,64,39
1764195753,63,39
1764195754,62,38
1764195755,64,39
1764195756,55,33
1764195757,59,36
1764195758,64,39
1764195759,62,38
1764195760,63,39
1764195761,61,37
1764195762,27,19
1764195763,59,36
1764195764,62,38
1764195765,62,38
1764195767,62,38
1764195768,26,19
1764195769,63,38
1764195770,62,38
1764195771,63,38
1764195772,63,39
1764195773,32,19
1764195774,59,36
1764195775,65,40
1764195776,64,39
1764195777,53,32
1764195778,51,31
1764195779,12,9
1764195780,62,38
1764195781,62,38
1764195782,63,39
1764195783,63,39
1764195784,64,39
1764195785,20,12
1764195786,60,37
1764195787,65,40
1764195788,64,39
1764195789,64,39
1764195790,27,20
1764195791,63,39
1764195792,63,39
1764195793,63,38
1764195794,63,39
1764195795,32,19
1764195796,51,31
1764195797,63,38
1764195798,62,38
1764195799,62,38
1764195800,63,39
1764195801,23,16
1764195802,53,32
1764195803,64,39
1764195804,63,38
1764195806,52,32
1764195807,45,27
1764195808,30,18
1764195809,61,37
1764195810,64,39
1764195811,63,39
1764195812,63,38
1764195813,27,20
1764195814,59,36
1764195815,63,38
1764195816,64,39
1764195817,63,38
1764195818,14,9
1764195819,60,37
1764195820,63,39
1764195821,62,38
1764195822,63,38
1764195823,63,39
1764195824,5,3
1764195825,61,37
1764195826,63,39
1764195827,63,38
1764195828,63,39
1764195829,27,20
1764195830,63,39
1764195831,63,39
1764195832,63,39
1764195833,61,38
1764195834,18,11
1764195835,63,39
1764195836,63,38
1764195837,62,38
1764195838,61,37
1764195839,63,38
1764195840,28,20
1764195841,50,31
1764195842,64,39
1764195844,63,39
1764195845,62,38
1764195846,42,25
1764195847,55,34
1764195848,63,38
1764195849,62,38
1764195850,62,38
1764195851,62,38
1764195852,14,10
1764195853,64,39
1764195854,50,31
1764195855,62,38
1764195856,62,38
1764195857,20,15
1764195858,62,38
1764195859,63,38
1764195860,62,38
1764195861,50,31
1764195862,64,39
1764195863,24,17
1764195864,63,39
1764195865,64,39
1764195866,64,39
1764195867,63,38
1764195868,28,21
1764195869,58,36
1764195870,63,39
1764195871,62,38
1764195872,63,38
1764195873,52,32
1764195874,31,19
1764195875,61,38
1764195876,63,39
1764195877,64,39
1764195878,63,38
1764195879,28,21
1764195880,63,39
1764195881,62,38
1764195883,62,38
1764195884,63,39
1764195885,16,10
1764195886,61,38
1764195887,63,39
1764195888,63,38
1764195889,59,36
1764195890,64,39
1764195891,11,7
1764195892,63,38
1764195893,62,38
1764195894,65,40
1764195895,63,39
1764195896,28,20
1764195897,63,38
1764195898,62,38
1764195899,63,38
1764195900,63,39
1764195901,45,27
1764195902,31,19
1764195903,63,38
1764195904,63,39
1764195905,63,39
1764195906,63,38
1764195907,27,20
1764195908,64,39
1764195909,63,38
1764195910,53,33
1764195911,53,32
1764195912,51,31
1764195913,15,10
1764195914,63,38
1764195915,63,39
1764195916,63,38
1764195917,62,38
1764195918,20,15
1764195919,49,30
1764195920,53,32
1764195921,62,38
1764195923,62,38
1764195924,64,39
1764195925,28,21
1764195926,63,39
1764195927,63,38
1764195928,63,39
1764195929,64,39
1764195930,25,18
1764195931,64,39
1764195932,63,39
1764195933,64,39
1764195934,63,38
1764195935,34,21
1764195936,59,36
1764195937,64,40
1764195938,62,38
1764195939,63,39
1764195940,60,37
1764195941,28,21
1764195942,63,39
1764195943,63,39
1764195944,62,38
1764195945,64,39
1764195946,13,9
1764195947,60,37
1764195948,64,39
1764195949,63,38
1764195950,62,38
1764195951,63,38
1764195952,0,0
1764195953,62,38
1764195954,63,39
1764195955,62,38
1764195956,62,38
1764195957,29,21
1764195958,64,39
1764195959,62,38
1764195960,63,39
1764195962,62,38
1764195963,32,19
1764195964,28,17
1764195965,64,39
1764195966,62,38
1764195967,63,39
1764195968,63,38
1764195969,27,19
1764195970,49,30
1764195971,52,32
1764195972,62,38
1764195973,65,40
1764195974,49,30
1764195975,44,27
1764195976,63,38
1764195977,63,39
1764195978,62,38
1764195979,64,39
1764195980,28,20
