timestamp,power_draw_w
1764599559,69.16
1764599561,69.44
1764599562,69.40
1764599564,71.87
1764599566,69.41
1764599568,69.47
1764599570,69.34
1764599572,69.61
1764599574,77.16
1764599575,78.25
1764599576,77.96
1764599577,83.72
1764599578,88.12
1764599579,88.10
1764599580,88.16
1764599581,88.44
1764599582,88.69
1764599583,88.57
1764599584,88.74
1764599585,88.82
1764599586,88.82
1764599587,87.27
1764599588,81.43
1764599589,84.29
1764599590,89.12
1764599591,89.18
1764599592,89.26
1764599593,89.28
1764599594,89.38
1764599595,89.50
1764599596,89.53
1764599597,89.32
1764599598,89.37
1764599599,89.53
1764599600,83.05
1764599601,85.18
1764599602,89.38
1764599603,88.52
1764599604,88.79
1764599605,88.63
1764599606,88.78
1764599608,88.85
1764599609,89.00
1764599610,88.82
1764599611,88.93
1764599612,89.02
1764599613,83.32
1764599614,83.88
1764599615,89.08
1764599616,89.37
1764599617,89.18
1764599618,89.29
1764599619,89.35
1764599620,89.38
1764599621,89.60
1764599622,89.57
1764599623,89.55
1764599624,89.77
1764599625,84.43
1764599626,83.03
1764599627,90.09
1764599628,90.08
1764599629,90.04
1764599630,89.88
1764599631,90.09
1764599632,90.25
1764599633,90.24
1764599634,90.11
1764599635,90.32
1764599636,90.35
1764599637,86.26
1764599638,83.32
1764599639,89.70
1764599640,90.59
1764599641,90.54
1764599642,90.67
1764599643,90.82
1764599644,90.89
1764599645,91.03
1764599646,90.90
1764599648,90.92
1764599649,91.01
1764599650,87.01
1764599651,83.94
1764599652,88.99
1764599653,91.07
1764599654,91.20
1764599655,91.24
1764599656,91.44
1764599657,91.42
1764599658,91.69
1764599659,91.54
1764599660,91.42
1764599661,91.65
1764599662,89.65
1764599663,84.60
1764599664,88.07
1764599665,91.68
1764599666,91.62
1764599667,91.59
1764599668,91.67
1764599669,91.72
1764599670,91.68
1764599671,91.74
1764599672,91.82
1764599673,91.66
1764599674,90.67
1764599675,84.51
1764599676,88.09
1764599677,91.97
1764599678,91.87
1764599679,91.89
1764599680,91.55
1764599681,91.62
1764599682,91.78
1764599683,92.08
1764599684,91.84
1764599685,91.95
1764599687,91.90
1764599688,86.16
1764599689,87.10
1764599690,91.95
1764599691,91.93
1764599692,92.05
1764599693,91.90
1764599694,91.94
1764599695,91.96
1764599696,92.16
1764599697,92.14
1764599698,91.96
1764599699,92.12
1764599700,86.58
1764599701,85.65
1764599702,92.01
1764599703,92.14
1764599704,92.30
1764599705,92.17
1764599706,92.19
1764599707,92.17
1764599708,92.22
1764599709,92.24
1764599710,92.17
1764599711,92.08
1764599712,87.44
1764599713,84.41
1764599714,90.53
1764599715,91.89
1764599716,91.73
1764599717,91.71
1764599718,91.68
1764599719,92.14
1764599720,91.79
1764599721,91.64
1764599722,91.68
1764599723,91.79
1764599724,88.97
1764599725,85.04
1764599727,89.65
1764599728,91.89
1764599729,91.86
1764599730,92.05
1764599731,92.10
1764599732,91.92
1764599733,91.85
1764599734,92.13
1764599735,92.09
1764599736,92.08
1764599737,90.43
1764599738,85.22
1764599739,88.72
1764599740,91.98
1764599741,92.23
1764599742,92.07
1764599743,91.97
1764599744,91.71
1764599745,91.55
1764599746,91.73
1764599747,91.97
1764599748,92.06
1764599749,91.90
1764599750,85.90
1764599751,84.18
1764599752,82.06
