timestamp,gpu_util_percent,memory_util_percent
1764599559,0,0
1764599561,0,0
1764599562,0,0
1764599564,0,0
1764599566,0,0
1764599568,0,0
1764599570,0,0
1764599572,0,0
1764599574,3,0
1764599575,0,0
1764599576,0,0
1764599577,10,6
1764599578,11,6
1764599579,11,6
1764599580,10,6
1764599581,11,6
1764599582,11,6
1764599583,11,6
1764599584,11,6
1764599585,11,6
1764599586,10,6
1764599587,6,3
1764599588,2,1
1764599589,11,6
1764599590,11,6
1764599591,10,6
1764599592,11,6
1764599593,11,6
1764599594,11,6
1764599595,10,6
1764599596,11,6
1764599597,11,6
1764599598,11,6
1764599599,11,6
1764599600,2,1
1764599601,11,6
1764599602,11,6
1764599603,11,6
1764599604,11,6
1764599605,11,6
1764599606,11,6
1764599608,11,6
1764599609,11,6
1764599610,11,6
1764599611,11,6
1764599612,11,6
1764599613,2,1
1764599614,11,6
1764599615,11,6
1764599616,11,6
1764599617,10,6
1764599618,11,6
1764599619,11,6
1764599620,11,6
1764599621,11,6
1764599622,11,6
1764599623,11,6
1764599624,11,6
1764599625,4,3
1764599626,2,1
1764599627,11,6
1764599628,11,6
1764599629,11,6
1764599630,11,6
1764599631,11,6
1764599632,11,6
1764599633,10,6
1764599634,11,6
1764599635,11,6
1764599636,11,6
1764599637,4,3
1764599638,2,2
1764599639,10,6
1764599640,11,6
1764599641,11,6
1764599642,11,6
1764599643,11,6
1764599644,11,6
1764599645,11,6
1764599646,10,6
1764599648,11,6
1764599649,11,6
1764599650,2,1
1764599651,2,1
1764599652,11,6
1764599653,11,6
1764599654,10,6
1764599655,11,6
1764599656,11,6
1764599657,11,6
1764599658,11,6
1764599659,11,6
1764599660,10,6
1764599661,11,6
1764599662,2,1
1764599663,2,1
1764599664,11,6
1764599665,11,6
1764599666,11,6
1764599667,10,6
1764599668,11,6
1764599669,11,6
1764599670,10,6
1764599671,11,6
1764599672,11,6
1764599673,11,6
1764599674,11,6
1764599675,2,1
1764599676,11,6
1764599677,11,6
1764599678,11,6
1764599679,11,6
1764599680,11,6
1764599681,10,6
1764599682,11,6
1764599683,11,6
1764599684,11,6
1764599685,11,6
1764599687,11,6
1764599688,2,1
1764599689,11,6
1764599690,11,6
1764599691,11,6
1764599692,11,6
1764599693,10,6
1764599694,11,6
1764599695,11,6
1764599696,11,6
1764599697,11,6
1764599698,11,6
1764599699,11,6
1764599700,2,1
1764599701,7,4
1764599702,10,6
1764599703,10,6
1764599704,11,6
1764599705,11,6
1764599706,11,6
1764599707,11,6
1764599708,10,6
1764599709,11,6
1764599710,10,6
1764599711,11,6
1764599712,2,2
1764599713,4,3
1764599714,11,6
1764599715,11,6
1764599716,10,6
1764599717,11,6
1764599718,11,6
1764599719,11,6
1764599720,10,6
1764599721,10,6
1764599722,11,6
1764599723,11,6
1764599724,2,1
1764599725,2,1
1764599727,11,6
1764599728,11,6
1764599729,11,6
1764599730,10,6
1764599731,11,6
1764599732,10,6
1764599733,11,6
1764599734,11,6
1764599735,11,6
1764599736,11,6
1764599737,3,2
1764599738,2,1
1764599739,11,6
1764599740,10,6
1764599741,11,6
1764599742,11,6
1764599743,11,6
1764599744,10,6
1764599745,10,6
1764599746,10,6
1764599747,11,6
1764599748,10,6
1764599749,10,6
1764599750,2,1
1764599751,0,0
1764599752,0,0
