experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,perf_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
MRT-OAST_default_001,2025-12-02T19:20:10.686267,MRT-OAST,default,True,1300.2032346725464,0,,0.04270586130294716,,,,4934.0,,0.999124,,,0.944146,38422.61,2977.18,41399.79,250.51941971383167,318.71,68.4,315153.4300000002,78.25039745627981,84.0,92.18124006359301,98.0
Person_reID_baseline_pytorch_hrnet18_002,2025-12-02T20:30:29.017377,Person_reID_baseline_pytorch,hrnet18,True,4154.828181505203,0,,,,0.03294905709564009,,,0.781272,,0.917162,0.967637,,131307.6,10521.44,141829.04,235.36458395245188,256.76,10.97,950402.1900000006,82.48117880138682,84.0,64.02922238732046,75.0
Person_reID_baseline_pytorch_hrnet18_003,2025-12-02T21:40:22.163269,Person_reID_baseline_pytorch,hrnet18,True,4129.6392657756805,0,,0.3413492264894854,,,,,0.765036,,0.914192,0.967043,,130989.6,10323.59,141313.19,233.34757839721306,258.67,14.88,937590.570000002,82.33424589347935,84.0,64.84718765555003,77.0
Person_reID_baseline_pytorch_hrnet18_004,2025-12-02T22:52:50.341819,Person_reID_baseline_pytorch,hrnet18,True,4284.674800634384,0,,,,,8691,,0.738058,,0.894002,0.95962,,135494.72,10702.73,146197.45,235.99072919165263,257.6,12.78,983845.3499999999,82.43343727512593,84.0,67.51451187335093,79.0
Person_reID_baseline_pytorch_pcb_005,2025-12-03T00:33:05.018415,Person_reID_baseline_pytorch,pcb,True,5951.126707792282,0,,,88,,,,0.77076,,0.92785,0.969418,,200095.53,15489.01,215584.54,218.64594197893237,319.16,13.99,1266178.6499999973,77.91832153341392,84.0,97.18010706268348,100.0
Person_reID_baseline_pytorch_pcb_006,2025-12-03T01:43:02.242049,Person_reID_baseline_pytorch,pcb,True,4133.847870588303,0,,,,0.04877361562570654,,,0.7765,,0.924287,0.972684,,138942.73,10695.32,149638.05,213.47924396916252,318.42,12.1,858400.0400000025,78.02138771449889,84.0,96.66500870430241,100.0
Person_reID_baseline_pytorch_pcb_007,2025-12-03T02:52:50.556130,Person_reID_baseline_pytorch,pcb,True,4124.952593803406,0,,0.4384615268137537,,,,,0.77739,,0.926366,0.973278,,138421.84,10669.96,149091.8,214.1455757726819,319.32,11.16,859152.0499999998,77.94042871385842,84.0,96.62911266201395,100.0
Person_reID_baseline_pytorch_pcb_008,2025-12-03T04:06:48.887128,Person_reID_baseline_pytorch,pcb,True,4374.965131282806,0,,,,,5486,,0.775638,,0.925772,0.972981,,146204.96,11250.04,157455.0,222.55932549941272,317.9,14.13,946989.9300000011,79.77273795534666,85.0,96.96592244418332,100.0
examples_mnist_ff_009,2025-12-03T04:08:02.184832,examples,mnist_ff,True,10.263314723968506,0,81,,,,,,,,,,,272.29,22.23,294.52,86.36749999999999,93.73,77.1,690.9399999999999,65.625,66.0,6.25,24.0
examples_mnist_ff_010,2025-12-03T04:09:16.905609,examples,mnist_ff,True,11.68743371963501,0,,,14,,,,,,,,,312.87,25.16,338.03,90.46111111111112,122.43,76.56,814.1500000000001,64.66666666666667,66.0,0.7777777777777778,4.0
examples_mnist_ff_011,2025-12-03T04:10:37.715921,examples,mnist_ff,True,17.776339530944824,0,,,,0.012684299171363001,,,,,,,,496.99,39.32,536.31,181.20066666666668,318.61,78.46,2718.01,68.26666666666667,76.0,41.0,100.0
examples_mnist_ff_012,2025-12-03T04:11:58.498663,examples,mnist_ff,True,17.748979091644287,0,,,,,3839,,,,,,,493.9,39.07,532.97,180.65466666666669,319.66,75.89,2709.82,67.73333333333333,76.0,41.13333333333333,100.0
