timestamp,gpu_util_percent,memory_util_percent
1764849988,2,1
1764849989,2,1
1764849991,13,7
1764849992,13,7
1764849993,13,7
1764849994,14,7
1764849995,13,7
1764849996,13,7
1764849997,19,6
1764849998,29,7
1764849999,87,59
1764850000,95,67
1764850001,95,64
1764850002,95,67
1764850003,94,68
1764850004,95,63
1764850005,95,67
1764850006,95,62
1764850007,100,67
1764850008,95,61
1764850009,95,60
1764850010,95,67
1764850011,95,62
1764850012,95,67
1764850013,96,63
1764850014,100,66
1764850015,95,61
1764850016,94,69
1764850017,94,68
1764850018,100,67
1764850019,95,60
1764850020,95,66
1764850021,95,62
1764850022,95,67
1764850023,95,62
1764850024,96,62
1764850025,100,67
1764850026,99,65
1764850027,95,62
1764850028,96,67
1764850030,96,62
1764850031,93,67
1764850032,95,65
1764850033,95,60
1764850034,96,65
1764850035,95,62
1764850036,95,65
1764850037,95,66
1764850038,95,62
1764850039,100,67
1764850040,96,63
1764850041,100,65
1764850042,96,60
1764850043,95,63
1764850044,94,67
1764850045,94,67
1764850046,95,62
1764850047,95,66
1764850048,96,65
1764850049,96,65
1764850050,95,61
1764850051,95,66
1764850052,95,67
1764850053,96,62
1764850054,100,66
1764850055,99,64
1764850056,100,66
1764850057,96,59
1764850058,93,67
1764850059,94,63
1764850060,100,66
1764850061,99,61
1764850062,95,60
1764850063,97,61
1764850064,96,60
1764850065,95,65
1764850066,95,65
1764850067,95,61
1764850068,95,67
1764850070,95,66
1764850071,95,61
1764850072,94,67
1764850073,94,68
1764850074,96,61
1764850075,96,66
1764850076,96,67
1764850077,95,61
1764850078,97,64
1764850079,100,65
1764850080,100,64
1764850081,99,65
1764850082,95,60
1764850083,95,66
1764850084,95,65
1764850085,95,61
1764850086,94,67
1764850087,96,63
1764850088,97,62
1764850089,95,59
1764850090,96,65
1764850091,96,66
1764850092,95,61
1764850093,95,63
1764850094,95,66
1764850095,95,62
1764850096,95,67
1764850097,95,62
1764850098,95,62
1764850099,94,65
1764850100,95,67
1764850101,96,66
1764850102,95,66
1764850103,95,66
1764850104,95,67
1764850105,95,60
1764850106,98,64
1764850107,100,65
1764850108,96,60
1764850110,95,58
1764850111,99,64
1764850112,95,58
1764850113,95,63
1764850114,96,67
1764850115,94,64
1764850116,100,65
1764850117,100,64
1764850118,95,59
1764850119,100,64
1764850120,95,58
