timestamp,power_draw_w
1764869773,93.61
1764869774,89.15
1764869775,94.38
1764869776,96.89
1764869777,96.92
1764869778,96.06
1764869779,106.05
1764869780,161.41
1764869782,231.08
1764869783,262.23
1764869784,265.01
1764869785,264.24
1764869786,271.64
1764869787,264.89
1764869788,262.73
1764869789,262.04
1764869790,258.26
1764869791,259.62
1764869792,260.59
1764869793,260.57
1764869794,262.69
1764869795,263.08
1764869796,261.91
1764869797,259.91
1764869798,245.92
1764869799,259.84
1764869800,257.84
1764869801,269.44
1764869802,267.20
1764869803,263.88
1764869804,253.27
1764869805,264.07
1764869806,270.02
1764869807,266.10
1764869808,262.18
1764869809,263.34
1764869810,267.37
1764869811,272.18
1764869812,273.16
1764869813,271.68
1764869814,272.42
1764869815,274.80
1764869816,278.11
1764869817,274.70
1764869818,272.16
1764869819,265.24
1764869821,263.38
1764869822,279.15
1764869823,276.71
1764869824,273.84
1764869825,274.74
1764869826,278.48
1764869827,269.65
1764869828,279.57
1764869829,279.50
1764869830,268.42
1764869831,275.67
1764869832,271.30
1764869833,269.96
1764869834,272.89
1764869835,280.95
1764869836,276.09
1764869837,271.63
1764869838,278.83
1764869839,270.82
1764869840,271.16
1764869841,280.95
1764869842,274.00
1764869843,277.66
1764869844,279.12
1764869845,265.73
1764869846,273.12
1764869847,273.11
1764869848,268.32
1764869849,273.68
1764869850,278.77
1764869851,265.14
1764869852,275.94
1764869853,266.39
1764869854,277.67
1764869855,269.96
1764869856,273.49
1764869857,280.73
1764869858,243.06
1764869860,270.79
1764869861,270.70
1764869862,266.71
1764869863,262.91
1764869864,273.77
1764869865,271.37
1764869866,271.48
1764869867,269.88
1764869868,270.81
1764869869,270.61
1764869870,271.96
1764869871,267.40
1764869872,269.63
1764869873,271.98
1764869874,273.86
1764869875,266.66
1764869876,275.11
1764869877,263.93
1764869878,269.35
1764869879,276.12
1764869880,275.45
1764869881,267.80
1764869882,275.39
1764869883,274.14
1764869884,264.17
1764869885,277.27
1764869886,267.95
1764869887,268.09
1764869888,280.08
1764869889,263.10
1764869890,273.65
1764869891,264.42
1764869892,266.26
1764869893,251.48
1764869894,272.73
1764869895,274.59
1764869896,259.76
1764869897,257.48
1764869899,276.46
1764869900,266.99
1764869901,266.31
1764869902,267.25
1764869903,262.21
1764869904,256.34
1764869905,260.98
1764869906,262.15
1764869907,260.00
1764869908,264.63
1764869909,260.49
1764869910,270.88
1764869911,271.85
1764869912,265.70
1764869913,278.68
1764869914,261.36
1764869915,259.99
1764869916,264.02
1764869917,265.01
1764869918,269.28
1764869919,267.01
1764869920,263.79
1764869921,261.64
1764869922,260.71
1764869923,255.11
1764869924,269.02
1764869925,268.71
1764869926,269.76
1764869927,262.85
1764869928,270.38
1764869929,268.31
1764869930,267.83
1764869931,269.20
1764869932,273.14
1764869933,260.23
1764869934,266.25
1764869935,259.92
1764869936,250.34
1764869938,261.48
1764869939,253.17
1764869940,258.35
1764869941,255.28
1764869942,268.61
1764869943,261.99
1764869944,267.63
1764869945,267.42
1764869946,259.78
1764869947,267.41
1764869948,270.35
1764869949,270.10
1764869950,254.24
1764869951,264.47
1764869952,252.69
1764869953,257.53
1764869954,255.93
1764869955,260.72
1764869956,262.73
1764869957,256.50
1764869958,271.57
1764869959,264.42
1764869960,278.33
1764869961,262.89
1764869962,265.05
1764869963,262.55
1764869964,272.60
1764869965,263.81
1764869966,269.22
1764869967,264.68
1764869968,270.64
1764869969,261.07
1764869970,266.48
1764869971,257.82
1764869972,264.74
1764869973,259.88
1764869974,246.87
1764869975,245.13
1764869977,259.14
1764869978,263.25
1764869979,261.74
1764869980,261.95
1764869981,265.32
1764869982,263.45
1764869983,260.86
1764869984,264.88
1764869985,268.90
1764869986,259.53
1764869987,264.00
1764869988,254.11
1764869989,265.16
1764869990,256.27
1764869991,260.77
1764869992,265.18
1764869993,262.90
1764869994,269.46
1764869995,260.18
1764869996,267.72
1764869997,251.27
1764869998,255.34
1764869999,257.92
1764870000,252.97
1764870001,261.54
1764870002,252.71
1764870003,250.36
1764870004,258.36
1764870005,259.33
1764870006,259.05
1764870007,253.54
1764870008,252.48
1764870009,255.31
1764870010,248.94
1764870011,252.40
1764870012,260.58
1764870013,245.00
1764870014,251.88
1764870015,246.47
1764870017,257.38
1764870018,245.38
1764870019,265.62
1764870020,269.74
1764870021,264.35
1764870022,268.01
1764870023,259.59
1764870024,265.35
1764870025,259.53
1764870026,266.46
1764870027,255.65
1764870028,263.67
1764870029,261.45
1764870030,259.93
1764870031,254.84
1764870032,256.91
1764870033,247.61
1764870034,260.52
1764870035,251.22
1764870036,259.05
1764870037,265.22
1764870038,265.80
1764870039,261.49
1764870040,259.50
1764870041,254.06
1764870042,254.18
1764870043,252.51
1764870044,252.84
1764870045,263.52
1764870046,264.91
1764870047,254.65
1764870048,265.38
1764870049,250.83
1764870050,252.14
1764870051,262.61
1764870052,259.22
1764870053,267.58
1764870054,250.99
1764870056,257.10
1764870057,257.29
1764870058,263.87
1764870059,243.31
1764870060,230.00
1764870061,226.96
1764870062,258.91
1764870063,255.37
1764870064,254.95
1764870065,262.90
1764870066,258.95
1764870067,252.73
1764870068,256.51
1764870069,254.31
1764870070,263.89
1764870071,262.03
1764870072,252.05
1764870073,260.39
1764870074,270.90
1764870075,256.02
1764870076,251.77
1764870077,255.17
1764870078,258.60
1764870079,260.81
1764870080,255.27
1764870081,260.64
1764870082,251.79
1764870083,253.57
1764870084,250.59
1764870085,248.10
1764870086,256.33
1764870087,249.49
1764870088,255.58
1764870089,254.26
1764870090,246.02
1764870091,256.91
1764870092,251.62
1764870093,252.92
1764870095,260.01
1764870096,248.73
1764870097,249.41
1764870098,256.24
1764870099,251.32
1764870100,261.04
1764870101,265.20
1764870102,256.50
1764870103,251.76
1764870104,259.27
1764870105,272.50
1764870106,260.61
1764870107,260.10
1764870108,255.95
1764870109,262.27
1764870110,251.62
1764870111,252.08
1764870112,255.30
1764870113,260.18
1764870114,260.58
1764870115,257.11
1764870116,260.75
1764870117,242.21
1764870118,241.98
1764870119,260.11
1764870120,253.28
1764870121,255.91
1764870122,263.26
1764870123,256.94
1764870124,258.10
1764870125,260.60
1764870126,248.32
1764870127,255.14
1764870128,258.34
1764870129,253.51
1764870130,255.93
1764870131,256.24
1764870132,249.74
1764870133,257.50
1764870135,263.67
1764870136,242.59
1764870137,257.87
1764870138,258.77
1764870139,257.99
1764870140,259.25
1764870141,264.68
1764870142,247.78
1764870143,254.04
1764870144,268.13
1764870145,240.11
1764870146,248.93
1764870147,261.32
1764870148,251.21
1764870149,238.57
1764870150,247.01
1764870151,249.11
1764870152,248.37
1764870153,248.26
1764870154,250.21
1764870155,253.58
1764870156,249.54
1764870157,250.58
1764870158,263.21
1764870159,260.65
1764870160,248.96
1764870161,248.38
1764870162,264.16
1764870163,253.80
1764870164,247.10
1764870165,246.87
1764870166,252.03
1764870167,249.37
1764870168,254.66
1764870169,257.19
1764870170,273.22
1764870171,242.18
1764870173,255.21
1764870174,261.85
1764870175,220.10
1764870176,262.97
1764870177,255.39
1764870178,248.71
1764870179,260.23
1764870180,267.18
1764870181,251.13
1764870182,266.28
1764870183,250.39
1764870184,253.87
1764870185,249.32
1764870186,243.40
1764870187,246.90
1764870188,256.97
1764870189,243.80
1764870190,262.09
1764870191,255.82
1764870192,261.73
1764870193,246.52
1764870194,255.01
1764870195,265.10
1764870196,244.12
1764870197,259.40
1764870198,247.94
1764870199,254.11
1764870200,245.82
1764870201,243.22
1764870202,255.72
1764870203,250.55
1764870204,242.12
1764870205,252.93
1764870206,248.63
1764870207,265.57
1764870208,249.18
1764870209,258.15
1764870210,253.01
1764870212,266.02
1764870213,247.31
1764870214,254.77
1764870215,250.65
1764870216,258.96
1764870217,270.20
1764870218,246.61
1764870219,268.50
1764870220,246.55
1764870221,269.06
1764870222,245.54
1764870223,253.78
1764870224,255.88
1764870225,244.80
1764870226,258.13
1764870227,250.57
1764870228,251.38
1764870229,271.27
1764870230,250.28
1764870231,262.33
1764870232,253.85
1764870233,261.77
1764870234,252.38
1764870235,257.79
1764870236,242.65
1764870237,244.11
1764870238,251.32
1764870239,253.46
1764870240,258.89
1764870241,253.45
1764870242,254.80
1764870243,244.35
1764870244,266.11
1764870245,245.78
1764870246,260.05
1764870247,246.40
1764870248,259.59
1764870249,262.89
1764870251,245.59
1764870252,252.15
1764870253,235.45
1764870254,256.78
1764870255,262.83
1764870256,257.64
1764870257,265.70
1764870258,255.78
1764870259,255.17
1764870260,253.65
1764870261,256.98
1764870262,250.62
1764870263,256.67
1764870264,253.12
1764870265,242.40
1764870266,243.86
1764870267,258.40
1764870268,251.42
1764870269,258.96
1764870270,247.15
1764870271,250.17
1764870272,264.64
1764870273,258.24
1764870274,256.99
1764870275,254.87
1764870276,263.30
1764870277,253.12
1764870278,252.85
1764870279,257.22
1764870280,244.54
1764870281,252.60
1764870282,249.62
1764870283,259.07
1764870284,249.41
1764870285,241.77
1764870286,261.97
1764870287,245.78
1764870289,248.37
1764870290,245.87
1764870291,248.91
1764870292,236.01
1764870293,257.55
1764870294,260.40
1764870295,250.29
1764870296,250.88
1764870297,247.99
1764870298,253.15
1764870299,255.99
1764870300,244.93
1764870301,250.04
1764870302,263.99
1764870303,245.06
1764870304,272.29
1764870305,244.37
1764870306,266.67
1764870307,245.18
1764870308,254.69
1764870309,250.00
1764870310,252.80
1764870311,245.44
1764870312,255.51
1764870313,253.52
1764870314,260.14
1764870315,248.14
1764870316,263.63
1764870317,247.72
1764870318,251.17
1764870319,245.68
1764870320,269.54
1764870321,248.24
1764870322,246.47
1764870323,251.19
1764870324,248.67
1764870325,254.11
1764870326,244.91
1764870327,245.73
1764870329,246.84
1764870330,246.55
1764870331,237.75
1764870332,259.37
1764870333,242.29
1764870334,267.15
1764870335,242.36
1764870336,271.53
1764870337,243.79
1764870338,259.67
1764870339,260.82
1764870340,243.29
1764870341,255.11
1764870342,257.13
1764870343,253.71
1764870344,271.71
1764870345,242.79
1764870346,265.39
1764870347,244.22
1764870348,262.52
1764870349,248.37
1764870350,252.35
1764870351,257.11
1764870352,252.47
1764870353,269.66
1764870354,243.63
1764870355,242.09
1764870356,245.37
1764870357,234.33
1764870358,251.22
1764870359,231.89
1764870360,252.81
1764870361,233.15
1764870362,248.38
1764870363,239.13
1764870364,243.49
1764870365,245.03
1764870366,244.14
1764870368,250.15
1764870369,244.16
1764870370,237.15
1764870371,239.54
1764870372,239.34
1764870373,244.16
1764870374,243.82
1764870375,238.15
1764870376,241.84
1764870377,241.53
1764870378,242.36
1764870379,245.32
1764870380,245.14
1764870381,249.13
1764870382,254.10
1764870383,237.60
1764870384,251.45
1764870385,247.10
1764870386,244.53
1764870387,243.85
1764870388,242.70
1764870389,243.52
1764870390,239.91
1764870391,242.43
1764870392,245.59
1764870393,246.25
1764870394,244.41
1764870395,251.44
1764870396,244.55
1764870397,248.96
1764870398,239.01
1764870399,251.29
1764870400,243.55
1764870401,248.70
1764870402,247.39
1764870403,246.51
1764870404,244.81
1764870406,240.70
1764870407,245.58
1764870408,235.45
1764870409,248.53
1764870410,235.88
1764870411,240.52
1764870412,244.98
1764870413,248.72
1764870414,242.26
1764870415,236.74
1764870416,250.20
1764870417,244.90
1764870418,253.43
1764870419,243.56
1764870420,243.61
1764870421,238.06
1764870422,245.48
1764870423,243.46
1764870424,244.78
1764870425,245.78
1764870426,244.97
1764870427,251.05
1764870428,245.43
1764870429,245.99
1764870430,247.60
1764870431,244.95
1764870432,244.21
1764870433,245.74
1764870434,237.73
1764870435,231.84
1764870436,246.79
1764870437,251.05
1764870438,246.10
1764870439,246.80
1764870440,244.64
1764870441,250.07
1764870442,243.85
1764870443,254.36
1764870444,247.06
1764870446,247.98
1764870447,242.15
1764870448,234.37
1764870449,241.09
1764870450,245.24
1764870451,246.87
1764870452,244.51
1764870453,254.97
1764870454,240.04
1764870455,250.83
1764870456,244.58
1764870457,254.27
1764870458,243.71
1764870459,240.14
1764870460,243.02
1764870461,243.31
1764870462,245.56
1764870463,241.97
1764870464,244.07
1764870465,244.94
1764870466,254.17
1764870467,250.25
1764870468,244.86
1764870469,252.71
1764870470,253.32
1764870471,243.35
1764870472,243.58
1764870473,248.21
1764870474,243.52
1764870475,249.14
1764870476,250.08
1764870477,244.31
1764870478,246.04
1764870479,242.14
1764870480,239.77
1764870481,241.90
1764870482,250.11
1764870483,247.00
1764870485,243.09
1764870486,236.88
1764870487,245.58
1764870488,248.48
1764870489,242.91
1764870490,254.37
1764870491,243.01
1764870492,244.45
1764870493,237.91
1764870494,243.66
1764870495,251.75
1764870496,246.53
1764870497,248.91
1764870498,243.62
1764870499,245.49
1764870500,245.99
1764870501,244.16
1764870502,253.51
1764870503,244.36
1764870504,245.29
1764870505,249.02
1764870506,247.10
1764870507,246.92
1764870508,249.90
1764870509,243.85
1764870510,243.50
1764870511,249.56
1764870512,241.20
1764870513,238.14
1764870514,253.12
1764870515,242.74
1764870516,246.86
1764870517,243.82
1764870518,244.14
1764870519,238.15
1764870520,235.16
1764870521,232.12
1764870522,241.43
1764870524,237.01
1764870525,237.58
1764870526,239.11
1764870527,244.89
1764870528,240.03
1764870529,244.91
1764870530,248.01
1764870531,252.78
1764870532,251.47
1764870533,245.34
1764870534,254.29
1764870535,245.15
1764870536,238.84
1764870537,246.56
1764870538,249.53
1764870539,243.58
1764870540,248.78
1764870541,242.60
1764870542,253.17
1764870543,247.98
1764870544,241.45
1764870545,250.44
1764870546,241.32
1764870547,249.15
1764870548,244.36
1764870549,247.84
1764870550,244.43
1764870551,242.02
1764870552,250.42
1764870553,247.66
1764870554,243.69
1764870555,254.99
1764870556,243.10
1764870557,243.55
1764870558,246.72
1764870559,246.08
1764870560,250.34
1764870561,243.96
1764870562,246.77
1764870564,216.22
1764870565,243.35
1764870566,243.44
1764870567,252.20
1764870568,246.38
1764870569,246.56
1764870570,246.58
1764870571,255.13
1764870572,252.10
1764870573,245.59
1764870574,239.37
1764870575,239.55
1764870576,244.57
1764870577,245.60
1764870578,260.98
1764870579,248.07
1764870580,241.42
1764870581,246.04
1764870582,244.82
1764870583,251.43
1764870584,238.85
1764870585,241.25
1764870586,244.30
1764870587,244.96
1764870588,257.38
1764870589,243.06
1764870590,252.99
1764870591,244.80
1764870592,254.99
1764870593,243.11
1764870594,250.54
1764870595,253.06
1764870596,240.20
1764870597,250.23
1764870599,248.25
1764870600,240.65
1764870601,242.44
1764870602,238.14
1764870603,249.06
1764870604,243.28
1764870605,242.75
1764870606,239.27
1764870607,240.20
1764870608,243.35
1764870609,244.23
1764870610,250.10
1764870611,244.90
1764870612,244.41
1764870613,231.31
1764870614,246.69
1764870615,247.29
1764870616,240.04
1764870617,246.61
1764870618,244.67
1764870619,244.44
1764870620,251.84
1764870621,245.43
1764870622,247.34
1764870623,239.89
1764870624,243.57
1764870625,240.64
1764870626,243.25
1764870627,241.28
1764870628,242.30
1764870629,236.38
1764870630,245.30
1764870631,248.70
1764870632,249.21
1764870633,246.66
1764870634,244.54
1764870635,239.37
1764870636,245.69
1764870638,244.66
1764870639,248.99
1764870640,242.43
1764870641,249.66
1764870642,255.31
1764870643,242.51
1764870644,245.85
1764870645,246.46
1764870646,249.94
1764870647,244.75
1764870648,251.43
1764870649,245.17
1764870650,246.00
1764870651,243.80
1764870652,245.99
1764870653,245.59
1764870654,244.07
1764870655,245.00
1764870656,247.99
1764870657,244.19
1764870658,245.87
1764870659,237.21
1764870660,241.38
1764870661,244.97
1764870662,242.29
1764870663,243.95
1764870664,240.77
1764870665,243.33
1764870666,240.50
1764870667,239.74
1764870668,241.20
1764870669,247.75
1764870670,246.01
1764870671,251.04
1764870672,241.29
1764870673,246.25
1764870674,252.26
1764870675,238.44
1764870676,241.26
1764870678,246.15
1764870679,249.92
1764870680,257.88
1764870681,249.05
1764870682,231.53
1764870683,241.50
1764870684,236.83
1764870685,240.61
1764870686,255.60
1764870687,250.24
1764870688,242.57
1764870689,255.02
1764870690,248.97
1764870691,244.68
1764870692,252.68
1764870693,242.65
1764870694,255.24
1764870695,247.26
1764870696,247.59
1764870697,252.10
1764870698,241.90
1764870699,257.07
1764870700,242.01
1764870701,243.94
1764870702,251.80
1764870703,248.68
1764870704,248.28
1764870705,252.08
1764870706,252.69
1764870707,253.30
1764870708,242.73
1764870709,250.11
1764870710,240.76
1764870711,253.38
1764870712,245.19
1764870713,252.25
1764870714,243.25
1764870715,247.81
1764870717,243.65
1764870718,251.21
1764870719,241.34
1764870720,233.99
1764870721,241.06
1764870722,249.74
1764870723,250.46
1764870724,246.23
1764870725,251.92
1764870726,242.43
1764870727,245.07
1764870728,239.21
1764870729,240.24
1764870730,243.79
1764870731,243.19
1764870732,239.51
1764870733,239.38
1764870734,251.71
1764870735,243.92
1764870736,248.10
1764870737,245.93
1764870738,245.42
1764870739,244.17
1764870740,240.88
1764870741,244.40
1764870742,241.83
1764870743,242.74
1764870744,243.00
1764870745,243.31
1764870746,239.92
1764870747,244.65
1764870748,240.69
1764870749,244.42
1764870750,244.27
1764870751,253.69
1764870752,247.77
1764870753,241.89
1764870754,249.32
1764870756,246.30
1764870757,246.68
1764870758,247.27
1764870759,242.46
1764870760,245.84
1764870761,234.92
1764870762,248.80
1764870763,249.65
1764870764,246.73
1764870765,244.83
1764870766,244.43
1764870767,249.69
1764870768,245.10
1764870769,246.34
1764870770,246.18
1764870771,245.97
1764870772,241.93
1764870773,245.30
1764870774,244.04
1764870775,242.12
1764870776,250.84
1764870777,249.54
1764870778,250.76
1764870779,247.44
1764870780,249.54
1764870781,248.70
1764870782,243.73
1764870783,245.73
1764870784,246.39
1764870785,254.77
1764870786,240.89
1764870787,243.44
1764870788,244.14
1764870789,245.02
1764870790,243.98
1764870791,243.22
1764870792,243.77
1764870793,239.34
1764870795,241.45
1764870796,249.57
1764870797,250.84
1764870798,255.44
1764870799,244.94
1764870800,234.03
1764870801,250.70
1764870802,249.17
1764870803,244.66
1764870804,250.25
1764870805,243.84
1764870806,254.31
1764870807,245.88
1764870808,251.39
1764870809,247.95
1764870810,240.58
1764870811,236.87
1764870812,242.92
1764870813,240.03
1764870814,242.08
1764870815,244.88
1764870816,250.41
1764870817,245.90
1764870818,250.52
1764870819,254.07
1764870820,247.03
1764870821,251.57
1764870822,254.92
1764870823,231.95
1764870824,252.85
1764870825,247.50
1764870826,252.02
1764870827,247.59
1764870828,252.52
1764870829,246.38
1764870830,253.88
1764870831,241.26
1764870832,245.94
1764870834,251.11
1764870835,242.54
1764870836,250.25
1764870837,243.07
1764870838,245.34
1764870839,233.26
1764870840,248.40
1764870841,257.19
1764870842,238.97
1764870843,245.25
1764870844,246.70
1764870845,241.11
1764870846,256.86
1764870847,246.05
1764870848,248.41
1764870849,250.12
1764870850,246.40
1764870851,255.97
1764870852,242.73
1764870853,239.71
1764870854,255.63
1764870855,240.76
1764870856,244.45
1764870857,254.02
1764870858,242.55
1764870859,251.40
1764870860,245.72
1764870861,239.86
1764870862,239.90
1764870863,247.63
1764870864,247.65
1764870865,246.79
1764870866,242.92
1764870867,238.33
1764870868,249.56
1764870869,250.67
1764870870,249.20
1764870871,249.09
1764870873,246.33
1764870874,249.08
1764870875,244.82
1764870876,243.87
1764870877,243.87
1764870878,235.27
1764870879,242.43
1764870880,240.89
1764870881,246.32
1764870882,239.62
1764870883,250.33
1764870884,240.85
1764870885,242.92
1764870886,247.23
1764870887,244.45
1764870888,242.64
1764870889,245.85
1764870890,248.96
