timestamp,gpu_util_percent,memory_util_percent
1764838484,4,3
1764838485,11,6
1764838486,10,5
1764838487,12,6
1764838488,13,6
1764838490,13,7
1764838491,12,6
1764838492,44,22
1764838493,76,42
1764838494,77,42
1764838495,80,44
1764838496,77,42
1764838497,28,16
1764838498,78,43
1764838499,64,39
1764838500,64,40
1764838501,76,41
1764838502,72,39
1764838503,24,12
1764838504,80,43
1764838505,78,42
1764838506,74,41
1764838507,75,42
1764838508,75,42
1764838509,40,24
1764838510,80,43
1764838511,78,42
1764838512,79,44
1764838513,77,42
1764838514,62,38
1764838515,29,21
1764838516,77,42
1764838517,76,42
1764838518,79,44
1764838519,77,43
1764838520,66,36
1764838521,29,16
1764838522,77,42
1764838523,76,42
1764838524,79,44
1764838525,75,41
1764838526,69,38
1764838527,84,46
1764838528,77,43
1764838530,64,40
1764838531,63,39
1764838532,83,46
1764838533,37,22
1764838534,72,40
1764838535,78,43
1764838536,79,42
1764838537,74,40
1764838538,83,46
1764838539,44,26
1764838540,72,40
1764838541,72,39
1764838542,71,40
1764838543,81,45
1764838544,75,41
1764838545,35,20
1764838546,67,41
1764838547,63,39
1764838548,76,42
1764838549,79,44
1764838550,49,27
1764838551,70,39
1764838552,76,43
1764838553,81,44
1764838554,74,41
1764838555,76,42
1764838556,42,26
1764838557,79,43
1764838558,75,41
1764838559,73,41
1764838560,80,43
1764838561,62,38
1764838562,28,21
1764838563,76,42
1764838564,72,40
1764838565,79,44
1764838566,78,43
1764838567,65,36
1764838569,32,17
1764838570,82,45
1764838571,73,41
1764838572,76,42
1764838573,79,43
1764838574,31,17
1764838575,73,39
1764838576,79,44
1764838577,68,40
1764838578,65,40
1764838579,77,43
1764838580,44,26
1764838581,81,43
1764838582,78,43
1764838583,79,43
1764838584,70,38
1764838585,79,44
1764838586,37,22
1764838587,72,39
1764838588,73,40
1764838589,76,41
1764838590,70,39
1764838591,75,41
1764838592,17,11
1764838593,64,39
1764838594,79,42
1764838595,77,43
1764838596,79,43
1764838597,32,18
1764838598,78,42
1764838599,74,41
1764838600,75,42
1764838601,74,41
1764838602,75,41
1764838603,29,17
1764838604,79,42
1764838605,78,43
1764838606,74,41
1764838607,64,39
1764838609,64,40
1764838610,42,26
1764838611,78,42
1764838612,77,43
1764838613,72,40
1764838614,75,41
1764838615,78,43
1764838616,45,26
1764838617,80,44
1764838618,79,43
1764838619,75,41
1764838620,77,43
1764838621,67,36
1764838622,40,22
1764838623,77,42
1764838624,62,38
1764838625,67,40
1764838626,79,44
1764838627,31,17
1764838628,67,37
1764838629,79,43
1764838630,76,41
1764838631,78,42
1764838632,82,43
1764838633,38,22
1764838634,74,41
1764838635,69,37
1764838636,74,41
1764838637,78,43
1764838638,78,42
1764838639,29,22
1764838640,61,36
1764838641,76,42
1764838642,75,42
1764838643,76,42
1764838644,63,34
1764838645,20,10
1764838646,77,42
1764838648,77,41
1764838649,70,38
1764838650,71,39
1764838651,73,40
1764838652,29,16
1764838653,77,42
1764838654,74,41
1764838655,65,40
1764838656,66,40
1764838657,38,21
1764838658,55,30
1764838659,78,43
1764838660,79,43
1764838661,71,38
1764838662,76,42
1764838663,37,21
1764838664,80,43
1764838665,75,41
1764838666,70,37
1764838667,72,40
1764838668,71,38
1764838669,35,21
1764838670,67,42
1764838671,63,39
1764838672,66,39
1764838673,59,36
1764838674,64,39
1764838675,6,4
1764838676,61,37
1764838677,67,39
1764838678,80,44
1764838679,77,43
1764838680,34,18
1764838681,75,40
1764838682,83,46
1764838683,78,43
1764838684,80,44
1764838685,75,42
1764838687,39,23
1764838688,75,41
1764838689,70,38
1764838690,79,43
1764838691,79,43
1764838692,63,39
1764838693,25,18
1764838694,80,45
1764838695,70,39
1764838696,74,41
1764838697,78,43
1764838698,78,43
1764838699,65,35
1764838700,81,44
1764838701,76,42
1764838702,77,42
1764838703,78,43
1764838704,31,17
1764838705,78,43
1764838706,78,44
1764838707,64,39
1764838708,63,39
1764838709,79,44
1764838710,41,24
1764838711,80,44
1764838712,75,41
1764838713,78,43
1764838714,67,36
1764838715,73,40
1764838716,41,25
1764838717,76,42
1764838718,76,41
1764838719,75,42
1764838720,76,42
1764838721,73,40
1764838722,38,23
1764838723,65,40
1764838724,75,41
1764838726,67,36
1764838727,78,43
1764838728,22,13
1764838729,76,40
1764838730,64,36
1764838731,78,43
1764838732,76,41
1764838733,77,43
1764838734,44,26
1764838735,79,44
1764838736,78,43
1764838737,78,43
1764838738,63,39
1764838739,64,39
1764838740,32,19
1764838741,72,39
1764838742,78,43
1764838743,79,44
1764838744,72,39
1764838745,61,33
1764838746,45,23
1764838747,81,44
1764838748,77,43
1764838749,80,44
1764838750,79,44
1764838751,45,24
1764838752,69,37
1764838753,72,40
1764838754,66,41
1764838755,73,42
1764838756,73,40
1764838757,41,24
1764838758,71,39
1764838759,74,41
1764838760,69,37
1764838761,81,44
1764838762,80,44
1764838763,44,26
1764838765,76,41
1764838766,79,44
1764838767,76,41
1764838768,70,37
1764838769,73,40
1764838770,29,21
1764838771,63,39
1764838772,80,43
1764838773,79,43
1764838774,74,41
1764838775,73,41
1764838776,22,12
1764838777,78,43
1764838778,78,43
1764838779,75,42
1764838780,78,43
1764838781,49,27
1764838782,44,24
1764838783,79,43
1764838784,75,42
1764838785,64,40
1764838786,61,38
1764838787,39,22
1764838788,66,36
1764838789,76,40
1764838790,82,45
1764838791,82,46
1764838792,79,42
1764838793,40,24
1764838794,79,43
1764838795,73,41
1764838796,79,44
1764838797,75,42
1764838798,73,41
1764838799,42,25
1764838800,57,35
1764838801,64,39
1764838802,79,43
1764838803,77,43
1764838805,78,42
1764838806,29,16
1764838807,79,44
1764838808,82,45
1764838809,71,38
1764838810,78,43
1764838811,72,40
1764838812,20,11
1764838813,80,44
1764838814,68,36
1764838815,79,44
1764838816,64,39
1764838817,21,13
1764838818,73,40
1764838819,73,40
1764838820,70,40
1764838821,71,39
1764838822,76,41
1764838823,40,24
1764838824,77,42
1764838825,81,44
1764838826,75,41
1764838827,74,41
1764838828,74,41
1764838829,37,22
1764838830,75,41
1764838831,64,39
1764838832,64,40
1764838833,74,41
1764838834,75,42
1764838835,41,24
1764838836,73,40
1764838837,73,40
1764838838,81,43
1764838839,81,44
1764838840,79,43
1764838841,35,18
1764838842,75,42
1764838844,79,44
1764838845,77,42
1764838846,82,46
1764838847,29,21
1764838848,63,39
1764838849,72,40
