timestamp,gpu_util_percent,memory_util_percent
1765351907,0,0
1765351909,0,0
1765351911,0,0
1765351913,0,0
1765351915,0,0
1765351916,7,0
1765351917,13,8
1765351918,94,66
1765351919,94,68
1765351920,94,66
1765351921,93,68
1765351922,94,68
1765351923,93,67
1765351924,94,69
1765351925,94,66
1765351926,94,68
1765351927,94,68
1765351928,94,67
1765351929,94,67
1765351930,92,66
1765351931,94,68
1765351932,94,66
1765351933,94,68
1765351934,94,66
1765351935,94,66
1765351936,94,67
1765351937,94,68
1765351939,94,66
1765351940,94,66
1765351941,94,68
1765351942,94,66
1765351943,94,68
1765351944,93,66
1765351945,94,66
1765351946,94,66
1765351947,94,66
1765351948,94,66
1765351949,94,66
1765351950,94,67
1765351951,94,66
1765351952,94,66
1765351953,94,66
1765351954,94,66
1765351955,94,66
1765351956,94,66
1765351957,94,67
1765351958,94,66
1765351959,94,66
1765351960,94,66
1765351961,94,66
1765351962,94,66
1765351963,94,67
1765351964,94,66
1765351965,94,65
1765351966,94,65
1765351967,94,65
1765351968,94,64
1765351969,94,66
1765351970,94,64
1765351971,94,65
1765351972,94,64
1765351973,95,66
1765351974,94,64
1765351975,94,65
1765351976,94,65
1765351977,94,64
1765351979,94,66
1765351980,94,65
1765351981,94,65
1765351982,94,65
1765351983,94,66
1765351984,94,64
1765351985,94,65
1765351986,94,65
1765351987,94,65
1765351988,95,66
1765351989,94,65
1765351990,94,65
1765351991,94,64
1765351992,94,65
1765351993,94,63
1765351994,94,64
1765351995,94,63
1765351996,94,63
1765351997,96,66
1765351998,94,64
1765351999,94,65
1765352000,94,64
1765352001,94,64
1765352002,94,63
1765352003,94,63
1765352004,96,66
1765352005,94,64
1765352006,94,66
1765352007,94,64
1765352008,94,64
1765352009,94,63
1765352010,94,63
1765352011,96,66
1765352012,94,63
1765352013,94,65
1765352014,94,64
1765352015,94,63
1765352016,94,65
1765352017,94,63
1765352019,95,64
1765352020,94,63
1765352021,94,63
1765352022,94,64
1765352023,94,64
1765352024,94,66
1765352025,94,63
1765352026,94,63
1765352027,94,64
1765352028,94,64
1765352029,94,64
1765352030,94,64
1765352031,94,66
1765352032,94,63
1765352033,94,63
1765352034,94,64
1765352035,94,64
1765352036,94,66
1765352037,94,63
1765352038,94,63
1765352039,94,63
1765352040,94,63
1765352041,96,66
1765352042,94,63
1765352043,94,64
1765352044,94,64
1765352045,94,64
1765352046,94,63
