timestamp,power_draw_w
1765284622,265.78
1765284623,247.84
1765284624,256.17
1765284625,263.47
1765284626,262.82
1765284627,259.24
1765284628,261.69
1765284629,262.84
1765284630,280.55
1765284631,282.13
1765284632,280.51
1765284633,295.26
1765284634,293.67
1765284635,291.95
1765284636,286.58
1765284637,283.51
1765284638,293.89
1765284639,284.26
1765284640,290.38
1765284641,285.93
1765284643,286.87
1765284644,294.19
1765284645,286.39
1765284646,282.37
1765284647,280.56
1765284648,282.58
1765284649,293.29
1765284650,285.84
1765284651,287.02
1765284652,277.80
1765284653,284.17
1765284654,281.72
1765284655,285.91
1765284656,284.09
1765284657,283.13
1765284658,288.64
1765284659,282.79
1765284660,280.67
1765284661,277.09
1765284662,291.24
1765284663,283.27
1765284664,273.46
1765284665,275.64
1765284666,284.10
1765284667,277.90
1765284668,287.60
1765284669,276.86
1765284670,276.17
1765284671,266.70
1765284672,291.27
1765284673,277.04
1765284674,274.94
1765284675,268.87
1765284676,284.85
1765284677,272.34
1765284678,273.30
1765284679,282.95
1765284680,283.58
1765284682,263.26
1765284683,278.69
1765284684,274.46
1765284685,275.16
1765284686,277.89
1765284687,256.63
1765284688,276.17
1765284689,266.92
1765284690,262.86
1765284691,266.39
1765284692,276.91
1765284693,270.32
1765284694,274.31
1765284695,273.13
1765284696,268.58
1765284697,267.79
1765284698,261.77
1765284699,260.30
1765284700,271.40
1765284701,268.10
1765284702,272.02
1765284703,271.92
1765284704,265.57
1765284705,265.77
1765284706,276.79
1765284707,270.44
1765284708,267.91
1765284709,269.86
1765284710,268.56
1765284711,262.93
1765284712,280.77
1765284713,264.28
1765284714,282.08
1765284715,276.48
1765284716,270.17
1765284717,278.30
1765284718,260.43
1765284719,273.43
1765284721,262.82
1765284722,278.35
1765284723,271.58
1765284724,270.58
1765284725,258.70
1765284726,266.93
1765284727,263.42
1765284728,257.67
1765284729,276.70
1765284730,272.48
1765284731,263.77
1765284732,275.49
1765284733,262.53
1765284734,270.76
1765284735,262.21
1765284736,263.77
1765284737,275.27
1765284738,259.82
1765284739,258.06
1765284740,254.48
1765284741,248.76
1765284742,239.36
1765284743,237.17
1765284744,246.14
1765284745,236.46
1765284746,229.10
1765284747,216.98
1765284748,217.56
1765284749,217.80
1765284750,217.46
1765284751,217.33
1765284752,217.34
1765284753,215.68
1765284754,217.67
1765284755,216.70
1765284756,216.84
1765284757,217.94
1765284758,216.85
1765284759,217.02
1765284761,216.80
1765284762,217.62
1765284763,217.74
1765284764,217.49
1765284765,216.67
1765284766,216.99
1765284767,217.57
1765284768,217.54
1765284769,217.34
1765284770,217.44
1765284771,217.95
1765284772,217.23
1765284773,217.13
1765284774,217.98
1765284775,218.13
1765284776,216.96
1765284777,216.79
1765284778,217.25
1765284779,218.10
1765284780,217.74
1765284781,217.66
1765284782,217.11
1765284783,217.79
1765284784,217.11
1765284785,217.37
1765284786,217.00
1765284787,217.21
1765284788,217.38
1765284789,216.65
1765284790,217.54
1765284791,217.28
1765284792,216.93
1765284793,216.58
1765284794,217.02
1765284795,217.05
1765284796,217.00
