timestamp,gpu_util_percent,memory_util_percent
1765199630,74,55
1765199631,46,34
1765199632,72,53
1765199633,72,54
1765199634,72,53
1765199635,49,36
1765199636,71,53
1765199637,86,56
1765199638,99,59
1765199639,100,60
1765199640,99,65
1765199641,99,60
1765199642,100,76
1765199644,100,74
1765199645,100,68
1765199646,100,77
1765199647,100,74
1765199648,100,68
1765199649,100,72
1765199650,100,77
1765199651,100,72
1765199652,100,69
1765199653,100,67
1765199654,100,72
1765199655,100,77
1765199656,100,71
1765199657,100,68
1765199658,100,71
1765199659,100,77
1765199660,100,74
1765199661,99,74
1765199662,100,67
1765199663,100,70
1765199664,100,77
1765199665,100,73
1765199666,100,68
1765199667,100,72
1765199668,100,76
1765199669,100,77
1765199670,100,71
1765199671,100,68
1765199672,100,76
1765199673,100,73
1765199674,100,67
1765199675,100,71
1765199676,100,70
1765199677,100,76
1765199678,100,73
1765199679,100,67
1765199680,100,64
1765199681,100,69
1765199683,100,72
1765199684,100,74
1765199685,100,67
1765199686,100,69
1765199687,100,73
1765199688,100,68
1765199689,100,63
1765199690,100,63
1765199691,100,66
1765199692,100,63
1765199693,100,67
1765199694,100,69
1765199695,100,73
1765199696,100,74
1765199697,100,69
1765199698,100,65
1765199699,100,64
1765199700,100,69
1765199701,100,65
1765199702,100,64
1765199703,100,69
1765199704,100,70
1765199705,100,74
1765199706,100,71
1765199707,100,75
1765199708,100,72
1765199709,100,65
1765199710,100,64
1765199711,100,64
1765199712,100,69
1765199713,100,73
1765199714,100,73
1765199715,100,69
1765199716,100,73
1765199717,100,73
1765199718,100,69
1765199719,100,64
1765199720,100,63
1765199722,100,67
1765199723,100,65
1765199724,100,64
1765199725,100,65
1765199726,100,68
1765199727,100,73
1765199728,100,74
1765199729,100,73
1765199730,100,72
1765199731,100,73
1765199732,100,74
1765199733,100,72
1765199734,100,68
1765199735,100,65
1765199736,100,63
1765199737,100,66
1765199738,100,64
1765199739,100,64
1765199740,100,68
1765199741,100,70
1765199742,100,73
1765199743,100,69
1765199744,100,65
1765199745,100,64
1765199746,100,71
1765199747,100,66
1765199748,100,63
1765199749,100,67
1765199750,100,71
1765199751,100,74
1765199752,100,72
1765199753,100,74
1765199754,100,72
1765199755,100,71
1765199756,99,70
1765199757,100,75
1765199758,100,74
1765199759,100,68
1765199761,100,65
1765199762,100,68
1765199763,100,65
1765199764,100,76
1765199765,100,64
1765199766,100,72
1765199767,100,75
1765199768,100,69
1765199769,100,68
1765199770,81,59
1765199771,100,69
1765199772,100,63
1765199773,100,69
1765199774,100,74
1765199775,100,73
1765199776,100,71
1765199777,100,73
1765199778,100,71
1765199779,100,66
1765199780,100,64
1765199781,100,65
1765199782,100,71
1765199783,100,74
1765199784,100,68
1765199785,100,70
1765199786,99,74
1765199787,100,72
1765199788,100,66
1765199789,100,63
1765199790,100,64
1765199791,99,66
