timestamp,power_draw_w
1765260056,266.85
1765260057,261.30
1765260058,255.83
1765260059,262.12
1765260060,264.60
1765260061,255.48
1765260062,252.07
1765260063,269.15
1765260064,298.30
1765260065,291.89
1765260066,289.24
1765260068,294.10
1765260069,294.51
1765260070,293.34
1765260071,298.52
1765260072,287.41
1765260073,293.63
1765260074,305.27
1765260075,297.38
1765260076,300.41
1765260077,294.04
1765260078,278.09
1765260079,287.26
1765260080,290.91
1765260081,293.95
1765260082,292.65
1765260083,293.95
1765260084,281.41
1765260085,279.40
1765260086,290.55
1765260087,279.06
1765260088,296.41
1765260089,289.62
1765260090,272.66
1765260091,288.75
1765260092,299.55
1765260093,286.64
1765260094,273.18
1765260095,275.06
1765260096,279.46
1765260097,277.98
1765260098,268.58
1765260099,276.86
1765260100,279.60
1765260101,260.52
1765260102,260.82
1765260103,250.74
1765260104,246.37
1765260105,227.01
1765260106,221.57
1765260108,221.81
1765260109,216.63
1765260110,204.33
1765260111,204.65
1765260112,204.24
1765260113,204.48
1765260114,204.29
1765260115,204.22
1765260116,203.98
1765260117,204.29
1765260118,204.65
1765260119,204.82
1765260120,205.01
1765260121,204.16
1765260122,204.45
1765260123,204.24
1765260124,204.85
1765260125,204.49
1765260126,204.10
1765260127,204.65
1765260128,204.23
1765260129,204.44
1765260130,204.21
1765260131,205.27
1765260132,205.23
1765260133,204.20
1765260134,204.40
1765260135,204.01
1765260136,204.92
1765260137,204.83
1765260138,204.40
1765260139,204.42
1765260140,204.79
1765260141,204.60
1765260142,204.57
1765260143,204.23
1765260144,204.11
1765260145,203.78
1765260147,204.27
1765260148,204.23
1765260149,204.75
1765260150,205.16
1765260151,205.00
1765260152,204.58
1765260153,204.39
1765260154,204.87
1765260155,204.66
1765260156,204.32
1765260157,204.53
1765260158,204.45
1765260159,204.67
1765260160,205.02
1765260161,205.29
1765260162,204.43
1765260163,204.41
1765260164,203.76
1765260165,203.52
1765260166,204.06
1765260167,204.65
1765260168,204.57
1765260169,204.59
1765260170,204.71
1765260171,204.07
1765260172,204.30
1765260173,203.99
1765260174,203.91
1765260175,204.25
1765260176,204.29
1765260177,204.20
1765260178,204.75
1765260179,204.67
1765260180,204.63
1765260181,204.09
1765260182,204.70
1765260183,204.60
1765260184,204.29
1765260186,205.11
1765260187,204.12
1765260188,204.01
1765260189,203.98
1765260190,204.24
1765260191,204.50
1765260192,204.26
1765260193,205.20
1765260194,203.85
1765260195,204.45
1765260196,204.46
1765260197,202.34
1765260198,202.51
1765260199,201.64
1765260200,207.52
1765260201,209.10
1765260202,209.86
1765260203,209.68
1765260204,208.71
1765260205,208.39
1765260206,209.92
1765260207,210.29
1765260208,209.46
1765260209,208.96
1765260210,209.07
1765260211,208.85
1765260212,209.12
1765260213,209.29
1765260214,209.12
1765260215,209.12
1765260216,209.27
1765260217,208.70
1765260218,208.47
1765260219,209.08
1765260220,209.42
1765260221,209.93
1765260222,209.99
1765260223,209.80
1765260225,208.96
1765260226,208.63
1765260227,209.31
