timestamp,gpu_util_percent,memory_util_percent
1765340092,70,52
1765340093,60,45
1765340094,71,53
1765340095,70,52
1765340096,73,54
1765340097,72,54
1765340098,72,54
1765340099,82,54
1765340100,97,55
1765340101,97,55
1765340102,97,54
1765340103,79,54
1765340104,100,67
1765340105,100,67
1765340106,100,68
1765340107,100,68
1765340108,100,71
1765340109,100,68
1765340110,100,71
1765340111,100,71
1765340112,100,71
1765340113,100,71
1765340114,100,70
1765340115,69,51
1765340116,73,55
1765340117,70,52
