timestamp,gpu_util_percent,memory_util_percent
1765345604,73,54
1765345605,72,53
1765345606,72,54
1765345607,70,51
1765345608,88,51
1765345609,99,59
1765345610,99,57
1765345611,99,57
1765345612,99,59
1765345613,99,57
1765345614,99,58
1765345615,99,58
1765345616,98,60
1765345617,97,55
1765345618,98,55
1765345619,98,63
1765345620,98,55
1765345621,99,59
1765345622,99,57
1765345623,99,59
1765345624,99,58
1765345625,98,58
1765345626,99,58
1765345627,99,57
1765345628,99,58
1765345629,99,57
1765345631,99,59
1765345632,98,59
1765345633,99,57
1765345634,99,59
1765345635,99,55
1765345636,99,58
1765345637,99,58
1765345638,98,56
1765345639,99,55
1765345640,99,56
1765345641,98,57
1765345642,98,57
1765345643,98,56
1765345644,98,54
1765345645,98,55
1765345646,96,55
1765345647,92,52
1765345648,98,54
1765345649,99,58
1765345650,99,57
1765345651,99,56
1765345652,98,59
1765345653,98,56
1765345654,99,56
1765345655,98,55
1765345656,99,55
1765345657,99,57
1765345658,99,57
1765345659,99,57
1765345660,99,58
1765345661,99,58
1765345662,99,58
1765345663,99,57
1765345664,98,59
1765345665,98,58
1765345666,99,57
1765345667,99,58
1765345668,99,61
1765345669,99,57
1765345671,99,58
1765345672,98,59
1765345673,99,57
1765345674,99,59
1765345675,99,58
1765345676,98,58
1765345677,99,57
1765345678,99,58
1765345679,99,58
1765345680,98,59
1765345681,99,59
1765345682,99,58
1765345683,99,58
1765345684,99,57
1765345685,99,57
1765345686,98,57
1765345687,98,58
1765345688,99,57
1765345689,99,59
1765345690,99,57
1765345691,99,58
1765345692,99,59
1765345693,99,57
1765345694,98,57
1765345695,99,58
1765345696,99,57
1765345697,99,58
1765345698,98,57
1765345699,99,56
1765345700,99,58
1765345701,98,59
1765345702,99,59
1765345703,98,58
1765345704,99,57
1765345705,99,57
1765345706,98,58
1765345707,99,56
1765345708,99,58
1765345710,99,57
1765345711,99,57
1765345712,99,58
1765345713,99,57
1765345714,99,59
1765345715,99,57
1765345716,99,58
1765345717,98,62
1765345718,99,57
1765345719,99,58
1765345720,99,57
1765345721,98,56
1765345722,99,56
1765345723,99,58
1765345724,99,57
1765345725,99,58
1765345726,99,57
1765345727,99,58
1765345728,99,58
1765345729,99,58
1765345730,99,57
1765345731,99,59
1765345732,99,57
1765345733,99,57
1765345734,99,58
1765345735,99,59
1765345736,99,59
1765345737,99,57
1765345738,98,57
1765345739,99,57
1765345740,98,57
1765345741,99,56
1765345742,99,57
1765345743,99,57
1765345744,99,58
1765345745,99,56
1765345746,99,59
1765345747,98,59
1765345748,99,56
1765345750,99,59
1765345751,99,57
1765345752,99,57
1765345753,99,58
1765345754,99,57
1765345755,98,57
1765345756,99,57
1765345757,99,57
1765345758,98,58
1765345759,99,59
1765345760,98,58
1765345761,99,55
1765345762,99,55
1765345763,99,54
1765345764,99,57
1765345765,98,61
1765345766,98,55
1765345767,98,58
1765345768,99,58
1765345769,99,56
1765345770,99,57
1765345771,99,56
1765345772,99,57
1765345773,98,58
1765345774,98,58
1765345775,98,57
1765345776,99,58
1765345777,99,58
1765345778,99,57
1765345779,99,57
1765345780,99,57
1765345781,98,58
1765345782,99,57
1765345783,99,56
1765345784,99,58
1765345785,99,57
1765345786,99,59
1765345787,99,59
1765345789,99,57
1765345790,99,57
1765345791,99,56
1765345792,99,55
1765345793,99,54
1765345794,99,58
1765345795,98,56
1765345796,98,56
1765345797,99,55
1765345798,99,57
1765345799,99,57
1765345800,98,57
1765345801,99,56
1765345802,99,57
1765345803,99,58
1765345804,99,55
1765345805,99,57
1765345806,99,56
1765345807,98,56
1765345808,94,54
1765345809,99,55
1765345810,99,53
1765345811,99,55
1765345812,99,56
1765345813,98,62
1765345814,99,56
1765345815,99,55
1765345816,99,55
1765345817,99,55
1765345818,99,55
1765345819,99,53
1765345820,99,54
1765345821,99,55
1765345822,99,55
1765345823,99,55
1765345824,99,56
1765345825,99,55
1765345826,99,56
1765345828,99,56
1765345829,99,56
1765345830,99,57
1765345831,99,58
1765345832,99,55
1765345833,99,56
1765345834,99,54
1765345835,99,55
1765345836,99,54
1765345837,99,57
1765345838,99,58
1765345839,99,57
1765345840,99,58
1765345841,99,57
1765345842,99,58
1765345843,99,58
1765345844,99,58
1765345845,99,57
1765345846,99,57
1765345847,99,58
1765345848,99,59
1765345849,98,57
1765345850,99,55
1765345851,99,58
1765345852,99,57
1765345853,99,55
1765345854,98,55
1765345855,98,56
1765345856,99,57
1765345857,99,58
1765345858,99,57
1765345859,98,57
1765345860,99,57
1765345861,98,57
1765345862,99,62
1765345863,99,57
1765345864,98,57
1765345865,99,57
1765345866,98,57
1765345868,99,57
1765345869,99,58
1765345870,98,57
1765345871,98,56
