timestamp,gpu_util_percent,memory_util_percent
1765665792,13,7
1765665793,2,1
1765665794,4,3
1765665795,11,6
1765665796,10,5
1765665797,11,6
1765665798,11,6
1765665799,11,6
1765665800,10,5
1765665801,11,6
1765665802,11,6
1765665803,11,6
1765665804,11,6
1765665805,11,6
1765665806,11,5
1765665807,11,5
1765665808,12,6
1765665809,2,1
1765665811,4,3
1765665812,11,5
1765665813,12,6
1765665814,11,5
1765665815,10,5
1765665816,11,5
1765665817,11,6
1765665818,12,6
1765665819,11,6
1765665820,11,6
1765665821,11,6
1765665822,11,5
1765665823,11,5
1765665824,11,6
1765665825,12,6
1765665826,10,5
1765665827,4,3
1765665828,2,1
1765665829,11,6
1765665830,11,6
1765665831,11,6
1765665832,13,7
1765665833,13,7
1765665834,13,7
1765665835,30,8
1765665836,29,7
1765665837,29,7
1765665838,28,7
1765665839,25,7
1765665840,96,72
1765665841,94,77
1765665842,92,76
1765665843,96,73
1765665844,97,72
1765665845,96,71
1765665846,97,72
1765665847,93,70
1765665849,96,71
1765665850,96,71
1765665851,94,71
1765665852,94,69
1765665853,96,71
1765665854,96,71
1765665855,96,71
1765665856,90,75
1765665857,92,75
1765665858,96,71
1765665859,94,71
1765665860,94,69
1765665861,97,72
1765665862,93,69
1765665863,96,71
1765665864,96,72
1765665865,96,73
1765665866,93,70
1765665867,97,72
1765665868,96,71
1765665869,94,76
1765665870,92,74
1765665871,97,71
1765665872,97,72
1765665873,92,70
1765665874,96,71
1765665875,96,72
1765665876,93,70
1765665877,94,70
1765665878,95,70
1765665879,97,72
1765665880,96,72
1765665881,94,69
1765665882,96,71
1765665883,90,75
1765665884,91,71
1765665885,94,70
1765665886,96,71
1765665888,94,71
1765665889,95,71
1765665890,97,72
1765665891,93,70
1765665892,93,70
1765665893,96,71
1765665894,96,71
1765665895,92,69
1765665896,96,71
1765665897,92,74
1765665898,89,74
1765665899,96,71
1765665900,97,72
1765665901,96,72
1765665902,92,69
1765665903,96,71
1765665904,95,71
1765665905,93,70
1765665906,96,70
1765665907,95,71
1765665908,94,71
1765665909,94,70
1765665910,96,72
1765665911,95,78
1765665912,93,75
1765665913,96,71
1765665914,95,71
1765665915,94,71
1765665916,94,70
1765665917,96,72
1765665918,95,72
1765665919,94,70
1765665920,96,71
