timestamp,gpu_util_percent,memory_util_percent
1765785135,0,0
1765785136,10,6
1765785137,0,0
1765785139,2,0
1765785140,10,6
1765785141,10,6
1765785142,15,6
1765785143,10,6
1765785144,20,12
1765785145,10,6
1765785146,10,6
1765785147,10,6
1765785148,10,6
1765785149,9,5
1765785150,9,5
1765785151,2,1
1765785152,10,6
1765785153,10,6
1765785154,10,6
1765785155,10,6
1765785156,10,6
1765785157,14,6
1765785158,10,6
1765785159,19,12
1765785160,10,6
1765785161,10,6
1765785162,10,6
1765785163,2,1
1765785164,2,1
1765785165,10,6
1765785166,10,6
1765785168,9,6
1765785169,10,6
1765785170,10,6
1765785171,9,5
1765785172,10,6
1765785173,10,6
1765785174,10,6
1765785175,10,6
1765785176,22,4
1765785177,2,1
1765785178,10,6
1765785179,10,6
1765785180,10,6
1765785181,14,6
1765785182,10,6
1765785183,20,12
1765785184,10,6
1765785185,10,6
1765785186,10,6
1765785187,10,6
1765785188,9,6
1765785189,2,1
1765785190,4,3
1765785191,10,6
1765785192,10,6
1765785193,10,6
1765785194,10,6
1765785195,10,6
1765785196,10,6
1765785197,10,6
1765785198,10,6
1765785199,26,7
1765785200,10,6
1765785201,4,3
1765785202,2,1
1765785203,11,6
1765785204,10,6
1765785205,10,6
1765785207,10,6
1765785208,10,6
1765785209,10,6
1765785210,10,6
1765785211,10,6
1765785212,10,6
1765785213,10,6
1765785214,10,6
1765785215,2,1
1765785216,2,1
1765785217,10,6
1765785218,9,5
1765785219,9,5
1765785220,15,6
1765785221,10,6
1765785222,18,11
1765785223,10,6
1765785224,10,6
1765785225,10,6
1765785226,10,6
1765785227,9,6
1765785228,4,3
1765785229,10,6
1765785230,10,6
1765785231,10,6
1765785232,10,6
1765785233,9,5
1765785234,10,6
1765785235,11,6
1765785236,10,6
1765785237,11,6
1765785238,20,7
1765785239,10,6
1765785240,2,2
1765785241,6,4
1765785242,10,6
1765785243,15,6
1765785244,10,6
1765785246,19,11
1765785247,10,6
1765785248,10,6
1765785249,10,6
1765785250,10,6
1765785251,10,6
1765785252,10,6
1765785253,2,1
1765785254,10,2
1765785255,10,6
1765785256,10,6
1765785257,10,6
1765785258,10,6
1765785259,14,6
1765785260,10,6
1765785261,10,6
1765785262,10,6
1765785263,10,6
1765785264,10,6
1765785265,2,1
1765785266,2,1
1765785267,10,6
1765785268,10,6
1765785269,10,6
1765785270,9,5
1765785271,10,6
1765785272,8,5
1765785273,10,6
1765785274,10,6
1765785275,10,6
1765785276,10,6
1765785277,26,7
1765785278,4,3
1765785280,11,7
1765785281,10,6
1765785282,10,6
1765785283,16,6
1765785284,10,6
1765785285,9,6
1765785286,10,6
1765785287,11,6
1765785288,10,6
1765785289,10,6
1765785290,10,6
1765785291,2,1
1765785292,2,1
1765785293,10,6
1765785294,10,6
1765785295,10,6
1765785296,10,6
1765785297,10,6
1765785298,13,6
1765785299,10,6
1765785300,12,7
1765785301,10,6
1765785302,10,6
1765785303,2,1
1765785304,2,1
1765785305,10,6
1765785306,10,6
1765785307,10,6
1765785308,10,6
1765785309,10,6
1765785310,10,6
1765785311,8,5
1765785312,10,6
1765785313,11,6
1765785314,10,6
1765785316,10,6
1765785317,20,3
1765785318,0,0
