timestamp,power_draw_w
1765786857,82.02
1765786858,84.82
1765786859,73.07
1765786861,81.20
1765786862,88.37
1765786863,92.38
1765786864,92.82
1765786865,92.69
1765786866,95.31
1765786867,92.64
1765786868,92.81
1765786869,92.64
1765786870,92.32
1765786871,92.61
1765786872,92.75
1765786873,92.70
1765786874,88.48
1765786875,88.08
1765786876,91.47
1765786877,91.85
1765786878,92.90
1765786879,93.04
1765786880,93.22
1765786881,92.96
1765786882,96.22
1765786883,92.99
1765786884,93.00
1765786885,92.77
1765786886,93.40
1765786887,91.35
1765786888,86.05
1765786889,92.50
1765786890,93.47
1765786891,93.35
1765786892,93.43
1765786893,93.32
1765786894,93.52
1765786895,93.82
1765786896,93.77
1765786898,96.37
1765786899,93.94
1765786900,93.99
1765786901,93.56
1765786902,87.80
1765786903,87.28
1765786904,93.65
1765786905,93.75
1765786906,97.00
1765786907,94.16
1765786908,94.17
1765786909,93.83
1765786910,94.10
1765786911,94.28
1765786912,94.37
1765786913,97.08
1765786914,94.39
1765786915,92.26
1765786916,86.51
1765786917,91.10
1765786918,94.05
1765786919,94.42
1765786920,94.17
1765786921,97.03
1765786922,94.34
1765786923,94.45
1765786924,94.11
1765786925,94.09
1765786926,94.26
1765786927,94.72
1765786928,94.41
1765786929,91.16
1765786930,88.53
1765786931,94.50
1765786932,94.26
1765786933,94.53
1765786934,94.61
1765786935,94.79
1765786937,94.87
1765786938,97.72
1765786939,94.99
1765786940,94.82
1765786941,94.49
1765786942,94.81
1765786943,91.38
1765786944,87.10
1765786945,95.15
1765786946,94.91
1765786947,94.89
1765786948,94.62
1765786949,94.56
1765786950,94.94
1765786951,94.92
1765786952,94.92
1765786953,97.69
1765786954,95.09
1765786955,94.98
1765786956,94.65
1765786957,87.79
1765786958,89.08
1765786959,95.40
1765786960,94.97
1765786961,97.97
1765786962,95.30
1765786963,95.22
1765786964,94.58
1765786965,95.12
1765786966,95.31
1765786967,95.18
1765786968,98.09
1765786969,95.25
1765786970,90.63
1765786971,87.42
1765786972,93.02
1765786974,93.50
1765786975,94.83
1765786976,94.92
1765786977,97.52
1765786978,95.35
1765786979,95.23
1765786980,94.32
1765786981,95.20
1765786982,95.20
1765786983,95.50
1765786984,95.12
1765786985,92.57
1765786986,88.21
1765786987,94.88
1765786988,94.84
1765786989,95.28
1765786990,95.61
1765786991,95.34
1765786992,98.13
1765786993,95.39
1765786994,95.24
1765786995,93.99
1765786996,94.99
1765786997,95.41
1765786998,94.01
1765786999,87.68
1765787000,94.49
1765787001,95.28
1765787002,95.01
1765787003,94.81
1765787004,95.05
1765787005,95.02
1765787006,95.43
1765787007,95.15
1765787008,98.41
1765787009,95.33
1765787010,95.25
1765787011,94.93
1765787013,89.82
1765787014,88.44
1765787015,94.27
1765787016,98.46
1765787017,95.75
1765787018,95.79
1765787019,95.33
1765787020,95.11
1765787021,95.66
1765787022,95.94
1765787023,95.71
1765787024,98.26
1765787025,95.67
1765787026,92.85
1765787027,87.47
1765787028,92.19
1765787029,94.74
1765787030,94.41
1765787031,95.41
1765787032,98.61
1765787033,95.03
1765787034,94.65
1765787035,94.29
1765787036,94.32
1765787037,94.93
1765787038,94.66
1765787039,97.85
1765787040,93.47
1765787041,87.71
1765787042,92.84
1765787043,95.10
1765787044,95.42
1765787045,95.72
1765787046,95.55
1765787048,98.59
1765787049,95.89
1765787050,95.77
1765787051,95.31
1765787052,95.38
1765787053,94.42
1765787054,95.74
1765787055,89.33
1765787056,90.93
