timestamp,gpu_util_percent,memory_util_percent
1765838006,0,0
1765838008,0,0
1765838010,0,0
1765838011,0,0
1765838012,0,0
1765838013,0,0
1765838014,0,0
1765838015,0,0
1765838016,0,0
1765838017,0,0
1765838018,0,0
1765838019,0,0
1765838020,0,0
1765838021,0,0
1765838022,0,0
1765838023,0,0
1765838024,0,0
1765838026,0,0
1765838027,0,0
1765838028,0,0
1765838029,0,0
1765838030,0,0
1765838031,0,0
1765838032,0,0
1765838033,0,0
1765838034,0,0
1765838035,0,0
1765838036,0,0
1765838037,0,0
1765838038,0,0
1765838039,0,0
1765838040,0,0
1765838041,0,0
1765838042,0,0
1765838043,0,0
1765838044,0,0
1765838045,0,0
1765838046,0,0
1765838047,11,0
1765838048,9,0
1765838049,4,0
1765838050,7,0
1765838051,91,70
1765838052,91,75
1765838053,90,75
1765838054,89,75
1765838055,90,75
1765838056,90,76
1765838057,93,77
1765838058,89,75
1765838059,90,75
1765838060,93,77
1765838061,93,76
1765838062,95,77
1765838063,92,75
1765838065,91,76
1765838066,95,77
1765838067,93,76
1765838068,91,75
1765838069,90,75
1765838070,90,75
1765838071,89,74
1765838072,90,75
1765838073,90,74
1765838074,90,74
1765838075,89,75
1765838076,89,74
1765838077,90,75
1765838078,91,76
1765838079,93,75
1765838080,95,77
1765838081,95,77
1765838082,93,77
1765838083,93,76
1765838084,94,77
1765838085,95,77
1765838086,93,76
1765838087,91,74
1765838088,91,76
1765838089,90,75
1765838090,94,77
1765838091,95,77
1765838092,94,77
1765838093,91,74
1765838094,91,76
1765838095,90,75
1765838096,90,75
1765838097,90,75
1765838098,91,75
1765838099,91,76
1765838100,89,74
1765838101,90,74
1765838102,89,74
1765838103,89,74
1765838105,89,75
1765838106,91,75
1765838107,91,75
1765838108,90,75
1765838109,90,75
1765838110,89,74
1765838111,89,74
1765838112,90,74
1765838113,92,76
1765838114,89,74
1765838115,89,74
1765838116,89,74
1765838117,89,74
1765838118,89,74
1765838119,91,75
1765838120,93,76
1765838121,93,76
1765838122,90,74
1765838123,90,74
1765838124,89,74
1765838125,90,74
1765838126,90,74
1765838127,90,74
1765838128,92,76
1765838129,93,77
1765838130,89,74
1765838131,90,74
1765838132,89,74
1765838133,90,74
1765838134,92,76
1765838135,93,76
1765838136,93,77
1765838137,89,73
1765838138,90,74
1765838139,89,73
1765838140,89,74
1765838141,89,74
1765838142,90,74
1765838143,89,74
1765838145,89,74
1765838146,91,74
1765838147,91,74
1765838148,91,75
1765838149,91,75
1765838150,91,76
1765838151,91,75
1765838152,91,75
1765838153,91,75
1765838154,93,75
1765838155,94,76
1765838156,95,76
1765838157,95,76
1765838158,95,77
1765838159,95,76
1765838160,95,76
1765838161,94,75
1765838162,89,73
1765838163,89,74
1765838164,89,74
1765838165,89,74
1765838166,90,74
1765838167,90,74
1765838168,90,74
1765838169,91,73
1765838170,91,74
1765838171,91,73
1765838172,91,74
1765838173,91,75
1765838174,91,75
1765838175,91,75
1765838176,91,75
1765838177,93,74
1765838178,94,76
1765838179,94,75
1765838180,94,74
1765838181,94,76
1765838182,95,76
1765838183,94,76
1765838184,95,75
1765838186,90,72
1765838187,91,73
1765838188,95,74
1765838189,95,74
1765838190,93,74
1765838191,90,73
1765838192,90,72
1765838193,91,72
1765838194,90,72
1765838195,90,72
1765838196,91,73
1765838197,95,74
1765838198,93,73
1765838199,91,73
1765838200,90,72
1765838201,94,74
1765838202,92,73
1765838203,90,73
1765838204,90,72
1765838205,92,72
1765838206,95,74
1765838207,93,74
1765838208,90,72
1765838209,95,74
1765838210,94,73
1765838211,91,73
1765838212,90,72
1765838213,90,72
1765838214,91,72
1765838215,95,74
1765838216,94,73
