timestamp,gpu_temp_c,memory_temp_c
1765867494,63,N/A
1765867496,63,N/A
1765867497,63,N/A
1765867498,63,N/A
1765867499,63,N/A
1765867500,64,N/A
1765867502,64,N/A
1765867503,64,N/A
1765867504,64,N/A
1765867505,64,N/A
1765867506,64,N/A
1765867507,64,N/A
1765867508,62,N/A
1765867509,62,N/A
1765867510,61,N/A
1765867511,61,N/A
1765867512,61,N/A
1765867513,61,N/A
1765867514,61,N/A
1765867515,61,N/A
1765867516,61,N/A
1765867517,61,N/A
1765867518,61,N/A
1765867519,60,N/A
1765867520,60,N/A
1765867521,60,N/A
1765867522,60,N/A
1765867523,60,N/A
1765867524,60,N/A
1765867525,60,N/A
1765867526,60,N/A
1765867527,60,N/A
1765867528,60,N/A
1765867529,59,N/A
1765867530,59,N/A
1765867531,59,N/A
1765867532,59,N/A
1765867533,59,N/A
1765867534,61,N/A
1765867535,61,N/A
1765867536,62,N/A
1765867538,62,N/A
1765867539,66,N/A
1765867540,69,N/A
1765867541,70,N/A
1765867542,71,N/A
1765867543,72,N/A
1765867544,72,N/A
1765867545,73,N/A
1765867546,73,N/A
1765867547,73,N/A
1765867548,74,N/A
1765867549,75,N/A
1765867550,75,N/A
1765867551,76,N/A
1765867552,76,N/A
1765867553,77,N/A
1765867554,76,N/A
1765867555,77,N/A
1765867556,77,N/A
1765867557,77,N/A
1765867558,78,N/A
1765867559,78,N/A
1765867560,79,N/A
1765867561,78,N/A
1765867562,79,N/A
1765867563,79,N/A
1765867564,79,N/A
1765867565,79,N/A
1765867566,80,N/A
1765867567,80,N/A
1765867568,80,N/A
1765867569,80,N/A
1765867570,81,N/A
1765867571,80,N/A
1765867572,81,N/A
1765867573,81,N/A
1765867574,81,N/A
1765867575,81,N/A
1765867577,81,N/A
1765867578,82,N/A
1765867579,82,N/A
1765867580,81,N/A
1765867581,81,N/A
1765867582,82,N/A
1765867583,82,N/A
1765867584,81,N/A
1765867585,82,N/A
1765867586,82,N/A
1765867587,82,N/A
1765867588,81,N/A
1765867589,82,N/A
1765867590,82,N/A
1765867591,82,N/A
1765867592,81,N/A
1765867593,82,N/A
1765867594,82,N/A
1765867595,82,N/A
1765867596,82,N/A
1765867597,82,N/A
1765867598,82,N/A
1765867599,82,N/A
1765867600,81,N/A
1765867601,82,N/A
1765867602,82,N/A
1765867603,82,N/A
1765867604,82,N/A
1765867605,82,N/A
1765867606,82,N/A
1765867607,82,N/A
