timestamp,gpu_temp_c,memory_temp_c
1765943250,60,N/A
1765943251,60,N/A
1765943252,60,N/A
1765943253,60,N/A
1765943254,60,N/A
1765943255,60,N/A
1765943256,60,N/A
1765943258,60,N/A
1765943259,60,N/A
1765943260,60,N/A
1765943261,60,N/A
1765943262,59,N/A
1765943263,59,N/A
1765943264,59,N/A
1765943265,59,N/A
1765943266,59,N/A
1765943267,59,N/A
1765943268,59,N/A
1765943269,59,N/A
1765943270,59,N/A
1765943271,59,N/A
1765943272,59,N/A
1765943273,58,N/A
1765943274,58,N/A
1765943275,58,N/A
1765943276,58,N/A
1765943277,58,N/A
1765943278,58,N/A
1765943279,58,N/A
1765943280,58,N/A
1765943281,58,N/A
1765943282,58,N/A
1765943283,58,N/A
1765943284,58,N/A
1765943285,58,N/A
1765943286,57,N/A
1765943287,57,N/A
1765943288,57,N/A
1765943289,57,N/A
1765943290,57,N/A
1765943291,57,N/A
1765943293,57,N/A
1765943294,57,N/A
1765943295,57,N/A
1765943296,57,N/A
1765943297,57,N/A
1765943298,57,N/A
1765943299,59,N/A
1765943300,59,N/A
1765943301,60,N/A
1765943302,60,N/A
1765943303,64,N/A
1765943304,67,N/A
1765943305,68,N/A
1765943306,69,N/A
1765943307,69,N/A
1765943308,69,N/A
1765943309,70,N/A
1765943310,70,N/A
1765943311,71,N/A
1765943312,71,N/A
1765943313,72,N/A
1765943314,72,N/A
1765943315,72,N/A
1765943316,73,N/A
1765943317,74,N/A
1765943318,73,N/A
1765943319,74,N/A
1765943320,74,N/A
1765943321,75,N/A
1765943322,75,N/A
1765943323,75,N/A
1765943324,75,N/A
1765943325,76,N/A
1765943326,76,N/A
1765943328,77,N/A
1765943329,77,N/A
1765943330,77,N/A
1765943331,77,N/A
1765943332,78,N/A
1765943333,78,N/A
1765943334,78,N/A
1765943335,78,N/A
1765943336,79,N/A
1765943337,80,N/A
1765943338,80,N/A
1765943339,79,N/A
1765943340,80,N/A
1765943341,80,N/A
1765943342,80,N/A
1765943343,80,N/A
1765943344,80,N/A
1765943345,80,N/A
1765943346,80,N/A
1765943347,80,N/A
1765943348,80,N/A
1765943349,80,N/A
1765943350,81,N/A
1765943351,81,N/A
1765943352,81,N/A
1765943353,81,N/A
1765943354,81,N/A
1765943355,81,N/A
1765943356,81,N/A
1765943357,81,N/A
1765943358,81,N/A
1765943359,81,N/A
1765943360,81,N/A
1765943362,81,N/A
1765943363,81,N/A
1765943364,80,N/A
1765943365,81,N/A
1765943366,81,N/A
1765943367,81,N/A
1765943368,81,N/A
1765943369,80,N/A
1765943370,81,N/A
1765943371,81,N/A
1765943372,82,N/A
1765943373,81,N/A
1765943374,81,N/A
1765943375,81,N/A
1765943376,81,N/A
1765943377,81,N/A
1765943378,80,N/A
1765943379,81,N/A
1765943380,82,N/A
1765943381,82,N/A
1765943382,81,N/A
1765943383,81,N/A
1765943384,81,N/A
1765943385,82,N/A
1765943386,82,N/A
1765943387,82,N/A
1765943388,82,N/A
1765943389,82,N/A
1765943390,81,N/A
