timestamp,gpu_util_percent,memory_util_percent
1766411399,14,7
1766411400,11,6
1766411401,13,7
1766411402,13,7
1766411403,4,3
1766411404,2,1
1766411405,4,2
1766411406,14,7
1766411407,12,6
1766411408,12,6
1766411409,12,6
1766411410,13,7
1766411411,13,7
1766411412,13,7
1766411413,13,7
1766411414,13,7
1766411416,13,7
1766411417,13,7
1766411418,12,6
1766411419,2,1
1766411420,2,1
1766411421,12,6
1766411422,12,6
1766411423,13,7
1766411424,13,7
1766411425,13,7
1766411426,13,7
1766411427,7,4
1766411428,7,4
1766411429,9,5
1766411430,7,4
1766411431,7,4
1766411432,7,4
1766411433,7,4
1766411435,7,4
1766411436,7,4
1766411437,7,4
1766411438,2,1
1766411439,2,1
1766411440,2,1
1766411441,7,4
1766411442,7,4
1766411443,7,4
1766411445,6,3
1766411446,6,3
1766411447,7,4
1766411448,7,4
1766411449,7,3
1766411450,7,4
1766411451,7,4
1766411452,7,3
1766411453,7,4
1766411454,6,3
1766411456,6,3
1766411457,7,3
1766411458,7,4
1766411459,7,4
1766411460,8,4
1766411461,7,4
1766411462,7,4
1766411463,7,4
1766411465,2,1
1766411466,0,0
1766411467,3,2
1766411468,6,3
1766411469,7,4
1766411470,7,4
1766411472,4,2
1766411473,6,3
1766411474,4,2
1766411475,7,4
1766411476,7,4
1766411477,7,4
1766411479,7,4
1766411480,6,3
1766411481,4,2
1766411482,7,4
1766411483,7,4
1766411484,5,3
1766411486,5,3
1766411487,7,4
1766411488,4,2
1766411489,4,2
1766411490,4,2
1766411491,5,2
1766411493,4,2
1766411494,3,2
1766411495,5,3
1766411496,5,2
1766411497,0,0
1766411498,0,0
1766411499,0,0
1766411501,0,0
1766411502,4,2
1766411503,4,2
1766411504,4,2
1766411505,7,4
1766411506,7,4
1766411508,5,2
1766411509,7,4
1766411510,6,3
1766411511,9,4
1766411512,7,4
1766411514,5,3
1766411515,6,3
1766411516,6,3
1766411517,6,3
1766411518,6,3
1766411519,6,3
1766411521,7,3
1766411522,4,2
1766411523,5,3
1766411524,7,4
1766411525,5,3
1766411526,5,3
1766411528,7,4
1766411529,6,3
1766411530,3,2
1766411531,2,1
1766411532,0,0
1766411534,0,0
1766411535,0,0
1766411536,2,1
1766411538,0,0
1766411539,2,1
1766411540,3,2
1766411541,3,2
1766411543,3,2
1766411544,3,2
1766411545,3,2
1766411546,3,1
1766411548,3,1
1766411549,3,1
1766411550,3,2
1766411551,3,1
1766411553,3,1
1766411554,3,2
1766411555,3,1
1766411556,4,2
1766411558,3,2
1766411559,3,1
1766411560,3,1
1766411562,3,2
1766411563,3,1
1766411564,3,2
1766411565,3,2
1766411567,2,1
1766411568,3,1
1766411569,3,1
1766411570,4,2
1766411572,4,2
1766411573,3,2
1766411574,5,2
1766411575,3,1
1766411577,3,1
1766411578,3,2
1766411579,3,1
1766411581,3,1
1766411582,3,2
1766411583,3,1
1766411584,3,2
1766411586,3,2
1766411587,3,2
1766411588,3,2
1766411590,3,2
1766411591,2,1
1766411592,0,0
1766411593,0,0
1766411595,0,0
1766411596,2,1
1766411597,0,0
1766411598,0,0
1766411600,3,1
1766411601,3,2
1766411602,3,2
1766411603,3,1
1766411605,2,1
1766411606,3,2
1766411607,3,1
1766411608,3,1
1766411610,3,1
1766411611,5,2
1766411612,6,3
1766411613,5,3
1766411614,6,3
1766411615,4,2
1766411617,4,2
1766411618,4,2
1766411619,4,2
1766411620,3,2
1766411621,5,3
1766411622,6,3
1766411624,7,4
1766411625,5,3
1766411626,3,2
1766411627,3,1
1766411628,3,2
1766411630,3,2
1766411631,3,2
1766411632,3,2
1766411633,3,1
1766411635,3,1
1766411636,3,1
1766411637,3,1
1766411639,2,1
1766411640,4,2
1766411641,6,3
1766411642,3,1
1766411644,0,0
1766411645,0,0
1766411646,0,0
1766411647,0,0
1766411649,0,0
1766411650,0,0
1766411651,0,0
1766411652,3,1
1766411654,3,2
1766411655,3,2
1766411656,3,2
1766411657,3,1
1766411659,3,1
1766411660,3,2
1766411661,3,1
