timestamp,power_draw_w
1766422114,92.10
1766422115,87.70
1766422116,92.96
1766422117,95.35
1766422118,95.21
1766422119,92.57
1766422121,91.33
1766422122,95.49
1766422123,95.51
1766422124,95.89
1766422125,95.80
1766422126,95.17
1766422127,95.35
1766422128,96.42
1766422129,95.64
1766422130,88.93
1766422131,91.35
1766422132,95.55
1766422133,95.30
1766422134,95.38
1766422135,95.41
1766422136,96.13
1766422137,96.30
1766422138,95.66
1766422139,95.96
1766422140,96.24
1766422141,94.49
1766422142,92.38
1766422143,92.40
1766422144,92.65
1766422146,88.08
1766422147,87.97
1766422148,90.12
1766422149,91.86
1766422150,91.72
1766422151,91.75
1766422152,91.71
1766422153,92.15
1766422154,92.38
1766422156,92.45
1766422157,92.50
1766422158,92.58
1766422159,92.40
1766422160,91.34
1766422161,92.00
1766422162,93.16
1766422163,93.15
1766422164,93.12
1766422166,92.84
1766422167,92.89
1766422168,90.04
1766422169,87.99
1766422170,88.41
1766422171,92.04
1766422172,91.76
1766422173,91.38
1766422175,91.44
1766422176,91.67
1766422177,91.45
1766422178,89.34
1766422179,89.56
1766422180,89.86
1766422181,89.90
1766422183,90.75
1766422184,89.65
1766422185,89.78
1766422186,89.59
1766422187,89.76
1766422188,89.65
1766422190,89.71
1766422191,89.69
1766422192,89.76
1766422193,91.69
1766422194,91.83
1766422195,91.70
1766422197,91.42
1766422198,89.53
1766422199,89.56
1766422200,87.91
1766422201,87.21
1766422202,87.20
1766422203,87.20
1766422205,87.14
1766422206,88.45
1766422207,90.48
1766422208,91.75
1766422209,91.55
1766422210,89.81
1766422212,90.19
1766422213,90.97
1766422214,89.63
1766422215,90.28
1766422216,90.69
1766422217,91.18
1766422219,90.27
1766422220,90.05
1766422221,91.01
1766422222,90.28
1766422223,90.85
1766422225,90.99
1766422226,90.09
1766422227,90.05
1766422228,91.48
1766422229,91.43
1766422231,90.46
1766422232,90.17
1766422233,89.65
1766422234,90.20
1766422235,88.50
1766422236,87.25
1766422238,87.23
1766422239,86.74
1766422240,87.17
1766422241,88.07
1766422243,88.79
1766422244,88.59
1766422245,88.48
1766422246,88.77
1766422248,88.68
1766422249,88.67
1766422250,88.86
1766422252,89.01
1766422253,89.00
1766422254,88.74
1766422255,88.94
1766422257,89.26
1766422258,88.92
1766422259,88.80
1766422260,88.62
1766422262,88.55
1766422263,88.47
1766422264,88.55
1766422265,88.69
1766422267,88.60
1766422268,88.36
1766422269,88.60
1766422270,88.34
1766422272,88.00
1766422273,88.07
1766422274,88.50
1766422275,89.35
1766422277,89.25
1766422278,88.50
1766422279,88.47
1766422280,88.97
1766422282,90.62
1766422283,89.50
1766422284,90.15
1766422285,89.72
1766422286,89.41
1766422287,89.36
1766422289,89.51
1766422290,87.97
1766422291,87.06
1766422292,87.07
1766422293,87.05
1766422294,87.14
1766422296,91.00
1766422297,91.42
1766422298,90.46
1766422299,90.87
1766422300,89.92
1766422302,90.79
1766422303,90.06
1766422304,90.20
1766422305,91.13
1766422306,89.62
1766422307,89.67
1766422309,89.41
1766422310,89.64
1766422311,89.82
1766422312,90.07
1766422313,90.35
1766422315,90.15
1766422316,89.89
1766422317,90.45
1766422318,92.11
1766422319,88.68
1766422320,88.73
1766422322,89.24
1766422323,90.21
1766422324,89.79
1766422325,91.03
1766422326,87.89
1766422328,86.62
1766422329,86.55
1766422330,86.99
1766422331,86.56
1766422333,87.14
1766422334,86.62
1766422335,88.32
1766422337,88.54
1766422338,88.75
1766422339,89.24
1766422340,89.85
1766422342,89.68
1766422343,89.09
1766422344,89.06
1766422345,88.75
1766422347,88.19
1766422348,88.15
1766422349,88.29
1766422350,88.32
1766422352,88.28
1766422353,88.28
1766422354,88.19
1766422355,88.26
1766422357,88.28
1766422358,88.83
1766422359,89.19
1766422360,89.05
1766422362,88.56
1766422363,88.05
1766422364,88.40
1766422365,88.42
1766422367,88.57
1766422368,88.71
1766422369,88.40
1766422370,88.14
1766422372,89.28
1766422373,88.85
1766422374,90.07
1766422375,89.74
1766422377,91.41
1766422378,90.40
1766422379,90.32
1766422380,87.55
1766422381,87.14
1766422382,87.08
1766422383,87.17
1766422385,87.04
1766422386,88.92
1766422387,89.82
1766422388,90.48
1766422389,90.32
1766422390,91.16
1766422392,90.10
1766422393,90.97
1766422394,89.68
1766422395,89.62
1766422396,89.56
1766422397,90.79
1766422399,90.79
1766422400,89.49
1766422401,89.25
1766422402,89.58
1766422403,90.12
1766422404,90.55
1766422406,90.94
1766422407,91.09
1766422408,90.07
1766422409,89.34
1766422410,89.55
1766422411,89.33
1766422412,89.48
1766422414,89.43
1766422415,89.28
1766422416,89.54
1766422417,86.80
1766422418,87.03
1766422419,86.97
1766422420,86.41
1766422422,87.70
1766422423,91.52
1766422424,91.80
1766422425,91.66
1766422426,92.90
1766422427,91.82
1766422428,91.58
1766422429,91.61
1766422430,91.75
1766422432,91.60
1766422433,91.36
1766422434,92.11
1766422435,92.88
1766422436,92.77
1766422437,92.76
1766422438,93.06
1766422439,92.95
1766422440,93.09
1766422441,93.33
1766422443,88.68
1766422444,87.95
1766422445,89.64
1766422446,92.32
1766422447,91.98
1766422448,91.49
1766422449,91.58
1766422450,91.64
1766422451,91.75
1766422453,91.80
1766422454,94.55
