timestamp,power_draw_w
1767261217,81.53
1767261219,81.02
1767261221,80.49
1767261222,80.02
1767261224,79.69
1767261225,88.42
1767261227,91.16
1767261228,220.64
1767261229,283.34
1767261230,286.49
1767261231,285.28
1767261232,283.34
1767261233,285.90
1767261234,287.90
1767261235,282.53
1767261236,286.55
1767261237,286.25
1767261238,286.24
1767261239,287.65
1767261240,285.98
1767261241,289.93
1767261242,289.88
1767261243,287.05
1767261244,290.68
1767261245,291.08
1767261246,289.38
1767261247,290.85
1767261248,289.51
1767261249,290.26
1767261250,289.11
1767261251,286.26
1767261252,288.29
1767261253,293.01
1767261254,289.27
1767261255,283.24
1767261256,281.17
1767261257,284.92
1767261258,292.15
1767261259,287.80
1767261260,286.27
1767261261,281.89
1767261262,279.87
1767261263,288.97
1767261264,275.13
1767261265,278.98
1767261267,275.70
1767261268,287.95
1767261269,278.64
1767261270,270.51
1767261271,275.77
1767261272,274.92
1767261273,281.08
1767261274,280.35
1767261275,273.18
1767261276,280.58
1767261277,269.35
1767261278,282.17
1767261279,282.57
1767261280,274.61
1767261281,275.05
1767261282,269.83
1767261283,279.92
1767261284,289.68
1767261285,264.11
1767261286,267.20
1767261287,265.94
1767261288,269.02
1767261289,278.92
1767261290,284.24
1767261291,258.94
1767261292,273.44
1767261293,257.42
1767261294,271.69
1767261295,288.28
1767261296,282.84
1767261297,257.86
1767261298,261.57
1767261299,261.04
1767261300,272.14
1767261301,290.16
1767261302,277.83
1767261303,254.43
1767261304,265.27
1767261305,260.63
1767261307,272.67
1767261308,285.67
1767261309,262.95
1767261310,256.23
1767261311,257.79
1767261312,249.41
1767261313,238.87
1767261314,241.19
1767261315,242.57
1767261316,239.92
1767261317,241.02
1767261318,243.09
1767261319,225.39
1767261320,209.01
1767261321,211.25
1767261322,209.57
1767261323,210.63
1767261324,209.68
1767261325,207.88
1767261326,211.44
1767261327,209.29
1767261328,209.69
1767261329,209.21
1767261330,208.76
1767261331,209.42
1767261332,209.22
1767261333,209.97
1767261334,209.05
1767261335,209.30
1767261336,210.52
1767261337,209.27
1767261338,209.24
1767261339,210.86
1767261340,209.55
1767261341,209.80
1767261342,211.16
1767261343,209.59
1767261344,209.63
1767261345,210.53
1767261347,209.41
1767261348,209.85
1767261349,209.99
1767261350,208.25
1767261351,209.22
1767261352,209.53
1767261353,209.53
1767261354,209.49
1767261355,209.19
1767261356,209.61
1767261357,210.20
1767261358,209.25
1767261359,210.24
1767261360,209.40
1767261361,208.58
1767261362,210.29
1767261363,209.23
1767261364,208.13
1767261365,210.60
1767261366,209.41
1767261367,208.25
1767261368,209.53
1767261369,208.83
1767261370,208.77
1767261371,209.04
1767261372,209.26
1767261373,208.78
1767261374,209.43
1767261375,208.90
1767261376,209.42
1767261377,208.43
1767261378,208.45
1767261379,210.06
1767261380,209.04
1767261381,209.46
1767261382,209.59
1767261383,208.78
1767261384,209.76
1767261386,210.52
1767261387,209.42
1767261388,209.71
1767261389,210.78
1767261390,209.14
1767261391,208.21
1767261392,211.06
1767261393,208.95
1767261394,208.59
1767261395,209.23
1767261396,208.32
1767261397,208.31
1767261398,208.93
1767261399,208.84
1767261400,208.66
1767261401,209.13
1767261402,209.57
1767261403,209.62
1767261404,208.44
1767261405,208.97
1767261406,209.66
1767261407,209.56
1767261408,209.05
1767261409,209.68
1767261410,209.34
1767261411,209.18
1767261412,209.85
1767261413,209.31
1767261414,208.33
1767261415,209.43
1767261416,208.61
1767261417,207.85
1767261418,209.16
1767261419,208.77
1767261420,208.07
1767261421,208.59
1767261422,209.53
1767261423,213.45
1767261424,214.12
1767261426,213.63
1767261427,213.69
1767261428,216.24
1767261429,222.51
1767261430,223.69
1767261431,228.66
1767261432,228.98
1767261433,228.10
1767261434,228.50
1767261435,231.49
1767261436,235.60
1767261437,235.25
1767261438,234.19
1767261439,234.32
1767261440,232.35
1767261441,233.68
1767261442,234.45
1767261443,232.70
1767261444,234.89
1767261445,233.15
1767261446,232.94
1767261447,234.71
1767261448,233.63
1767261449,234.89
1767261450,236.26
1767261451,232.35
1767261452,234.42
1767261453,233.38
1767261454,233.53
1767261455,234.13
1767261456,233.22
1767261457,234.57
1767261458,232.65
1767261459,235.40
1767261460,235.03
1767261461,234.67
1767261462,233.66
1767261463,231.87
1767261464,234.44
1767261466,234.60
1767261467,233.65
1767261468,234.41
1767261469,232.96
1767261470,235.08
1767261471,233.14
1767261472,234.62
1767261473,234.50
1767261474,234.35
1767261475,233.35
1767261476,231.36
1767261477,234.69
1767261478,234.59
1767261479,233.41
1767261480,234.35
1767261481,233.36
1767261482,234.89
1767261483,232.91
1767261484,235.18
1767261485,233.47
1767261486,234.89
1767261487,232.39
1767261488,234.13
1767261489,234.57
1767261490,233.55
1767261491,234.86
1767261492,233.46
1767261493,235.29
1767261494,233.33
1767261495,234.95
1767261496,235.75
1767261497,234.42
1767261498,233.46
1767261499,232.12
1767261500,234.89
1767261501,233.96
1767261502,234.46
1767261503,234.98
1767261505,233.83
1767261506,235.78
1767261507,233.28
1767261508,235.31
1767261509,234.68
1767261510,235.55
1767261511,233.45
1767261512,231.38
1767261513,235.48
1767261514,233.60
1767261515,234.96
1767261516,234.45
1767261517,233.70
1767261518,235.51
1767261519,233.42
1767261520,235.93
1767261521,233.44
1767261522,234.23
1767261523,232.66
1767261524,233.56
1767261525,235.16
1767261526,233.32
1767261527,235.50
1767261528,234.05
1767261529,235.00
1767261530,234.76
1767261531,234.15
1767261532,235.51
1767261533,233.74
1767261534,234.56
1767261535,232.73
1767261536,233.33
1767261537,236.16
1767261538,233.48
1767261539,235.44
1767261540,233.44
1767261541,235.12
1767261542,232.99
1767261543,235.77
1767261545,234.11
1767261546,234.31
1767261547,232.45
1767261548,233.34
1767261549,235.32
1767261550,233.16
1767261551,235.28
1767261552,232.84
1767261553,235.99
1767261554,233.97
1767261555,234.98
1767261556,234.64
1767261557,235.55
1767261558,232.28
1767261559,232.54
1767261560,234.83
1767261561,233.25
1767261562,234.88
1767261563,233.19
1767261564,235.75
1767261565,232.87
1767261566,234.45
1767261567,233.91
1767261568,235.14
1767261569,233.03
1767261570,232.22
1767261571,235.16
1767261572,233.81
1767261573,235.64
1767261574,233.87
1767261575,234.69
1767261576,234.99
1767261577,234.40
1767261578,235.76
1767261579,234.51
1767261580,224.31
1767261581,245.13
1767261582,245.65
1767261583,223.68
1767261585,229.15
1767261586,315.12
1767261587,314.94
1767261588,278.45
1767261589,271.81
1767261590,274.16
1767261591,273.35
1767261592,272.32
1767261593,272.20
1767261594,271.66
1767261595,272.11
1767261596,273.58
1767261597,271.77
1767261598,271.44
1767261599,272.18
1767261600,272.23
1767261601,270.63
1767261602,268.45
1767261603,266.77
1767261604,271.29
1767261605,272.52
1767261606,273.68
1767261607,271.86
1767261608,266.77
1767261609,265.53
1767261610,266.09
1767261611,274.23
1767261612,273.18
1767261613,264.16
1767261614,270.86
1767261615,265.21
1767261616,263.97
1767261617,269.95
1767261618,273.24
1767261619,266.39
1767261620,267.71
1767261621,260.53
1767261622,269.78
1767261623,273.81
1767261625,264.66
1767261626,264.14
1767261627,265.48
1767261628,261.76
1767261629,263.41
1767261630,267.20
1767261631,268.11
1767261632,259.74
1767261633,261.12
1767261634,262.98
1767261635,262.12
1767261636,272.81
1767261637,262.09
1767261638,259.46
1767261639,262.72
1767261640,255.15
1767261641,262.14
1767261642,269.90
1767261643,270.82
1767261644,249.79
1767261645,234.87
1767261646,234.06
1767261647,234.26
1767261648,234.00
1767261649,235.96
1767261650,236.28
1767261651,235.05
1767261652,235.38
