timestamp,power_draw_w
1767270543,89.46
1767270544,91.47
1767270545,96.43
1767270546,96.55
1767270547,96.73
1767270548,96.94
1767270549,97.00
1767270550,97.04
1767270551,97.27
1767270552,99.19
1767270553,163.11
1767270554,278.60
1767270555,285.44
1767270556,279.39
1767270557,282.21
1767270558,274.30
1767270559,275.04
1767270560,279.82
1767270561,283.90
1767270562,285.06
1767270563,285.04
1767270564,284.86
1767270565,286.86
1767270566,280.98
1767270567,278.93
1767270568,282.85
1767270569,283.36
1767270570,280.64
1767270572,282.93
1767270573,275.48
1767270574,275.96
1767270575,282.42
1767270576,283.84
1767270577,288.20
1767270578,290.27
1767270579,285.21
1767270580,283.43
1767270581,291.22
1767270582,283.23
1767270583,282.27
1767270584,288.27
1767270585,283.90
1767270586,285.17
1767270587,288.95
1767270588,289.07
1767270589,286.86
1767270590,276.29
1767270591,278.29
1767270592,286.73
1767270593,282.98
1767270594,284.49
1767270595,284.66
1767270596,277.87
1767270597,283.04
1767270598,288.70
1767270599,291.00
1767270600,282.55
1767270601,284.16
1767270602,285.18
1767270603,286.38
1767270604,285.55
1767270605,277.82
1767270606,277.64
1767270607,286.03
1767270608,279.84
1767270609,281.52
1767270611,281.18
1767270612,284.34
1767270613,280.90
1767270614,276.74
1767270615,277.22
1767270616,286.71
1767270617,282.72
1767270618,277.26
1767270619,284.37
1767270620,281.76
1767270621,279.90
1767270622,282.97
1767270623,276.97
1767270624,271.46
1767270625,282.53
1767270626,281.48
1767270627,281.00
1767270628,282.21
1767270629,283.91
1767270630,273.78
1767270631,270.09
1767270632,277.22
1767270633,284.76
1767270634,274.57
1767270635,278.19
1767270636,278.71
1767270637,272.78
1767270638,277.42
1767270639,287.92
1767270640,295.14
1767270641,285.43
1767270642,269.39
1767270643,281.48
1767270644,273.69
1767270645,271.58
1767270646,276.41
1767270647,274.22
1767270648,267.86
1767270649,270.98
1767270651,269.72
1767270652,277.55
1767270653,274.18
1767270654,272.89
1767270655,275.27
1767270656,281.39
1767270657,271.36
1767270658,280.81
1767270659,269.53
1767270660,272.38
1767270661,278.95
1767270662,274.76
1767270663,275.05
1767270664,270.45
1767270665,278.02
1767270666,271.30
1767270667,281.05
1767270668,286.27
1767270669,280.50
1767270670,269.15
1767270671,260.22
1767270672,274.27
1767270673,277.12
1767270674,273.53
1767270675,272.33
1767270676,272.55
1767270677,272.66
1767270678,269.40
1767270679,274.43
1767270680,272.33
1767270681,266.77
1767270682,270.17
1767270683,261.15
1767270684,264.66
1767270685,261.97
1767270686,280.92
1767270687,266.16
1767270688,266.63
1767270689,267.85
1767270691,263.91
1767270692,277.07
1767270693,263.70
1767270694,265.80
1767270695,271.99
1767270696,268.64
1767270697,272.53
1767270698,275.40
1767270699,275.38
1767270700,268.30
1767270701,262.31
1767270702,265.65
1767270703,278.54
1767270704,271.01
1767270705,270.96
1767270706,267.95
1767270707,267.61
1767270708,279.48
1767270709,289.27
1767270710,287.56
1767270711,270.27
1767270712,241.42
1767270713,229.93
1767270714,228.44
1767270715,229.66
1767270716,228.81
1767270717,229.07
1767270718,228.05
1767270719,228.35
1767270720,228.63
1767270721,229.02
1767270722,228.54
1767270723,228.89
1767270724,228.47
1767270725,227.93
1767270726,229.01
1767270727,228.60
1767270728,229.15
1767270730,228.85
1767270731,227.97
1767270732,228.59
1767270733,228.09
1767270734,228.20
1767270735,229.67
1767270736,229.01
1767270737,229.06
1767270738,230.26
1767270739,228.46
1767270740,227.75
1767270741,228.64
1767270742,228.53
1767270743,229.35
1767270744,229.24
1767270745,228.76
1767270746,229.36
1767270747,228.88
1767270748,229.57
1767270749,229.05
1767270750,228.83
1767270751,228.57
1767270752,228.00
1767270753,228.82
1767270754,227.39
1767270755,227.82
1767270756,229.06
1767270757,228.74
1767270758,228.36
1767270759,228.46
1767270760,228.73
1767270761,227.96
1767270762,227.76
1767270763,228.62
1767270764,228.32
1767270765,228.19
1767270766,228.42
1767270767,228.25
1767270768,228.92
1767270770,228.41
1767270771,229.45
1767270772,228.58
1767270773,227.81
1767270774,229.01
1767270775,228.87
1767270776,229.38
1767270777,229.41
1767270778,228.28
1767270779,227.99
1767270780,229.34
1767270781,228.01
1767270782,228.68
1767270783,228.63
1767270784,227.50
1767270785,230.83
1767270786,227.50
1767270787,228.03
1767270788,228.85
1767270789,229.09
1767270790,229.24
1767270791,228.43
1767270792,227.96
1767270793,228.04
1767270794,227.39
1767270795,228.29
1767270796,226.69
1767270797,229.68
1767270798,227.91
1767270799,228.81
1767270800,228.79
1767270801,228.58
1767270802,228.40
1767270803,228.40
1767270804,228.24
1767270805,227.92
1767270806,227.82
1767270807,227.05
1767270809,227.28
1767270810,228.94
1767270811,227.83
1767270812,228.71
1767270813,228.11
1767270814,228.91
1767270815,229.44
1767270816,229.39
1767270817,228.39
1767270818,228.09
1767270819,227.72
1767270820,227.77
1767270821,228.83
1767270822,227.62
1767270823,228.23
1767270824,228.28
1767270825,228.77
1767270826,229.02
1767270827,229.35
1767270828,229.00
1767270829,228.65
1767270830,227.60
1767270831,228.22
1767270832,227.47
1767270833,228.32
1767270834,227.37
1767270835,228.16
1767270836,228.89
1767270837,230.01
1767270838,229.36
1767270839,228.88
1767270840,229.13
1767270841,229.01
1767270842,227.49
1767270843,228.42
1767270844,228.81
1767270845,229.05
1767270846,228.98
1767270847,228.12
1767270849,227.75
1767270850,228.49
1767270851,228.90
1767270852,228.75
1767270853,228.99
1767270854,228.85
1767270855,227.72
1767270856,228.15
1767270857,229.98
1767270858,228.88
1767270859,228.29
1767270860,227.87
1767270861,227.43
1767270862,227.29
1767270863,228.71
1767270864,227.96
1767270865,228.10
1767270866,228.34
1767270867,228.48
1767270868,228.07
1767270869,228.32
1767270870,228.48
1767270871,228.89
1767270872,228.05
1767270873,228.53
1767270874,227.84
1767270875,227.25
1767270876,226.98
1767270877,227.43
1767270878,226.46
1767270879,228.91
1767270880,227.97
1767270881,228.95
1767270882,229.55
1767270883,227.35
1767270884,227.14
1767270885,226.92
