timestamp,gpu_temp_c,memory_temp_c
1767122817,68,N/A
1767122819,68,N/A
1767122821,67,N/A
1767122822,67,N/A
1767122824,67,N/A
1767122826,67,N/A
1767122828,67,N/A
1767122830,67,N/A
1767122832,67,N/A
1767122834,68,N/A
1767122835,68,N/A
1767122836,68,N/A
1767122837,68,N/A
1767122838,68,N/A
1767122839,68,N/A
1767122840,68,N/A
1767122841,68,N/A
1767122842,74,N/A
1767122843,76,N/A
1767122844,76,N/A
1767122845,77,N/A
1767122846,78,N/A
1767122847,78,N/A
1767122848,78,N/A
1767122849,79,N/A
1767122850,79,N/A
1767122851,80,N/A
1767122852,81,N/A
1767122853,80,N/A
1767122854,81,N/A
1767122855,81,N/A
1767122856,82,N/A
1767122857,81,N/A
1767122858,82,N/A
1767122859,82,N/A
1767122860,83,N/A
1767122861,82,N/A
1767122862,82,N/A
1767122863,82,N/A
1767122865,83,N/A
1767122866,82,N/A
1767122867,83,N/A
1767122868,83,N/A
1767122869,83,N/A
1767122870,82,N/A
1767122871,84,N/A
1767122872,82,N/A
1767122873,82,N/A
1767122874,83,N/A
1767122875,83,N/A
1767122876,84,N/A
1767122877,83,N/A
1767122878,84,N/A
1767122879,83,N/A
1767122880,84,N/A
1767122881,83,N/A
1767122882,83,N/A
1767122883,84,N/A
1767122884,83,N/A
1767122885,83,N/A
1767122886,83,N/A
1767122887,83,N/A
1767122888,84,N/A
1767122889,83,N/A
1767122890,84,N/A
1767122891,83,N/A
1767122892,85,N/A
1767122893,84,N/A
1767122894,80,N/A
1767122895,79,N/A
1767122896,83,N/A
1767122897,82,N/A
1767122898,83,N/A
1767122899,85,N/A
1767122900,84,N/A
1767122901,83,N/A
1767122903,82,N/A
1767122904,82,N/A
1767122905,84,N/A
1767122906,82,N/A
1767122907,80,N/A
1767122908,80,N/A
1767122909,80,N/A
1767122910,80,N/A
1767122911,80,N/A
1767122912,80,N/A
1767122913,79,N/A
1767122914,79,N/A
1767122915,79,N/A
1767122916,79,N/A
1767122917,79,N/A
1767122918,79,N/A
1767122919,79,N/A
1767122920,79,N/A
1767122921,78,N/A
1767122922,79,N/A
1767122923,78,N/A
1767122924,79,N/A
1767122925,78,N/A
1767122926,78,N/A
1767122927,78,N/A
1767122928,78,N/A
1767122929,78,N/A
1767122930,78,N/A
1767122931,78,N/A
1767122932,78,N/A
1767122933,78,N/A
1767122934,78,N/A
1767122935,78,N/A
1767122936,78,N/A
1767122937,78,N/A
1767122938,78,N/A
1767122939,78,N/A
1767122940,77,N/A
1767122942,78,N/A
1767122943,77,N/A
1767122944,77,N/A
1767122945,78,N/A
1767122946,77,N/A
1767122947,78,N/A
1767122948,77,N/A
1767122949,77,N/A
1767122950,77,N/A
1767122951,77,N/A
1767122952,78,N/A
1767122953,77,N/A
1767122954,78,N/A
1767122955,77,N/A
1767122956,78,N/A
1767122957,77,N/A
1767122958,78,N/A
1767122959,77,N/A
1767122960,77,N/A
1767122961,77,N/A
1767122962,77,N/A
1767122963,77,N/A
1767122964,77,N/A
1767122965,78,N/A
1767122966,77,N/A
1767122967,77,N/A
1767122968,77,N/A
1767122969,77,N/A
1767122970,77,N/A
1767122971,77,N/A
1767122972,77,N/A
1767122973,77,N/A
1767122974,77,N/A
1767122975,77,N/A
1767122976,77,N/A
1767122977,77,N/A
1767122979,77,N/A
1767122980,77,N/A
1767122981,77,N/A
1767122982,77,N/A
1767122983,77,N/A
1767122984,77,N/A
1767122985,77,N/A
1767122986,77,N/A
1767122987,77,N/A
1767122988,77,N/A
1767122989,77,N/A
1767122990,77,N/A
1767122991,77,N/A
1767122992,77,N/A
1767122993,77,N/A
1767122994,77,N/A
1767122995,77,N/A
1767122996,77,N/A
1767122997,77,N/A
1767122998,77,N/A
1767122999,77,N/A
1767123000,77,N/A
1767123001,77,N/A
1767123002,77,N/A
1767123003,77,N/A
1767123004,77,N/A
1767123005,79,N/A
1767123006,81,N/A
1767123007,82,N/A
1767123008,82,N/A
1767123009,82,N/A
1767123010,82,N/A
1767123011,82,N/A
1767123012,83,N/A
1767123013,83,N/A
1767123014,82,N/A
1767123015,82,N/A
1767123016,83,N/A
1767123018,83,N/A
1767123019,83,N/A
1767123020,82,N/A
1767123021,80,N/A
1767123022,79,N/A
1767123023,79,N/A
1767123024,79,N/A
1767123025,79,N/A
1767123026,78,N/A
1767123027,78,N/A
1767123028,78,N/A
1767123029,78,N/A
1767123030,78,N/A
1767123031,78,N/A
1767123032,77,N/A
1767123033,77,N/A
1767123034,77,N/A
1767123035,77,N/A
1767123036,77,N/A
1767123037,77,N/A
1767123038,77,N/A
1767123039,77,N/A
1767123040,77,N/A
1767123041,77,N/A
1767123042,77,N/A
1767123043,77,N/A
1767123044,76,N/A
1767123045,77,N/A
1767123046,76,N/A
1767123047,76,N/A
1767123048,76,N/A
1767123049,76,N/A
1767123050,76,N/A
1767123051,76,N/A
1767123052,76,N/A
1767123053,76,N/A
1767123054,76,N/A
1767123056,76,N/A
1767123057,76,N/A
1767123058,76,N/A
1767123059,76,N/A
1767123060,75,N/A
1767123061,77,N/A
1767123062,77,N/A
1767123063,76,N/A
1767123064,76,N/A
1767123065,77,N/A
1767123066,77,N/A
1767123067,76,N/A
1767123068,77,N/A
1767123069,77,N/A
1767123070,77,N/A
1767123071,76,N/A
1767123072,76,N/A
1767123073,76,N/A
1767123074,76,N/A
1767123075,77,N/A
1767123076,76,N/A
1767123077,76,N/A
1767123078,77,N/A
1767123079,76,N/A
1767123080,76,N/A
1767123081,76,N/A
1767123082,77,N/A
1767123083,76,N/A
1767123084,77,N/A
1767123085,76,N/A
1767123086,76,N/A
1767123087,77,N/A
1767123088,76,N/A
1767123089,76,N/A
1767123090,76,N/A
1767123091,76,N/A
1767123092,76,N/A
1767123093,76,N/A
1767123095,76,N/A
1767123096,77,N/A
1767123097,76,N/A
1767123098,77,N/A
1767123099,76,N/A
1767123100,76,N/A
1767123101,76,N/A
1767123102,76,N/A
1767123103,76,N/A
1767123104,76,N/A
1767123105,76,N/A
1767123106,76,N/A
1767123107,76,N/A
1767123108,76,N/A
1767123109,76,N/A
1767123110,76,N/A
1767123111,76,N/A
1767123112,76,N/A
1767123113,76,N/A
1767123114,76,N/A
1767123115,76,N/A
1767123116,76,N/A
1767123117,76,N/A
1767123118,76,N/A
1767123119,77,N/A
1767123120,76,N/A
1767123121,76,N/A
1767123122,76,N/A
1767123123,76,N/A
1767123124,77,N/A
1767123125,77,N/A
1767123126,76,N/A
1767123127,77,N/A
1767123128,76,N/A
1767123129,77,N/A
1767123130,77,N/A
1767123131,76,N/A
1767123132,77,N/A
1767123134,76,N/A
1767123135,77,N/A
1767123136,77,N/A
1767123137,76,N/A
1767123138,77,N/A
1767123139,76,N/A
1767123140,76,N/A
1767123141,77,N/A
1767123142,76,N/A
1767123143,77,N/A
1767123144,77,N/A
1767123145,76,N/A
1767123146,77,N/A
1767123147,76,N/A
1767123148,77,N/A
1767123149,77,N/A
1767123150,76,N/A
1767123151,77,N/A
1767123152,76,N/A
1767123153,77,N/A
1767123154,77,N/A
1767123155,76,N/A
1767123156,76,N/A
1767123157,76,N/A
1767123158,77,N/A
1767123159,76,N/A
1767123160,77,N/A
1767123161,76,N/A
1767123162,77,N/A
1767123163,77,N/A
1767123164,76,N/A
1767123165,77,N/A
1767123166,76,N/A
1767123167,77,N/A
1767123168,77,N/A
1767123169,76,N/A
1767123170,77,N/A
1767123171,77,N/A
1767123173,77,N/A
1767123174,77,N/A
1767123175,77,N/A
1767123176,77,N/A
1767123177,77,N/A
1767123178,77,N/A
1767123179,77,N/A
1767123180,77,N/A
1767123181,77,N/A
1767123182,77,N/A
1767123183,77,N/A
1767123184,77,N/A
1767123185,77,N/A
1767123186,77,N/A
1767123187,77,N/A
1767123188,77,N/A
1767123189,77,N/A
1767123190,77,N/A
1767123191,77,N/A
1767123192,77,N/A
1767123193,77,N/A
1767123194,77,N/A
1767123195,77,N/A
1767123196,77,N/A
1767123197,77,N/A
1767123198,77,N/A
1767123199,77,N/A
1767123200,77,N/A
1767123201,77,N/A
1767123202,77,N/A
1767123203,77,N/A
1767123204,77,N/A
1767123205,77,N/A
1767123206,77,N/A
1767123207,77,N/A
1767123208,77,N/A
1767123209,77,N/A
1767123210,77,N/A
1767123212,77,N/A
1767123213,77,N/A
1767123214,77,N/A
1767123215,77,N/A
1767123216,77,N/A
1767123217,77,N/A
1767123218,77,N/A
1767123219,77,N/A
1767123220,77,N/A
1767123221,77,N/A
1767123222,77,N/A
1767123223,77,N/A
1767123224,77,N/A
1767123225,77,N/A
1767123226,77,N/A
1767123227,77,N/A
1767123228,77,N/A
1767123229,77,N/A
1767123230,78,N/A
1767123231,77,N/A
1767123232,78,N/A
1767123233,77,N/A
1767123234,78,N/A
1767123235,77,N/A
1767123236,78,N/A
1767123237,77,N/A
1767123238,78,N/A
1767123239,78,N/A
1767123240,78,N/A
1767123241,77,N/A
1767123242,77,N/A
1767123243,78,N/A
1767123244,78,N/A
1767123245,78,N/A
1767123246,77,N/A
1767123247,78,N/A
1767123248,78,N/A
1767123250,78,N/A
1767123251,77,N/A
1767123252,78,N/A
1767123253,77,N/A
1767123254,78,N/A
1767123255,77,N/A
1767123256,77,N/A
1767123257,78,N/A
1767123258,77,N/A
1767123259,78,N/A
1767123260,77,N/A
1767123261,78,N/A
1767123262,78,N/A
1767123263,78,N/A
1767123264,78,N/A
1767123265,77,N/A
1767123266,78,N/A
1767123267,78,N/A
1767123268,78,N/A
1767123269,78,N/A
1767123270,78,N/A
1767123271,77,N/A
1767123272,78,N/A
1767123273,78,N/A
1767123274,78,N/A
1767123275,78,N/A
1767123276,76,N/A
1767123277,78,N/A
1767123278,78,N/A
1767123279,78,N/A
1767123280,78,N/A
1767123281,78,N/A
1767123282,78,N/A
1767123283,78,N/A
1767123284,78,N/A
1767123285,78,N/A
1767123286,78,N/A
1767123287,78,N/A
1767123289,78,N/A
1767123290,78,N/A
1767123291,78,N/A
1767123292,78,N/A
1767123293,78,N/A
1767123294,78,N/A
1767123295,78,N/A
1767123296,78,N/A
1767123297,78,N/A
1767123298,78,N/A
1767123299,78,N/A
1767123300,78,N/A
1767123301,79,N/A
1767123302,78,N/A
1767123303,78,N/A
1767123304,78,N/A
1767123305,78,N/A
1767123306,78,N/A
1767123307,78,N/A
1767123308,79,N/A
1767123309,78,N/A
1767123310,79,N/A
1767123311,78,N/A
1767123312,79,N/A
1767123313,78,N/A
1767123314,78,N/A
1767123315,78,N/A
1767123316,78,N/A
1767123317,79,N/A
1767123318,78,N/A
1767123319,78,N/A
1767123320,78,N/A
1767123321,78,N/A
1767123322,78,N/A
1767123323,79,N/A
1767123324,78,N/A
1767123325,79,N/A
1767123326,78,N/A
