timestamp,gpu_util_percent,memory_util_percent
1767173687,0,0
1767173689,0,0
1767173691,0,0
1767173693,0,0
1767173694,3,1
1767173695,63,34
1767173696,63,34
1767173697,63,34
1767173698,63,34
1767173699,63,34
1767173700,63,33
1767173701,63,34
1767173702,75,40
1767173703,75,40
1767173704,75,40
1767173705,74,40
1767173706,74,39
1767173707,74,39
1767173708,73,39
1767173709,72,39
1767173710,67,32
1767173711,67,32
1767173712,67,32
1767173713,68,32
1767173714,67,32
1767173715,67,31
1767173716,67,31
1767173718,67,31
1767173719,68,37
1767173720,68,37
1767173721,69,37
1767173722,68,37
1767173723,68,37
1767173724,69,37
1767173725,69,37
1767173726,70,33
1767173727,69,33
1767173728,69,32
1767173729,68,32
1767173730,68,31
1767173731,66,31
1767173732,66,31
1767173733,64,30
1767173734,73,38
1767173735,74,39
1767173736,76,41
1767173737,76,39
1767173738,72,33
1767173739,69,32
1767173740,66,30
1767173741,70,38
1767173742,72,39
1767173743,45,24
1767173744,74,38
1767173745,73,37
1767173746,73,36
1767173747,73,35
1767173748,72,35
1767173749,63,34
1767173750,64,35
1767173751,64,35
1767173752,65,35
1767173753,66,35
1767173754,65,35
1767173755,67,36
1767173757,73,37
1767173758,71,35
1767173759,70,33
1767173760,71,32
1767173761,70,32
1767173762,68,32
1767173763,58,27
1767173764,9,5
1767173765,64,32
1767173766,63,32
1767173767,63,33
1767173768,63,34
1767173769,63,35
1767173770,66,35
1767173771,66,36
1767173772,74,37
1767173773,71,35
1767173774,69,33
1767173775,68,32
1767173776,67,31
1767173777,67,30
1767173778,64,30
1767173779,63,30
1767173780,71,38
1767173781,71,38
1767173782,72,38
1767173783,75,39
1767173784,78,40
1767173785,75,40
1767173786,75,38
1767173787,62,33
1767173788,65,35
1767173789,68,37
1767173790,71,38
1767173791,74,39
1767173792,79,41
1767173793,75,39
1767173794,62,31
1767173796,78,41
1767173797,75,39
1767173798,74,38
1767173799,71,34
1767173800,67,31
1767173801,63,30
1767173802,63,30
1767173803,75,40
1767173804,76,40
1767173805,74,39
1767173806,72,35
1767173807,68,32
1767173808,65,30
1767173809,63,30
1767173810,62,32
1767173811,77,41
1767173812,75,39
1767173813,72,35
1767173814,69,32
1767173815,65,30
1767173816,63,30
1767173817,62,32
1767173818,63,35
1767173819,72,36
1767173820,68,32
1767173821,64,30
1767173822,62,30
