timestamp,gpu_util_percent,memory_util_percent
1767212206,0,0
1767212208,0,0
1767212210,0,0
1767212212,0,0
1767212213,5,0
1767212214,99,72
1767212215,98,70
1767212216,99,63
1767212217,99,66
1767212218,98,72
1767212219,99,66
1767212220,99,62
1767212221,98,72
1767212222,99,63
1767212223,99,65
1767212224,99,72
1767212225,98,68
1767212226,99,62
1767212227,99,65
1767212228,99,72
1767212229,99,64
1767212230,99,62
1767212231,99,65
1767212232,99,71
1767212233,98,71
1767212234,99,67
1767212235,99,62
1767212237,99,62
1767212238,99,71
1767212239,98,69
1767212240,98,69
1767212241,99,67
1767212242,99,65
1767212243,99,62
1767212244,99,62
1767212245,99,71
1767212246,98,68
1767212247,98,68
1767212248,99,66
1767212249,99,62
1767212250,99,61
1767212251,99,60
1767212252,99,63
1767212253,99,70
1767212254,98,68
1767212255,98,69
1767212256,99,67
1767212257,99,68
1767212258,99,67
1767212259,99,64
1767212260,99,61
1767212261,99,61
1767212262,99,62
1767212263,99,63
1767212264,99,64
1767212265,99,62
1767212266,99,61
1767212267,99,61
1767212268,99,63
1767212269,99,60
1767212270,99,60
1767212271,99,60
1767212272,99,65
1767212273,98,66
1767212274,99,67
1767212276,99,66
1767212277,99,67
1767212278,99,63
1767212279,99,60
1767212280,54,34
1767212281,98,62
1767212282,99,60
1767212283,99,62
1767212284,99,60
1767212285,99,61
1767212286,99,64
1767212287,99,67
1767212288,98,67
1767212289,98,67
1767212290,99,68
1767212291,99,67
1767212292,98,66
1767212293,99,68
1767212294,99,67
1767212295,99,64
1767212296,99,62
1767212297,99,61
1767212298,99,60
1767212299,99,61
1767212300,99,60
1767212301,99,59
1767212302,99,60
1767212303,99,60
1767212304,99,61
1767212305,99,64
1767212306,99,60
1767212307,99,61
1767212308,99,65
1767212309,98,66
1767212310,98,67
1767212311,98,66
1767212312,99,68
1767212313,99,67
1767212315,98,66
1767212316,99,68
1767212317,99,67
1767212318,99,65
1767212319,99,63
1767212320,99,61
1767212321,99,60
1767212322,99,62
1767212323,99,61
1767212324,99,60
1767212325,99,60
1767212326,99,60
1767212327,99,60
1767212328,99,62
1767212329,99,65
1767212330,99,61
1767212331,99,63
1767212332,99,66
1767212333,98,67
1767212334,98,67
1767212335,99,67
1767212336,99,68
1767212337,98,67
1767212338,99,68
1767212339,99,68
1767212340,99,67
1767212341,99,64
1767212342,99,62
1767212343,99,61
1767212344,99,60
1767212345,99,61
1767212346,99,60
1767212347,99,59
1767212348,99,60
1767212349,63,39
1767212350,98,63
1767212351,98,69
1767212352,99,66
1767212354,99,72
1767212355,98,68
1767212356,99,62
1767212357,99,62
1767212358,99,67
1767212359,98,70
1767212360,98,69
1767212361,99,61
1767212362,99,64
1767212363,99,70
1767212364,99,70
1767212365,98,67
1767212366,98,68
1767212367,98,68
1767212368,99,68
1767212369,98,66
1767212370,99,67
1767212371,99,63
1767212372,99,59
1767212373,99,59
1767212374,99,61
1767212375,98,65
1767212376,98,66
1767212377,99,67
1767212378,99,64
1767212379,99,60
1767212380,99,59
1767212381,99,60
1767212382,99,60
1767212383,99,66
1767212384,98,65
1767212385,99,66
1767212386,99,62
1767212387,99,59
1767212388,99,60
1767212389,99,63
1767212390,99,62
1767212392,98,66
1767212393,99,67
1767212394,99,64
1767212395,99,59
1767212396,99,59
1767212397,99,60
1767212398,99,60
1767212399,99,66
1767212400,98,65
1767212401,99,66
1767212402,99,63
1767212403,99,59
1767212404,99,59
1767212405,99,60
1767212406,99,60
1767212407,99,66
1767212408,98,65
1767212409,99,67
1767212410,99,63
1767212411,99,60
1767212412,99,59
1767212413,99,60
1767212414,99,60
1767212415,99,65
1767212416,98,66
1767212417,99,67
1767212418,99,64
1767212419,44,31
1767212420,98,60
1767212421,99,66
1767212422,98,66
1767212423,98,66
1767212424,99,67
1767212425,99,65
1767212426,99,62
1767212427,99,60
1767212428,99,61
1767212429,99,60
1767212431,99,60
1767212432,99,60
1767212433,99,62
1767212434,99,67
1767212435,98,66
1767212436,99,67
1767212437,98,66
1767212438,99,68
1767212439,99,67
1767212440,99,64
1767212441,99,61
1767212442,99,59
1767212443,99,60
1767212444,99,60
1767212445,99,60
1767212446,99,60
1767212447,99,63
1767212448,99,66
1767212449,98,66
1767212450,99,68
1767212451,99,67
1767212452,99,68
1767212453,99,67
1767212454,99,64
1767212455,99,61
1767212456,99,60
1767212457,99,60
1767212458,99,60
1767212459,99,62
1767212460,99,60
1767212461,99,63
1767212462,99,66
1767212463,98,66
1767212464,99,68
1767212465,99,67
1767212466,99,64
1767212467,99,67
1767212468,99,64
1767212470,99,61
1767212471,99,60
1767212472,99,60
1767212473,99,60
1767212474,99,62
1767212475,99,66
1767212476,99,62
1767212477,99,67
1767212478,98,66
1767212479,99,67
1767212480,99,67
1767212481,99,65
1767212482,99,62
1767212483,99,64
1767212484,99,61
1767212485,99,59
1767212486,99,60
1767212487,99,60
1767212488,99,61
1767212489,100,66
1767212490,98,62
1767212491,98,72
1767212492,99,64
1767212493,99,63
1767212494,99,72
1767212495,98,70
1767212496,99,62
1767212497,99,64
1767212498,98,69
1767212499,99,65
1767212500,99,62
1767212501,99,64
1767212502,99,69
1767212503,98,70
1767212504,99,69
1767212505,99,62
1767212506,99,65
1767212507,99,69
1767212509,99,69
1767212510,98,70
1767212511,99,68
1767212512,99,62
1767212513,99,61
1767212514,99,66
1767212515,99,65
1767212516,99,65
1767212517,99,65
1767212518,99,65
1767212519,99,65
1767212520,99,65
1767212521,99,65
1767212522,99,67
1767212523,99,63
1767212524,99,59
1767212525,99,60
1767212526,99,63
1767212527,98,65
1767212528,99,67
1767212529,99,63
1767212530,99,63
1767212531,99,60
1767212532,99,59
1767212533,99,61
1767212534,98,65
1767212535,99,67
1767212536,99,64
1767212537,99,64
1767212538,99,60
1767212539,99,59
1767212540,99,60
1767212541,99,66
1767212542,98,65
1767212543,99,66
1767212544,99,62
1767212545,99,62
1767212546,99,59
1767212547,99,60
1767212549,99,63
1767212550,98,65
1767212551,99,67
1767212552,99,64
1767212553,99,60
1767212554,99,60
1767212555,99,59
1767212556,99,60
1767212557,99,65
1767212558,98,66
1767212559,98,58
1767212560,37,21
1767212561,99,62
1767212562,99,60
1767212563,99,60
1767212564,99,60
1767212565,99,62
1767212566,99,67
1767212567,98,66
1767212568,99,68
1767212569,98,66
1767212570,99,67
1767212571,99,66
1767212572,99,63
1767212573,99,60
1767212574,99,59
1767212575,99,60
1767212576,99,60
1767212577,99,60
1767212578,99,62
1767212579,99,67
1767212580,98,66
1767212581,99,68
1767212582,99,67
1767212583,99,64
1767212584,99,66
1767212585,99,63
1767212586,99,61
1767212588,99,59
1767212589,99,60
1767212590,99,61
1767212591,99,64
1767212592,98,66
1767212593,99,64
1767212594,98,66
1767212595,98,66
1767212596,99,68
1767212597,99,66
1767212598,99,63
1767212599,99,60
1767212600,99,62
1767212601,99,60
1767212602,99,59
1767212603,99,60
1767212604,99,61
1767212605,99,65
1767212606,99,61
1767212607,99,66
1767212608,98,66
1767212609,98,66
1767212610,99,67
1767212611,99,65
1767212612,99,62
1767212613,99,60
1767212614,99,61
1767212615,99,59
1767212616,99,60
1767212617,99,60
1767212618,99,62
1767212619,99,67
1767212620,98,66
1767212621,98,66
1767212622,98,66
1767212623,99,68
1767212624,99,66
1767212626,99,63
1767212627,99,60
1767212628,99,59
1767212629,66,44
1767212630,56,35
1767212631,99,62
1767212632,99,71
1767212633,98,72
1767212634,99,63
1767212635,99,63
1767212636,99,70
1767212637,99,65
1767212638,99,62
1767212639,99,65
1767212640,99,71
1767212641,98,70
1767212642,99,68
1767212643,99,64
1767212644,99,62
1767212645,99,68
1767212646,99,70
1767212647,98,69
1767212648,98,68
1767212649,99,68
1767212650,99,66
1767212651,99,62
1767212652,99,62
1767212653,99,62
1767212654,99,60
1767212655,99,60
1767212656,99,60
1767212657,99,60
1767212658,99,60
1767212659,99,61
1767212660,99,60
1767212661,99,60
1767212662,99,63
1767212663,98,66
1767212665,99,67
1767212666,99,66
1767212667,99,63
1767212668,99,64
1767212669,99,60
1767212670,99,59
1767212671,99,60
1767212672,99,63
1767212673,98,66
1767212674,99,66
1767212675,99,67
1767212676,99,68
1767212677,99,64
1767212678,99,61
1767212679,99,60
1767212680,99,60
1767212681,99,61
1767212682,99,67
1767212683,99,64
1767212684,98,66
1767212685,99,67
1767212686,99,67
1767212687,99,63
1767212688,99,60
1767212689,99,60
1767212690,99,60
1767212691,99,60
1767212692,99,61
1767212693,99,66
1767212694,98,66
1767212695,99,67
1767212696,99,66
1767212697,100,63
1767212698,98,58
1767212699,99,59
1767212700,99,60
1767212701,99,62
1767212702,99,67
1767212704,98,66
1767212705,99,67
1767212706,99,66
1767212707,99,67
1767212708,99,64
1767212709,99,60
1767212710,99,59
1767212711,99,60
1767212712,99,61
1767212713,99,66
1767212714,99,64
1767212715,98,66
1767212716,98,66
1767212717,99,67
1767212718,99,65
1767212719,99,62
1767212720,99,59
1767212721,99,60
1767212722,99,59
1767212723,99,60
1767212724,99,61
1767212725,99,66
1767212726,98,66
1767212727,99,68
1767212728,99,67
1767212729,99,64
1767212730,99,66
1767212731,99,62
1767212732,99,59
1767212733,99,60
1767212734,99,60
1767212735,99,63
1767212736,98,66
1767212737,99,64
1767212738,98,67
1767212739,98,65
1767212740,99,67
1767212741,99,64
1767212743,99,61
1767212744,99,59
1767212745,99,60
1767212746,99,59
1767212747,99,60
1767212748,99,61
1767212749,99,67
1767212750,98,66
1767212751,99,68
1767212752,99,67
1767212753,99,68
1767212754,99,66
1767212755,99,62
1767212756,99,60
1767212757,99,60
1767212758,99,60
1767212759,99,61
1767212760,99,60
1767212761,99,64
1767212762,98,66
1767212763,98,66
1767212764,99,68
1767212765,99,66
1767212766,99,62
1767212767,99,60
1767212768,98,63
1767212769,99,60
1767212770,99,61
1767212771,99,62
1767212772,99,66
1767212773,98,67
1767212774,98,67
1767212775,98,66
1767212776,98,67
1767212777,98,67
1767212778,99,67
1767212779,99,68
1767212780,99,67
1767212782,99,65
1767212783,99,68
1767212784,99,66
1767212785,99,64
1767212786,99,62
1767212787,99,61
1767212788,99,60
1767212789,99,60
1767212790,99,60
1767212791,99,60
1767212792,99,60
1767212793,99,61
1767212794,99,61
1767212795,99,63
1767212796,99,66
1767212797,98,67
1767212798,99,63
1767212799,99,67
1767212800,98,67
1767212801,98,67
1767212802,98,67
1767212803,99,68
1767212804,99,67
1767212805,99,65
1767212806,99,68
1767212807,99,66
1767212808,99,65
1767212809,99,62
1767212810,99,61
1767212811,99,60
1767212812,99,60
1767212813,99,61
1767212814,99,60
1767212815,99,60
1767212816,99,61
1767212817,99,61
1767212818,99,62
1767212820,99,66
1767212821,98,67
1767212822,99,63
1767212823,99,67
1767212824,98,67
1767212825,98,67
1767212826,99,67
1767212827,99,68
1767212828,99,67
1767212829,99,65
1767212830,99,68
1767212831,99,67
1767212832,99,64
1767212833,99,62
1767212834,99,61
1767212835,99,60
1767212836,99,60
1767212837,100,61
1767212838,98,60
1767212839,99,65
1767212840,99,63
1767212841,99,72
1767212842,98,71
1767212843,99,63
1767212844,99,63
1767212845,98,71
1767212846,99,65
1767212847,99,62
1767212848,99,65
1767212849,99,72
1767212850,98,70
1767212851,99,68
1767212852,99,61
1767212853,99,64
1767212854,99,68
1767212855,99,71
1767212856,98,70
1767212857,99,68
1767212858,99,63
1767212860,99,61
1767212861,99,66
1767212862,99,65
1767212863,99,66
1767212864,99,59
1767212865,99,59
1767212866,99,65
1767212867,99,65
1767212868,99,63
1767212869,99,59
1767212870,99,60
1767212871,98,64
1767212872,99,63
1767212873,99,59
1767212874,99,60
1767212875,98,64
1767212876,99,66
1767212877,99,61
1767212878,99,59
1767212879,99,62
1767212880,98,64
1767212881,99,63
1767212882,99,59
1767212883,99,59
1767212884,99,62
1767212885,98,64
1767212886,99,63
1767212887,99,59
1767212888,99,60
1767212889,98,64
1767212890,99,65
1767212891,99,63
1767212892,99,58
1767212893,99,60
1767212894,98,64
1767212895,99,65
1767212896,99,59
1767212897,99,59
1767212899,99,59
1767212900,98,64
1767212901,99,65
1767212902,99,59
1767212903,99,59
1767212904,99,65
1767212905,99,66
1767212906,99,62
1767212907,99,60
1767212908,98,59
1767212909,0,0
1767212910,99,64
1767212911,99,72
1767212912,98,69
1767212913,99,63
1767212914,99,72
1767212915,98,68
1767212916,99,62
1767212917,99,65
1767212918,99,71
1767212919,98,69
1767212920,99,66
1767212921,99,62
1767212922,99,70
1767212923,98,70
1767212924,98,68
1767212925,99,64
1767212926,99,61
1767212927,99,62
1767212928,99,63
1767212929,99,66
1767212930,98,70
1767212931,98,68
1767212932,99,67
1767212933,99,64
1767212934,99,62
1767212935,99,65
1767212936,98,65
1767212938,98,65
1767212939,99,66
1767212940,99,60
1767212941,99,59
1767212942,99,60
1767212943,98,65
1767212944,99,66
1767212945,99,63
1767212946,99,63
1767212947,99,59
1767212948,99,60
1767212949,99,64
1767212950,98,65
1767212951,99,66
1767212952,99,61
1767212953,99,61
1767212954,99,59
1767212955,99,60
1767212956,99,66
1767212957,98,65
1767212958,99,66
1767212959,99,60
1767212960,99,59
1767212961,99,59
1767212962,99,60
1767212963,99,65
1767212964,98,65
1767212965,99,66
1767212966,99,62
1767212967,99,59
