timestamp,power_draw_w
1767278023,86.21
1767278025,85.54
1767278027,87.50
1767278029,82.68
1767278031,81.99
1767278033,81.71
1767278034,90.07
1767278035,89.72
1767278036,88.74
1767278037,88.18
1767278038,87.73
1767278039,87.43
1767278040,87.36
1767278041,87.25
1767278042,87.34
1767278043,87.26
1767278044,87.24
1767278045,18.89
1767278046,6.37
1767278047,6.13
1767278048,5.78
1767278049,5.59
1767278050,5.74
1767278051,5.74
1767278052,5.56
1767278053,5.55
1767278054,5.69
1767278055,5.71
1767278056,5.56
1767278057,5.38
1767278058,5.37
1767278059,5.54
1767278060,5.35
1767278061,5.46
1767278062,5.26
1767278063,5.25
1767278065,5.68
1767278066,5.77
1767278067,5.55
1767278068,5.41
1767278069,5.15
1767278070,5.14
1767278071,5.31
1767278072,31.49
1767278073,85.21
1767278074,85.24
1767278075,85.19
1767278076,140.27
1767278077,270.59
1767278078,269.30
1767278079,273.46
1767278080,270.70
1767278081,270.42
1767278082,271.95
1767278083,269.93
1767278084,272.95
1767278085,273.45
1767278086,270.42
1767278087,272.07
1767278088,270.10
1767278089,274.30
1767278090,272.41
1767278091,274.98
1767278092,276.64
1767278093,273.56
1767278094,272.84
1767278095,276.11
1767278096,275.83
1767278097,274.30
1767278098,275.56
1767278099,278.04
1767278100,274.88
1767278101,277.40
1767278102,279.77
1767278103,280.99
1767278105,279.03
1767278106,277.41
1767278107,283.46
1767278108,279.61
1767278109,282.25
1767278110,280.03
1767278111,278.96
1767278112,281.79
1767278113,280.72
1767278114,280.77
1767278115,281.79
1767278116,282.67
1767278117,283.25
1767278118,282.08
1767278119,281.53
1767278120,283.14
1767278121,285.43
1767278122,282.76
1767278123,282.54
1767278124,282.65
1767278125,284.02
1767278126,280.96
1767278127,280.83
1767278128,284.43
1767278129,286.11
1767278130,280.72
1767278131,284.23
1767278132,284.43
1767278133,283.15
1767278134,281.96
1767278135,282.72
1767278136,280.92
1767278137,282.67
1767278138,282.46
1767278139,285.20
1767278140,282.81
1767278141,286.56
1767278142,283.63
1767278144,280.53
1767278145,283.04
1767278146,282.15
1767278147,280.86
1767278148,282.54
1767278149,283.11
1767278150,280.49
1767278151,282.07
1767278152,282.89
1767278153,281.78
1767278154,281.31
1767278155,280.60
1767278156,283.32
1767278157,280.87
1767278158,281.25
1767278159,280.81
1767278160,281.83
1767278161,280.72
1767278162,282.54
1767278163,285.17
1767278164,281.60
1767278165,282.98
1767278166,283.73
1767278167,278.73
1767278168,280.72
1767278169,278.75
1767278170,280.26
1767278171,278.90
1767278172,277.43
1767278173,276.71
1767278174,277.41
1767278175,276.80
1767278176,275.92
1767278177,274.75
1767278178,274.22
1767278179,275.30
1767278180,280.31
1767278181,277.25
1767278183,272.72
1767278184,278.51
1767278185,272.02
1767278186,280.74
1767278187,273.68
1767278188,280.88
1767278189,275.56
1767278190,271.79
1767278191,277.09
1767278192,272.92
1767278193,279.23
1767278194,275.32
1767278195,276.26
1767278196,278.53
1767278197,272.08
1767278198,276.78
1767278199,274.97
1767278200,277.52
1767278201,272.51
1767278202,272.98
1767278203,272.30
1767278204,279.72
1767278205,252.99
1767278206,249.57
1767278207,248.35
1767278208,248.90
1767278209,247.77
1767278210,230.34
1767278211,200.84
1767278212,200.68
1767278213,200.86
1767278214,200.93
1767278215,200.26
1767278216,201.60
1767278217,200.24
1767278218,201.40
1767278219,201.07
1767278220,201.82
1767278221,200.57
1767278223,199.94
1767278224,202.11
1767278225,200.55
1767278226,200.78
1767278227,200.95
1767278228,200.10
1767278229,202.37
1767278230,198.69
1767278231,199.84
1767278232,200.97
1767278233,200.42
1767278234,201.19
1767278235,198.76
1767278236,200.53
1767278237,200.07
1767278238,200.46
1767278239,202.47
1767278240,199.80
1767278241,201.57
1767278242,199.31
1767278243,200.15
1767278244,201.27
1767278245,199.57
1767278246,200.43
1767278247,201.00
1767278248,200.16
1767278249,202.05
1767278250,199.37
1767278251,200.05
1767278252,199.21
1767278253,199.84
1767278254,200.72
1767278255,199.51
1767278256,200.54
1767278257,200.62
1767278258,199.34
1767278259,200.85
1767278260,199.67
1767278262,199.29
1767278263,201.55
1767278264,199.53
1767278265,201.00
1767278266,200.42
1767278267,199.55
1767278268,200.69
1767278269,199.79
1767278270,201.05
1767278271,201.95
1767278272,200.22
1767278273,201.51
1767278274,199.47
1767278275,199.72
1767278276,203.90
1767278277,203.81
1767278278,206.02
1767278279,211.71
1767278280,213.70
1767278281,214.81
1767278282,216.38
1767278283,215.21
1767278284,213.50
1767278285,214.61
1767278286,216.23
1767278287,215.45
1767278288,218.22
1767278289,218.72
1767278290,220.43
1767278291,219.75
1767278292,217.80
1767278293,222.12
1767278294,225.55
1767278295,224.69
1767278296,223.57
1767278297,222.96
1767278298,225.16
1767278299,229.29
1767278301,228.96
1767278302,227.75
1767278303,227.30
1767278304,229.41
1767278305,229.62
1767278306,229.90
1767278307,227.65
1767278308,226.59
1767278309,227.10
1767278310,229.38
1767278311,228.69
1767278312,228.16
