timestamp,power_draw_w
1767316580,71.63
1767316582,71.49
1767316584,71.48
1767316586,74.05
1767316588,71.34
1767316589,71.64
1767316591,71.51
1767316593,71.26
1767316595,71.66
1767316597,71.44
1767316599,71.65
1767316601,73.70
1767316603,71.51
1767316605,74.01
1767316606,71.43
1767316609,73.95
1767316611,71.24
1767316613,71.32
1767316615,73.62
1767316617,73.68
1767316619,73.75
1767316621,73.82
1767316623,73.56
1767316625,71.29
1767316627,73.61
1767316629,73.53
1767316631,73.46
1767316634,70.86
1767316636,73.35
1767316638,73.27
1767316640,73.64
1767316642,71.08
1767316644,71.14
1767316646,70.96
1767316648,73.56
1767316651,71.00
1767316653,70.78
1767316655,71.11
1767316658,73.49
1767316660,71.04
1767316662,80.45
1767316664,71.14
1767316666,80.20
1767316669,71.00
1767316671,73.50
1767316673,71.18
1767316676,69.17
1767316678,71.04
1767316680,73.39
1767316683,73.71
1767316685,73.46
1767316687,71.15
1767316689,71.10
1767316691,71.04
1767316694,73.48
1767316696,71.08
1767316698,71.31
1767316700,73.63
1767316703,73.62
1767316705,71.10
1767316707,79.98
1767316710,71.13
1767316712,70.06
1767316714,70.90
1767316716,73.54
1767316719,71.05
1767316721,71.25
1767316723,71.04
1767316726,70.29
1767316728,71.08
1767316730,66.44
1767316733,70.95
1767316735,70.67
1767316737,70.64
1767316739,80.08
1767316742,70.29
1767316744,80.20
1767316746,71.09
1767316749,70.13
1767316751,70.89
1767316753,71.18
1767316756,79.96
1767316759,64.01
1767316762,73.41
1767316764,80.20
1767316767,73.54
1767316769,71.06
1767316771,79.67
1767316774,73.54
1767316777,79.91
1767316779,63.40
1767316782,70.88
1767316784,64.12
1767316787,70.15
1767316789,73.34
1767316792,70.95
1767316794,70.76
1767316796,70.79
1767316798,73.33
1767316800,73.35
1767316802,70.79
1767316805,70.85
1767316807,79.95
1767316810,79.86
1767316812,63.47
1767316814,73.15
1767316817,71.06
1767316819,79.54
1767316822,79.63
1767316824,70.55
1767316827,73.19
1767316829,73.33
1767316832,79.46
1767316834,70.34
1767316837,70.79
1767316839,79.80
1767316841,72.94
1767316844,69.41
1767316846,73.39
1767316849,72.82
1767316852,70.65
1767316855,70.89
1767316857,73.22
1767316859,62.76
1767316861,70.53
1767316864,53.12
1767316866,79.49
1767316869,70.53
1767316871,79.03
1767316874,70.39
1767316876,72.87
1767316879,70.58
1767316881,70.24
1767316883,70.50
1767316885,69.38
1767316887,52.08
1767316890,70.88
1767316892,69.90
1767316895,79.73
1767316897,69.85
1767316900,70.74
1767316903,70.10
1767316905,69.77
1767316908,70.09
1767316910,70.95
1767316912,69.85
1767316915,70.86
1767316917,67.14
1767316921,66.71
1767316923,70.19
1767316926,71.52
1767316928,73.90
1767316930,52.00
1767316932,73.06
1767316934,71.21
1767316937,71.46
1767316939,73.88
1767316942,71.18
1767316944,73.57
1767316946,71.36
1767316948,71.48
1767316951,73.72
1767316953,70.47
1767316955,71.21
1767316957,71.11
1767316959,70.70
1767316962,66.38
1767316964,73.55
1767316967,64.04
1767316969,80.19
1767316971,71.40
1767316974,71.29
1767316976,80.77
1767316978,67.73
1767316980,80.21
1767316983,70.43
1767316985,71.43
1767316988,70.10
1767316990,71.18
1767316992,71.00
1767316995,73.64
1767316997,71.54
1767316999,71.11
1767317001,80.07
1767317004,71.16
1767317007,80.06
1767317009,70.88
1767317012,70.83
1767317014,71.35
1767317016,73.69
1767317018,71.31
1767317021,71.06
1767317023,71.00
1767317025,66.73
1767317027,39.03
1767317030,71.03
1767317032,73.49
1767317035,71.21
1767317038,69.83
1767317040,73.41
1767317043,73.47
1767317045,71.25
1767317047,73.63
1767317049,80.23
1767317052,69.96
1767317054,73.61
1767317056,73.50
1767317059,73.54
1767317061,71.02
1767317063,70.86
1767317066,71.12
1767317068,70.73
1767317070,80.13
1767317074,67.45
1767317077,70.93
1767317080,70.57
1767317082,73.20
1767317085,73.11
1767317087,62.26
1767317089,80.08
1767317092,80.10
1767317094,70.71
1767317097,79.77
1767317099,70.95
1767317101,73.50
1767317104,70.45
1767317106,72.67
1767317108,70.76
1767317110,70.52
1767317113,79.68
1767317115,73.07
1767317117,58.61
1767317119,70.02
1767317122,70.76
1767317124,62.94
1767317127,70.77
1767317129,79.67
1767317131,66.48
1767317133,69.32
1767317136,79.44
1767317138,69.54
1767317141,70.69
1767317144,73.43
1767317146,79.60
1767317148,79.31
1767317152,70.57
1767317154,73.02
1767317157,72.89
1767317159,70.44
1767317161,72.72
1767317163,72.76
1767317166,72.83
1767317168,70.36
