timestamp,power_draw_w
1767101267,70.74
1767101269,68.41
1767101271,70.82
1767101272,77.20
1767101273,77.77
1767101274,77.98
1767101275,78.06
1767101276,78.05
1767101277,78.12
1767101278,78.10
1767101279,78.29
1767101280,78.29
1767101281,78.50
1767101283,78.36
1767101284,16.27
1767101285,4.73
1767101286,4.45
1767101287,3.91
1767101288,4.04
1767101289,4.12
1767101290,3.96
1767101291,3.98
1767101292,4.11
1767101293,4.01
1767101294,4.13
1767101295,4.13
1767101296,3.98
1767101297,4.12
1767101298,3.97
1767101299,3.98
1767101300,4.25
1767101301,4.17
1767101302,4.08
1767101303,4.12
1767101304,4.11
1767101305,3.97
1767101306,4.00
1767101307,4.12
1767101308,3.93
1767101309,4.11
1767101310,4.08
1767101311,3.91
1767101312,3.91
1767101313,4.07
1767101314,3.79
1767101315,3.93
1767101316,4.06
1767101318,3.93
1767101319,4.00
1767101320,4.01
1767101321,3.90
1767101322,3.92
1767101323,4.05
1767101324,3.91
1767101325,3.96
1767101326,4.10
1767101327,3.94
1767101328,3.94
1767101329,4.09
1767101330,3.99
1767101331,3.99
1767101332,4.10
1767101333,3.93
1767101334,4.06
1767101335,3.98
1767101336,4.04
1767101337,4.03
1767101338,4.00
1767101339,4.11
1767101340,3.96
1767101341,3.94
1767101342,4.12
1767101343,3.85
1767101344,3.96
1767101345,4.05
1767101346,3.91
1767101347,3.93
1767101348,4.09
1767101349,3.95
1767101350,3.92
1767101351,4.06
1767101352,3.96
1767101354,3.99
1767101355,4.05
1767101356,3.94
1767101357,3.91
1767101358,4.03
1767101359,3.91
1767101360,3.93
1767101361,4.04
1767101362,3.94
1767101363,3.93
1767101364,4.02
1767101365,3.88
1767101366,3.88
1767101367,4.04
1767101368,3.92
1767101369,4.03
1767101370,4.10
1767101371,4.11
1767101372,3.80
1767101373,3.89
1767101374,4.01
1767101375,3.90
1767101376,3.87
1767101377,4.01
1767101378,3.95
1767101379,4.06
1767101380,4.07
1767101381,3.96
1767101382,3.97
1767101383,4.11
1767101384,3.97
1767101385,3.96
1767101386,4.07
1767101387,3.91
1767101388,3.88
1767101390,4.03
1767101391,3.95
1767101392,3.97
1767101393,4.07
1767101394,3.93
1767101395,4.04
1767101396,4.07
1767101397,3.96
1767101398,3.95
1767101399,4.08
1767101400,3.99
1767101401,4.02
1767101402,4.15
1767101403,4.02
1767101404,4.18
1767101405,4.05
1767101406,4.03
1767101407,4.03
1767101408,3.97
1767101409,4.07
