timestamp,gpu_util_percent,memory_util_percent
1767103140,45,21
1767103141,33,16
1767103142,39,19
1767103143,43,21
1767103144,37,17
1767103145,35,16
1767103146,39,17
1767103147,39,18
1767103148,37,18
1767103149,40,19
1767103150,29,12
1767103151,36,16
1767103152,41,19
1767103153,37,17
1767103154,41,19
1767103155,39,18
1767103156,39,19
1767103157,35,16
1767103158,40,19
1767103159,38,18
1767103160,39,19
1767103161,41,19
1767103162,37,18
1767103163,40,18
1767103165,37,17
1767103166,39,19
1767103167,36,17
1767103168,35,16
1767103169,42,20
1767103170,38,18
1767103171,37,18
1767103172,39,19
1767103173,37,17
1767103174,38,17
1767103175,40,17
1767103176,39,18
1767103177,34,16
1767103178,37,17
1767103179,41,19
1767103180,38,18
1767103181,37,18
1767103182,37,17
1767103183,35,16
1767103184,39,17
1767103185,36,16
1767103186,35,16
1767103187,38,17
1767103188,40,17
1767103189,42,19
1767103190,38,18
1767103191,42,18
1767103192,39,19
1767103193,43,20
1767103194,44,21
1767103195,37,18
1767103196,40,19
1767103197,36,17
1767103199,37,17
1767103200,39,17
1767103201,35,16
1767103202,37,17
1767103203,36,17
1767103204,38,18
1767103205,35,17
1767103206,32,15
1767103207,39,18
1767103208,38,17
1767103209,40,18
1767103210,39,18
1767103211,41,18
1767103212,39,17
1767103213,34,16
1767103214,41,19
1767103215,36,17
1767103216,38,17
1767103217,43,20
1767103218,33,15
1767103219,44,21
1767103220,42,19
1767103221,39,19
1767103222,37,17
1767103223,38,17
1767103224,39,18
1767103225,39,17
1767103226,38,17
1767103227,33,15
1767103228,38,17
1767103229,36,16
1767103230,40,18
1767103231,21,10
1767103233,36,16
1767103234,38,18
1767103235,40,18
1767103236,30,14
1767103237,34,15
1767103238,40,18
1767103239,36,16
1767103240,39,17
1767103241,39,18
1767103242,39,19
1767103243,35,17
1767103244,36,17
1767103245,42,20
1767103246,39,19
1767103247,37,17
1767103248,38,18
1767103249,39,18
1767103250,33,15
1767103251,38,17
1767103252,34,15
1767103253,37,17
1767103254,39,17
1767103255,39,18
1767103256,41,19
1767103257,36,17
1767103258,39,18
1767103259,41,19
1767103260,37,17
1767103261,38,18
1767103262,38,18
1767103263,40,19
1767103264,38,18
1767103265,39,18
1767103267,37,17
1767103268,38,18
1767103269,37,17
1767103270,38,17
1767103271,42,20
1767103272,44,21
1767103273,17,6
1767103274,38,18
1767103275,38,18
1767103276,39,18
1767103277,37,17
1767103278,35,16
1767103279,38,17
1767103280,40,18
1767103281,37,17
1767103282,36,17
1767103283,37,17
1767103284,40,18
1767103285,37,18
1767103286,30,14
1767103287,38,17
1767103288,34,15
1767103289,37,17
1767103290,42,19
1767103291,37,17
1767103292,39,18
1767103293,36,16
1767103294,35,16
1767103295,36,16
1767103296,41,20
1767103297,44,21
1767103299,40,19
1767103300,37,17
1767103301,40,19
1767103302,37,17
1767103303,36,17
1767103304,40,19
1767103305,37,17
1767103306,34,17
1767103307,30,13
1767103308,36,17
1767103309,36,17
1767103310,40,18
1767103311,40,19
1767103312,40,19
1767103313,29,14
1767103314,34,16
1767103315,35,11
1767103316,35,15
1767103317,38,18
1767103318,36,17
1767103319,40,18
1767103320,39,17
1767103321,38,17
1767103322,30,15
1767103323,41,20
1767103324,43,20
1767103325,38,18
1767103326,37,17
1767103327,36,17
1767103328,39,18
1767103329,39,19
1767103330,37,17
1767103331,36,17
1767103333,41,19
1767103334,37,17
1767103335,38,18
1767103336,38,18
1767103337,39,18
1767103338,36,17
1767103339,34,16
1767103340,36,17
1767103341,37,17
1767103342,40,19
1767103343,38,17
1767103344,40,18
1767103345,40,18
1767103346,34,15
1767103347,37,17
1767103348,40,19
1767103349,44,21
1767103350,43,21
