timestamp,power_draw_w
1767106428,96.28
1767106429,94.96
1767106430,93.20
1767106431,88.87
1767106432,105.38
1767106433,200.42
1767106434,205.00
1767106435,205.43
1767106436,197.14
1767106437,203.16
1767106438,207.79
1767106439,211.70
1767106440,213.60
1767106441,209.68
1767106442,197.24
1767106443,209.42
1767106444,206.20
1767106445,210.43
1767106446,196.32
1767106447,201.70
1767106448,210.10
1767106449,213.81
1767106450,212.64
1767106451,194.15
1767106452,211.66
1767106453,211.73
1767106454,212.12
1767106455,212.00
1767106457,214.09
1767106458,217.53
1767106459,217.38
1767106460,213.73
1767106461,203.50
1767106462,199.43
1767106463,204.61
1767106464,215.62
1767106465,215.77
1767106466,214.00
1767106467,216.17
1767106468,216.33
1767106469,212.09
1767106470,206.80
1767106471,203.87
1767106472,209.99
1767106473,216.23
1767106474,218.88
1767106475,214.56
1767106476,214.21
1767106477,212.20
1767106478,208.14
1767106479,211.17
1767106480,190.20
1767106481,210.84
1767106482,214.70
1767106483,216.01
1767106484,214.15
1767106485,214.82
1767106486,211.04
1767106487,218.55
1767106488,217.43
1767106489,203.65
1767106490,210.28
1767106491,217.39
1767106493,203.94
1767106494,202.34
1767106495,209.46
1767106496,218.68
1767106497,217.39
1767106498,213.16
1767106499,216.81
1767106500,195.48
1767106501,219.16
1767106502,216.41
1767106503,218.15
1767106504,215.90
1767106505,219.58
1767106506,223.00
1767106507,223.75
1767106508,220.67
1767106509,193.37
1767106510,208.29
1767106511,220.12
1767106512,224.98
1767106513,223.39
1767106514,223.51
1767106515,223.65
1767106516,222.65
1767106517,223.40
1767106518,214.20
1767106519,211.84
1767106520,224.38
1767106521,225.09
1767106522,223.55
1767106523,221.37
1767106524,209.57
1767106525,211.86
1767106526,225.22
1767106527,222.52
1767106528,205.32
1767106529,222.73
1767106530,218.01
1767106532,221.80
1767106533,219.91
1767106534,222.52
1767106535,224.28
1767106536,225.74
1767106537,223.74
1767106538,210.24
1767106539,217.49
1767106540,216.55
1767106541,208.48
1767106542,220.50
1767106543,221.66
1767106544,225.06
1767106545,220.29
1767106546,224.07
1767106547,222.49
1767106548,207.16
1767106549,224.31
1767106550,223.50
1767106551,226.90
1767106552,225.07
1767106553,226.42
1767106554,216.03
1767106555,218.23
1767106556,215.71
1767106557,198.15
1767106558,224.55
1767106559,222.14
1767106560,223.20
1767106561,223.74
1767106562,221.65
1767106563,224.13
1767106564,223.76
1767106565,223.73
1767106567,212.23
1767106568,210.48
1767106569,219.54
1767106570,221.29
1767106571,218.79
1767106572,213.16
1767106573,220.00
1767106574,222.50
1767106575,221.12
1767106576,227.24
1767106577,186.20
