timestamp,gpu_util_percent,memory_util_percent
1763471686,0,0
1763471687,0,0
1763471689,0,0
1763471690,0,0
1763471691,0,0
1763471692,0,0
1763471693,0,0
1763471694,0,0
1763471695,0,0
1763471696,0,0
1763471697,0,0
1763471698,0,0
1763471700,0,0
1763471701,0,0
1763471702,0,0
1763471703,0,0
1763471704,0,0
1763471705,0,0
1763471706,0,0
1763471707,0,0
1763471708,0,0
1763471709,0,0
1763471710,0,0
1763471711,0,0
1763471712,0,0
1763471713,0,0
1763471714,0,0
1763471715,0,0
1763471716,0,0
1763471717,0,0
1763471718,0,0
1763471719,0,0
1763471720,0,0
1763471721,0,0
1763471722,0,0
1763471723,0,0
1763471724,0,0
1763471725,0,0
1763471726,4,0
1763471727,7,0
1763471728,8,0
1763471729,8,0
1763471730,87,67
1763471731,94,77
1763471732,92,76
1763471733,90,76
1763471734,90,76
1763471735,91,76
1763471736,94,77
1763471737,92,77
1763471739,95,78
1763471740,92,75
1763471741,90,76
1763471742,91,76
1763471743,90,75
1763471744,94,77
1763471745,95,78
1763471746,94,77
1763471747,95,78
1763471748,92,77
1763471749,91,76
1763471750,90,76
1763471751,93,77
1763471752,95,77
1763471753,93,77
1763471754,94,77
1763471755,94,77
1763471756,92,77
1763471757,90,75
1763471758,90,75
1763471759,94,78
1763471760,95,77
1763471761,93,77
1763471762,94,77
1763471763,94,77
1763471764,92,76
1763471765,90,75
1763471766,90,75
1763471767,90,75
1763471768,94,78
1763471769,90,75
1763471770,93,77
1763471771,94,76
1763471772,95,78
1763471773,92,76
1763471774,91,75
1763471775,90,75
1763471776,91,75
1763471777,90,75
1763471779,90,75
1763471780,91,75
1763471781,94,77
1763471782,95,77
1763471783,92,75
1763471784,91,76
1763471785,95,78
1763471786,92,75
1763471787,92,76
1763471788,91,76
1763471789,91,76
1763471790,92,76
1763471791,94,76
1763471792,95,77
1763471793,94,77
1763471794,95,78
1763471795,94,77
1763471796,92,77
1763471797,91,75
1763471798,90,75
1763471799,90,75
1763471800,94,77
1763471801,90,75
1763471802,91,76
1763471803,94,77
1763471804,95,77
1763471805,92,75
1763471806,91,76
1763471807,90,75
1763471808,90,75
1763471809,90,75
1763471810,90,75
1763471811,90,75
1763471812,92,76
1763471813,94,76
1763471814,95,77
1763471815,92,75
1763471816,95,77
1763471817,94,77
1763471819,92,76
1763471820,90,75
1763471821,90,75
1763471822,92,76
1763471823,94,76
1763471824,95,78
1763471825,94,78
1763471826,95,77
1763471827,94,77
1763471828,92,76
1763471829,91,75
1763471830,90,75
1763471831,90,75
1763471832,94,78
1763471833,90,75
1763471834,92,76
1763471835,94,77
1763471836,95,77
1763471837,92,75
1763471838,92,76
1763471839,91,76
1763471840,91,75
1763471841,90,75
1763471842,90,75
1763471843,90,75
1763471844,93,77
1763471845,94,76
1763471846,95,77
1763471847,91,75
1763471848,95,77
1763471849,94,76
1763471850,92,75
1763471851,91,76
1763471852,90,75
1763471853,91,75
1763471854,91,76
1763471855,94,77
1763471856,91,76
1763471857,93,78
1763471859,94,76
1763471860,95,78
1763471861,92,76
1763471862,90,75
1763471863,90,75
1763471864,91,75
1763471865,90,75
1763471866,90,75
1763471867,90,75
1763471868,94,77
1763471869,95,78
1763471870,94,77
1763471871,92,76
1763471872,95,77
1763471873,94,77
1763471874,92,77
1763471875,90,75
1763471876,90,75
1763471877,90,75
1763471878,93,77
1763471879,94,76
1763471880,90,75
1763471881,93,77
1763471882,94,76
1763471883,95,77
1763471884,92,75
1763471885,92,76
1763471886,90,75
1763471887,90,75
1763471888,90,75
1763471889,90,75
1763471890,90,75
1763471891,92,76
1763471892,94,76
1763471893,95,77
1763471894,92,76
1763471895,95,77
1763471896,93,75
1763471897,92,77
1763471899,90,75
1763471900,90,75
1763471901,90,75
1763471902,94,78
1763471903,94,76
1763471904,90,75
1763471905,94,77
1763471906,95,77
1763471907,94,77
1763471908,92,76
1763471909,90,75
1763471910,90,75
1763471911,90,75
1763471912,90,75
1763471913,90,75
1763471914,90,75
1763471915,94,77
1763471916,95,77
1763471917,94,77
1763471918,92,76
1763471919,95,77
1763471920,93,76
1763471921,92,77
1763471922,90,75
1763471923,90,75
1763471924,90,75
1763471925,94,78
1763471926,94,76
1763471927,90,75
1763471928,94,78
1763471929,94,77
1763471930,94,77
1763471931,92,76
1763471932,90,75
1763471933,90,75
1763471934,90,75
1763471935,90,75
1763471936,90,75
1763471937,90,75
1763471939,92,76
1763471940,94,76
1763471941,95,77
1763471942,93,75
1763471943,91,76
1763471944,95,77
1763471945,92,74
1763471946,92,76
1763471947,96,73
1763471948,94,72
1763471949,90,72
1763471950,91,72
1763471951,91,72
1763471952,91,72
1763471953,92,71
1763471954,95,73
1763471955,94,74
1763471956,91,72
1763471957,91,72
1763471958,95,73
1763471959,91,72
1763471960,92,71
1763471961,95,73
1763471962,94,74
1763471963,91,72
1763471964,91,72
1763471965,94,72
1763471966,95,73
