timestamp,gpu_util_percent,memory_util_percent
1763504952,99,68
1763504953,99,62
1763504954,99,69
1763504955,98,72
1763504956,99,63
1763504957,88,61
1763504958,99,62
1763504959,99,69
1763504960,98,70
1763504961,99,68
1763504962,99,62
1763504963,99,63
1763504964,99,69
1763504965,99,67
1763504966,99,62
1763504967,99,65
1763504968,99,65
1763504969,99,72
1763504970,98,70
1763504971,99,65
1763504972,99,65
1763504973,99,71
1763504974,98,70
1763504976,99,65
1763504977,99,62
1763504978,99,64
1763504979,99,68
1763504980,94,66
1763504981,97,68
1763504982,93,59
1763504983,99,65
1763504984,99,63
1763504985,98,69
1763504986,97,69
1763504987,98,70
1763504989,91,63
1763504990,99,63
1763504991,99,62
1763504992,96,66
1763504993,80,54
1763504994,99,72
1763504995,50,34
1763504996,74,49
1763504997,99,62
1763504999,98,68
1763505000,97,61
1763505001,99,63
1763505002,98,70
1763505003,99,68
1763505004,99,62
1763505005,99,69
1763505006,98,69
1763505007,95,67
1763505009,98,68
1763505010,99,61
1763505011,95,60
1763505012,99,70
1763505013,98,69
1763505014,96,69
1763505015,93,65
1763505017,99,62
1763505018,89,63
1763505019,44,25
1763505020,91,64
1763505021,95,60
1763505022,82,55
1763505024,83,57
1763505025,81,55
1763505026,95,59
1763505027,95,60
1763505028,95,60
1763505029,91,64
1763505030,78,54
1763505032,98,70
1763505033,95,60
1763505034,96,60
1763505035,92,64
1763505036,82,55
1763505038,97,62
1763505039,88,57
1763505040,92,61
1763505041,94,66
1763505042,91,64
1763505043,95,68
1763505045,94,66
1763505046,94,62
1763505047,84,56
1763505048,97,65
1763505049,91,60
1763505050,83,57
1763505052,95,68
1763505053,91,58
1763505054,88,57
1763505055,86,58
1763505056,93,66
1763505057,94,66
1763505059,96,68
1763505060,95,67
1763505061,92,59
1763505062,95,62
1763505063,97,61
1763505065,80,54
1763505066,50,37
1763505067,80,54
1763505068,48,32
1763505069,38,23
1763505070,4,2
1763505072,30,21
1763505073,25,17
1763505074,62,42
1763505075,86,59
1763505076,76,51
1763505077,99,66
1763505079,82,54
1763505080,99,63
1763505081,92,64
1763505082,96,67
1763505083,88,62
1763505085,64,38
1763505086,83,56
1763505087,79,54
1763505088,62,40
1763505090,92,60
1763505091,80,54
1763505092,34,28
1763505094,41,30
1763505095,13,13
1763505096,64,41
1763505097,71,46
1763505099,60,39
1763505100,47,27
1763505101,39,30
1763505102,79,54
1763505104,87,62
1763505105,77,52
1763505106,79,54
1763505108,90,59
1763505109,65,42
1763505110,14,13
1763505111,86,60
1763505113,47,27
1763505114,86,60
1763505115,40,34
1763505116,43,25
1763505118,86,61
1763505119,12,11
1763505120,74,50
1763505122,5,4
1763505123,46,27
1763505124,75,51
1763505125,69,45
1763505127,74,49
1763505128,85,60
1763505129,65,47
1763505130,36,22
1763505132,82,56
1763505133,90,58
1763505134,94,60
1763505135,67,43
1763505136,79,54
1763505138,82,55
1763505139,90,64
1763505140,85,59
1763505142,73,49
1763505143,81,55
1763505144,20,19
1763505145,56,37
1763505147,79,54
1763505148,39,33
1763505149,84,58
1763505150,84,58
1763505152,92,59
1763505153,69,44
1763505154,43,31
1763505155,55,41
1763505157,65,41
1763505158,35,22
1763505159,90,58
1763505160,45,38
1763505162,39,30
