timestamp,gpu_util_percent,memory_util_percent
1763487757,0,0
1763487758,0,0
1763487760,0,0
1763487762,0,0
1763487763,2,1
1763487764,73,41
1763487765,69,39
1763487766,56,32
1763487767,71,40
1763487768,22,12
1763487769,65,37
1763487770,69,39
1763487771,66,37
1763487772,69,39
1763487773,69,39
1763487774,6,3
1763487775,69,39
1763487776,69,39
1763487777,65,37
1763487778,69,39
1763487779,29,16
1763487780,67,37
1763487782,69,39
1763487783,70,39
1763487784,69,39
1763487785,26,14
1763487786,62,35
1763487787,71,40
1763487788,69,39
1763487789,69,39
1763487790,69,39
1763487791,29,16
1763487792,69,39
1763487793,70,39
1763487794,62,35
1763487795,68,38
1763487796,22,12
1763487797,68,38
1763487798,56,31
1763487799,70,39
1763487800,70,39
1763487801,67,38
1763487802,29,16
1763487803,70,40
1763487804,65,34
1763487805,69,39
1763487806,69,39
1763487807,69,38
1763487808,53,29
1763487809,69,39
1763487810,64,36
1763487811,65,36
1763487812,70,36
1763487813,31,17
1763487814,70,39
1763487815,75,40
1763487816,70,39
1763487817,69,39
1763487818,21,12
1763487819,66,37
1763487820,74,39
1763487822,69,39
1763487823,68,38
1763487824,72,39
1763487825,23,13
1763487826,70,39
1763487827,68,38
1763487828,69,39
1763487829,73,37
1763487830,28,16
1763487831,67,38
1763487832,75,40
1763487833,69,39
1763487834,68,38
1763487835,69,39
1763487836,10,5
1763487837,79,39
1763487838,69,39
1763487839,69,38
1763487840,74,41
1763487841,31,17
1763487842,70,39
1763487843,66,37
1763487844,69,39
1763487845,75,39
1763487846,69,39
1763487847,20,11
1763487848,69,39
1763487849,70,39
1763487850,69,39
1763487851,70,39
1763487852,31,17
1763487853,75,37
1763487854,70,39
1763487855,70,39
1763487856,70,39
1763487857,16,9
1763487858,68,38
1763487859,68,38
1763487860,69,38
1763487862,78,39
1763487863,70,39
1763487864,28,15
1763487865,71,39
1763487866,69,39
1763487867,69,39
1763487868,69,38
1763487869,26,14
1763487870,77,38
1763487871,69,39
1763487872,75,43
1763487873,70,39
1763487874,70,39
1763487875,34,19
1763487876,69,38
1763487877,70,39
1763487878,81,40
1763487879,69,39
1763487880,40,22
1763487881,70,39
1763487882,70,39
1763487883,69,38
1763487884,70,39
1763487885,69,39
1763487886,45,21
1763487887,68,38
1763487888,74,42
1763487889,70,40
1763487890,72,40
1763487891,31,17
1763487892,68,38
1763487893,70,39
1763487894,71,35
1763487895,68,38
1763487896,17,9
1763487897,65,33
1763487898,69,39
1763487899,68,38
1763487900,73,41
1763487902,70,39
1763487903,30,15
1763487904,70,39
1763487905,74,42
1763487906,72,40
1763487907,70,39
1763487908,20,11
1763487909,62,35
1763487910,70,39
1763487911,74,38
1763487912,69,38
1763487913,75,43
1763487914,11,6
1763487915,70,39
1763487916,70,39
1763487917,69,39
1763487918,70,39
1763487919,35,17
1763487920,70,39
1763487921,74,42
1763487922,70,39
1763487923,71,39
1763487924,68,38
1763487925,14,8
1763487926,70,39
1763487927,78,40
1763487928,66,37
1763487929,72,41
1763487930,31,17
1763487931,69,39
1763487932,69,39
1763487933,69,39
1763487934,70,39
1763487935,30,13
1763487936,67,38
1763487937,75,42
1763487938,73,41
1763487939,69,39
1763487941,64,36
1763487942,30,16
1763487943,68,38
1763487944,78,40
1763487945,69,39
1763487946,74,42
1763487947,18,10
1763487948,69,39
1763487949,70,39
1763487950,67,38
1763487951,65,36
1763487952,72,41
1763487953,10,5
1763487954,71,40
1763487955,70,39
1763487956,69,39
1763487957,69,39
1763487958,29,16
1763487959,70,39
1763487960,69,39
1763487961,69,39
1763487962,69,39
1763487963,69,39
1763487964,29,16
1763487965,69,39
1763487966,70,39
1763487967,69,39
1763487968,70,39
1763487969,30,17
1763487970,69,39
1763487971,70,39
1763487972,70,39
1763487973,61,34
1763487974,69,38
1763487976,38,21
1763487977,71,40
1763487978,69,39
1763487979,67,37
1763487980,70,39
1763487981,30,16
1763487982,62,35
1763487983,69,39
1763487984,71,40
1763487985,69,38
1763487986,18,10
1763487987,68,38
1763487988,70,39
1763487989,69,39
1763487990,58,33
1763487991,66,37
1763487992,30,16
1763487993,69,39
1763487994,69,39
1763487995,70,39
1763487996,70,39
1763487997,30,16
1763487998,48,27
1763487999,70,39
1763488000,69,39
1763488001,65,36
1763488002,65,36
1763488003,9,5
1763488004,71,40
1763488005,72,40
1763488006,56,31
1763488007,69,39
1763488008,30,16
1763488009,69,38
1763488010,65,36
1763488011,69,38
1763488012,70,39
1763488013,69,39
1763488014,4,2
1763488016,69,39
1763488017,71,38
1763488018,69,39
1763488019,66,37
1763488020,30,16
1763488021,70,39
1763488022,70,39
1763488023,69,39
1763488024,65,37
1763488025,69,37
1763488026,22,12
1763488027,69,39
1763488028,70,39
1763488029,70,39
1763488030,69,39
1763488031,29,16
1763488032,66,37
1763488033,69,38
1763488034,70,39
1763488035,70,39
1763488036,45,25
1763488037,48,27
1763488038,70,39
1763488039,46,26
1763488040,68,38
1763488041,69,38
1763488042,31,17
1763488043,70,39
1763488044,70,39
1763488045,70,39
1763488046,69,39
1763488047,36,20
1763488048,71,40
1763488049,69,38
1763488050,64,36
1763488051,69,39
1763488052,69,39
1763488053,30,16
1763488054,68,38
1763488056,58,32
1763488057,69,39
1763488058,64,35
1763488059,17,9
1763488060,68,38
1763488061,69,39
1763488062,66,37
1763488063,69,39
1763488064,68,38
1763488065,8,4
1763488066,72,39
1763488067,68,38
1763488068,69,39
1763488069,69,39
1763488070,31,17
1763488071,68,38
1763488072,72,40
1763488073,69,39
1763488074,70,39
1763488075,66,37
1763488076,38,21
1763488077,69,39
1763488078,71,40
1763488079,70,39
1763488080,70,39
1763488081,30,17
1763488082,65,35
1763488083,67,37
1763488084,65,37
1763488085,71,40
1763488086,62,34
1763488087,71,40
1763488088,69,38
1763488089,65,36
1763488090,69,37
1763488091,71,40
