timestamp,gpu_temp_c,memory_temp_c
1763726879,63,N/A
1763726881,63,N/A
1763726883,63,N/A
1763726884,64,N/A
1763726885,64,N/A
1763726887,65,N/A
1763726888,68,N/A
1763726889,71,N/A
1763726890,71,N/A
1763726891,72,N/A
1763726892,72,N/A
1763726893,73,N/A
1763726894,73,N/A
1763726895,74,N/A
1763726896,74,N/A
1763726897,75,N/A
1763726898,75,N/A
1763726899,76,N/A
1763726900,75,N/A
1763726901,76,N/A
1763726902,76,N/A
1763726903,77,N/A
1763726904,76,N/A
1763726905,77,N/A
1763726906,77,N/A
1763726907,78,N/A
1763726908,77,N/A
1763726909,78,N/A
1763726910,78,N/A
1763726911,78,N/A
1763726912,78,N/A
1763726913,79,N/A
1763726914,79,N/A
1763726915,78,N/A
1763726916,79,N/A
1763726917,79,N/A
1763726918,79,N/A
1763726919,79,N/A
1763726920,80,N/A
1763726921,79,N/A
1763726922,80,N/A
1763726923,79,N/A
1763726924,81,N/A
1763726926,80,N/A
1763726927,80,N/A
1763726928,80,N/A
1763726929,81,N/A
1763726930,80,N/A
1763726931,81,N/A
1763726932,80,N/A
1763726933,81,N/A
1763726934,81,N/A
1763726935,81,N/A
1763726936,82,N/A
1763726937,81,N/A
1763726938,82,N/A
1763726939,81,N/A
1763726940,82,N/A
1763726941,82,N/A
1763726942,81,N/A
1763726943,82,N/A
1763726944,82,N/A
1763726945,81,N/A
1763726946,82,N/A
1763726947,82,N/A
1763726948,82,N/A
1763726949,82,N/A
1763726950,82,N/A
1763726951,82,N/A
1763726952,82,N/A
1763726953,81,N/A
1763726954,81,N/A
1763726955,82,N/A
1763726956,82,N/A
1763726957,82,N/A
1763726958,82,N/A
1763726959,82,N/A
1763726960,82,N/A
1763726961,82,N/A
1763726962,83,N/A
1763726963,82,N/A
1763726965,82,N/A
1763726966,82,N/A
1763726967,83,N/A
1763726968,82,N/A
1763726969,83,N/A
1763726970,82,N/A
1763726971,82,N/A
1763726972,82,N/A
1763726973,82,N/A
1763726974,82,N/A
1763726975,83,N/A
1763726976,82,N/A
1763726977,82,N/A
1763726978,82,N/A
1763726979,83,N/A
1763726980,82,N/A
1763726981,83,N/A
1763726982,82,N/A
1763726983,83,N/A
1763726984,82,N/A
1763726985,83,N/A
1763726986,81,N/A
1763726987,83,N/A
1763726988,81,N/A
1763726989,83,N/A
1763726990,82,N/A
1763726991,83,N/A
1763726992,81,N/A
1763726993,83,N/A
1763726994,81,N/A
1763726995,83,N/A
1763726996,81,N/A
1763726997,83,N/A
1763726998,82,N/A
1763726999,83,N/A
1763727000,82,N/A
1763727001,83,N/A
1763727002,82,N/A
1763727004,82,N/A
1763727005,82,N/A
1763727006,83,N/A
1763727007,82,N/A
1763727008,82,N/A
1763727009,82,N/A
1763727010,82,N/A
1763727011,82,N/A
1763727012,82,N/A
1763727013,81,N/A
1763727014,82,N/A
1763727015,81,N/A
1763727016,82,N/A
1763727017,81,N/A
1763727018,82,N/A
1763727019,82,N/A
1763727020,81,N/A
1763727021,82,N/A
