timestamp,power_draw_w
1763669764,76.45
1763669766,76.43
1763669768,85.37
1763669769,86.09
1763669770,86.21
1763669771,86.35
1763669772,86.42
1763669773,86.37
1763669774,86.41
1763669775,86.46
1763669776,86.49
1763669777,86.54
1763669778,86.63
1763669779,18.57
1763669780,8.90
1763669781,5.78
1763669782,5.40
1763669783,5.23
1763669784,5.22
1763669785,5.38
1763669786,5.21
1763669787,5.23
1763669788,5.41
1763669789,5.47
1763669790,5.29
1763669791,5.08
1763669792,5.06
1763669793,5.27
1763669794,5.14
1763669795,5.12
1763669796,4.91
1763669797,5.10
1763669799,5.28
1763669800,5.08
1763669801,5.03
1763669802,5.19
1763669803,5.04
1763669804,5.05
1763669805,22.02
1763669806,84.70
1763669807,85.29
1763669808,85.34
1763669809,105.59
1763669810,259.17
1763669811,269.35
1763669812,268.89
1763669813,273.14
1763669814,270.17
1763669815,274.77
1763669816,274.38
1763669817,271.82
1763669818,273.70
1763669819,274.16
1763669820,273.11
1763669821,277.57
1763669822,275.70
1763669823,275.39
1763669824,279.93
1763669825,276.42
1763669826,277.79
1763669827,277.38
1763669828,276.48
1763669829,274.83
1763669830,276.93
1763669831,274.86
1763669832,276.55
1763669833,274.78
1763669834,278.59
1763669835,276.18
1763669836,279.84
1763669837,278.88
1763669839,281.61
1763669840,279.34
1763669841,277.83
1763669842,280.55
1763669843,284.46
1763669844,279.02
1763669845,283.83
1763669846,282.43
1763669847,283.63
1763669848,281.46
1763669849,283.74
1763669850,281.52
1763669851,282.16
1763669852,282.03
1763669853,282.43
1763669854,284.18
1763669855,284.75
1763669856,283.05
1763669857,284.53
1763669858,283.60
1763669859,282.82
1763669860,285.90
1763669861,287.67
1763669862,282.31
1763669863,286.58
1763669864,279.63
1763669865,282.32
1763669866,282.52
1763669867,282.55
1763669868,282.42
1763669869,282.89
1763669870,276.62
1763669871,281.14
1763669872,279.49
1763669873,279.58
1763669874,282.25
1763669875,277.88
1763669876,281.48
1763669877,280.93
1763669879,277.39
1763669880,280.39
1763669881,273.70
1763669882,272.60
1763669883,281.23
1763669884,274.46
1763669885,281.50
1763669886,275.52
1763669887,279.30
1763669888,277.65
1763669889,276.80
1763669890,275.49
1763669891,272.45
1763669892,276.32
1763669893,273.14
1763669894,277.58
1763669895,271.05
1763669896,276.83
1763669897,276.14
1763669898,273.62
1763669899,271.17
1763669900,276.90
1763669901,278.32
1763669902,273.79
1763669903,275.64
1763669904,274.79
1763669905,275.11
1763669906,272.43
1763669907,278.26
1763669908,272.75
1763669909,278.05
1763669910,277.01
1763669911,271.16
1763669912,271.04
1763669913,276.51
1763669914,272.71
1763669915,276.57
1763669916,271.46
1763669917,267.91
1763669919,268.99
1763669920,263.88
1763669921,239.81
1763669922,234.22
1763669923,216.53
1763669924,217.84
1763669925,218.05
1763669926,217.66
1763669927,215.40
1763669928,217.70
1763669929,218.03
1763669930,217.06
1763669931,215.28
1763669932,217.23
1763669933,217.95
1763669934,216.56
1763669935,215.60
1763669936,216.07
1763669937,217.93
1763669938,216.80
1763669939,215.10
1763669940,216.64
1763669941,217.33
1763669942,216.69
1763669943,215.73
1763669944,216.00
1763669945,217.47
1763669946,216.42
1763669947,214.47
1763669948,214.12
1763669949,216.36
1763669950,216.69
1763669951,215.63
