timestamp,power_draw_w
1763640484,72.72
1763640486,72.75
1763640488,80.46
1763640489,89.10
1763640490,91.47
1763640491,91.58
1763640492,91.65
1763640493,91.45
1763640494,91.57
1763640495,91.68
1763640496,91.65
1763640497,91.64
1763640498,91.57
1763640499,91.82
1763640500,89.07
1763640501,84.71
1763640502,88.99
1763640503,91.93
1763640504,91.86
1763640505,91.92
1763640506,92.08
1763640507,92.09
1763640508,92.06
1763640509,92.26
1763640510,92.07
1763640511,92.18
1763640512,92.13
1763640513,90.73
1763640514,84.78
1763640515,88.45
1763640516,92.29
1763640517,92.26
1763640518,92.35
1763640519,92.32
1763640520,92.42
1763640521,92.40
1763640522,92.39
1763640523,92.32
1763640524,92.48
1763640525,92.63
1763640526,91.65
1763640528,85.27
1763640529,89.13
1763640530,92.53
1763640531,92.60
1763640532,92.73
1763640533,92.69
1763640534,92.82
1763640535,92.71
1763640536,92.71
1763640537,92.86
1763640538,92.78
1763640539,92.80
1763640540,92.10
1763640541,85.29
1763640542,88.27
1763640543,92.40
1763640544,92.63
1763640545,92.64
1763640546,92.59
1763640547,92.68
1763640548,92.71
1763640549,92.68
1763640550,93.16
1763640551,93.13
1763640552,93.22
1763640553,93.31
1763640554,88.47
1763640555,86.62
1763640556,92.89
1763640557,92.94
1763640558,93.05
1763640559,93.00
1763640560,93.03
1763640561,92.96
1763640562,92.99
1763640563,93.06
1763640564,93.01
1763640565,92.96
1763640566,92.94
1763640568,91.40
1763640569,85.69
1763640570,88.80
1763640571,93.14
1763640572,93.09
1763640573,93.07
1763640574,93.19
1763640575,93.17
1763640576,93.16
1763640577,93.16
1763640578,93.44
1763640579,93.70
1763640580,93.75
1763640581,93.43
1763640582,89.14
1763640583,86.70
1763640584,93.24
1763640585,93.33
1763640586,93.18
1763640587,93.32
1763640588,93.55
1763640589,93.51
1763640590,93.50
1763640591,93.65
1763640592,93.34
1763640593,93.25
1763640594,93.75
1763640595,92.39
1763640596,86.49
1763640597,89.82
1763640598,93.74
1763640599,93.62
1763640600,93.78
1763640601,93.88
1763640602,93.96
1763640603,93.80
1763640604,93.87
1763640605,93.76
1763640607,93.67
1763640608,93.86
1763640609,93.68
1763640610,87.62
1763640611,88.63
1763640612,93.83
1763640613,93.82
1763640614,93.77
1763640615,94.04
1763640616,94.13
1763640617,93.91
1763640618,93.85
1763640619,93.73
1763640620,93.77
1763640621,93.91
1763640622,93.88
1763640623,89.06
1763640624,86.94
1763640625,93.82
1763640626,93.40
1763640627,93.44
1763640628,93.60
1763640629,94.07
1763640630,94.04
1763640631,94.18
1763640632,94.11
1763640633,94.01
1763640634,93.94
1763640635,94.01
1763640636,91.65
1763640637,86.75
1763640638,91.83
1763640639,93.96
1763640640,93.99
1763640641,93.95
1763640642,94.00
1763640643,94.06
1763640644,94.17
1763640645,94.22
1763640647,94.02
1763640648,94.22
1763640649,94.13
1763640650,92.36
1763640651,86.89
1763640652,91.01
1763640653,94.03
1763640654,94.07
1763640655,94.19
1763640656,94.12
1763640657,94.20
1763640658,94.17
1763640659,94.01
1763640660,93.65
1763640661,92.94
1763640662,93.00
1763640663,92.97
1763640664,88.79
1763640665,87.45
1763640666,93.87
1763640667,93.91
1763640668,93.92
1763640669,94.09
1763640670,94.11
1763640671,94.35
1763640672,94.44
1763640673,94.22
1763640674,94.30
1763640675,94.22
1763640676,94.19
1763640677,89.73
1763640678,86.30
