timestamp,power_draw_w
1763640770,4.41
1763640771,4.51
1763640772,4.34
1763640773,4.51
1763640774,64.01
1763640775,87.65
1763640776,87.64
1763640777,87.75
1763640778,87.67
1763640779,88.35
1763640780,88.05
1763640781,87.89
1763640782,88.17
1763640784,87.54
1763640785,87.31
1763640786,89.66
1763640787,88.41
1763640788,88.26
1763640789,87.05
1763640790,82.28
1763640791,85.01
1763640792,90.37
1763640793,90.06
1763640794,88.91
1763640795,89.45
1763640796,89.77
1763640797,90.39
1763640798,90.68
1763640799,90.74
1763640800,90.96
1763640801,91.28
1763640802,91.58
1763640803,91.56
1763640804,84.38
1763640805,85.98
1763640806,91.27
1763640807,91.92
1763640808,91.21
1763640809,90.96
1763640810,119.27
1763640811,253.29
1763640812,253.56
1763640813,257.92
1763640814,256.83
1763640815,258.17
1763640816,250.74
1763640817,261.21
1763640818,273.96
1763640819,263.26
1763640820,259.42
1763640822,260.28
1763640823,259.43
1763640824,259.37
1763640825,265.68
1763640826,262.49
1763640827,266.19
1763640828,265.35
1763640829,260.77
1763640830,263.00
1763640831,258.66
1763640832,269.30
1763640833,268.52
1763640834,262.23
1763640835,262.14
1763640836,264.60
1763640837,262.30
1763640838,267.15
1763640839,260.83
1763640840,264.36
1763640841,266.00
1763640842,264.25
1763640843,268.88
1763640844,268.17
1763640845,271.45
1763640846,273.70
1763640847,266.94
1763640848,265.74
1763640849,268.17
1763640850,267.76
1763640851,266.74
1763640852,266.47
1763640853,269.16
1763640854,266.64
1763640855,269.02
1763640856,264.87
1763640857,267.64
1763640858,267.46
1763640859,270.64
1763640860,269.76
1763640862,266.23
1763640863,267.67
1763640864,265.58
1763640865,267.12
1763640866,266.83
1763640867,267.37
1763640868,269.60
1763640869,267.64
1763640870,268.79
1763640871,266.17
1763640872,271.45
1763640873,271.36
1763640874,275.37
1763640875,272.52
1763640876,268.68
1763640877,267.50
1763640878,266.27
1763640879,271.27
1763640880,269.21
1763640881,268.63
1763640882,269.46
1763640883,268.17
1763640884,266.04
1763640885,268.78
1763640886,271.80
1763640887,273.43
