timestamp,gpu_util_percent,memory_util_percent
1763646412,90,64
1763646413,98,72
1763646414,99,64
1763646415,99,63
1763646416,99,60
1763646417,100,56
1763646418,99,55
1763646419,100,64
1763646420,100,53
1763646421,99,58
1763646423,100,63
1763646424,100,52
1763646425,100,62
1763646426,100,54
1763646427,100,62
1763646428,99,58
1763646429,100,53
1763646430,99,63
1763646431,100,55
1763646432,100,57
1763646433,99,63
1763646434,99,57
1763646435,100,62
1763646436,100,53
1763646437,99,63
1763646438,100,53
1763646439,99,59
1763646440,100,61
1763646441,100,60
1763646442,99,60
1763646443,99,53
1763646444,100,63
1763646445,100,55
1763646446,99,59
1763646447,99,61
1763646448,100,54
1763646449,99,59
1763646450,100,53
1763646451,100,64
1763646452,100,54
1763646453,100,58
1763646454,99,61
1763646455,100,54
1763646456,99,63
1763646457,100,53
1763646458,99,63
1763646459,100,54
1763646460,100,52
1763646461,100,62
1763646463,100,57
1763646464,100,55
1763646465,100,53
1763646466,100,60
1763646467,99,59
1763646468,100,54
1763646469,100,61
1763646470,99,52
1763646471,99,64
1763646472,100,52
1763646473,100,63
1763646474,100,53
1763646475,100,63
1763646476,100,55
1763646477,100,57
1763646478,100,62
1763646479,100,53
1763646480,100,64
1763646481,100,57
1763646482,99,58
1763646483,99,57
1763646484,66,36
1763646485,100,51
1763646486,100,60
1763646487,99,57
1763646488,92,60
1763646489,100,52
1763646490,99,62
1763646491,100,56
1763646492,100,55
1763646493,98,62
1763646494,100,54
1763646495,99,63
1763646496,99,55
1763646497,100,63
1763646498,92,47
1763646499,99,63
1763646500,100,52
1763646502,100,62
1763646503,100,58
1763646504,100,56
1763646505,100,61
1763646506,100,52
1763646507,100,63
1763646508,100,53
1763646509,100,63
1763646510,100,54
1763646511,99,63
1763646512,100,54
1763646513,100,63
1763646514,100,53
1763646515,99,62
1763646516,100,55
1763646517,100,56
1763646518,100,62
1763646519,100,53
1763646520,100,57
1763646521,99,54
1763646522,99,63
1763646523,100,54
1763646524,99,63
1763646525,100,53
1763646526,100,60
1763646527,100,53
1763646528,99,63
1763646529,100,51
1763646530,99,63
1763646531,100,51
1763646532,99,62
1763646533,100,57
1763646534,99,56
1763646535,100,53
1763646536,100,62
1763646537,100,54
1763646538,100,59
1763646539,100,57
1763646540,100,52
1763646542,100,62
1763646543,99,60
1763646544,100,57
1763646545,99,55
1763646546,100,58
1763646547,100,52
1763646548,100,61
1763646549,100,55
1763646550,99,58
1763646551,100,52
1763646552,99,63
1763646553,100,52
1763646554,99,61
1763646555,100,54
1763646556,100,59
1763646557,99,56
1763646558,100,54
1763646559,100,51
1763646560,99,61
1763646561,100,56
1763646562,100,56
1763646563,99,60
1763646564,100,52
1763646565,100,63
1763646566,100,60
1763646567,100,56
1763646568,99,56
1763646569,99,62
1763646570,100,52
1763646571,100,63
1763646572,100,53
1763646573,100,62
1763646574,100,53
1763646575,99,64
1763646576,100,51
1763646577,99,63
1763646578,100,53
1763646579,100,61
1763646581,100,56
1763646582,99,63
1763646583,100,52
1763646584,100,63
1763646585,100,52
1763646586,100,61
1763646587,100,55
1763646588,99,58
1763646589,100,60
1763646590,99,60
1763646591,100,56
1763646592,100,56
1763646593,100,61
1763646594,99,52
1763646595,99,62
1763646596,100,52
1763646597,100,55
1763646598,100,59
1763646599,100,58
1763646600,99,61
1763646601,99,53
1763646602,100,63
1763646603,100,52
1763646604,100,63
1763646605,100,54
1763646606,99,63
1763646607,100,51
1763646608,87,55
1763646609,100,53
1763646610,100,62
1763646611,100,52
1763646612,100,56
1763646613,100,56
1763646614,99,61
1763646615,100,51
1763646616,100,63
1763646617,100,52
1763646618,100,62
1763646620,100,54
1763646621,99,63
1763646622,100,53
1763646623,100,63
1763646624,100,52
1763646625,99,63
1763646626,100,55
1763646627,100,59
1763646628,100,57
1763646629,100,63
1763646630,100,53
1763646631,99,60
1763646632,100,56
1763646633,100,52
1763646634,99,64
1763646635,100,52
1763646636,99,57
1763646637,100,55
1763646638,99,61
1763646639,100,52
1763646640,99,62
1763646641,100,52
1763646642,99,62
1763646643,100,52
1763646644,99,61
1763646645,99,52
1763646646,100,63
1763646647,100,51
1763646648,100,62
1763646649,100,52
1763646650,100,63
1763646651,99,53
1763646652,99,62
1763646653,100,52
1763646654,100,63
1763646655,100,51
1763646656,99,62
1763646657,100,54
1763646658,99,58
1763646660,99,52
1763646661,99,62
1763646662,100,53
1763646663,100,63
1763646664,100,52
1763646665,100,61
1763646666,100,54
1763646667,99,62
1763646668,100,53
1763646669,100,63
1763646670,100,52
1763646671,99,61
1763646672,100,55
1763646673,99,60
1763646674,100,58
1763646675,100,63
1763646676,100,50
1763646677,100,56
1763646678,100,61
1763646679,99,52
1763646680,100,63
1763646681,99,58
1763646682,100,57
1763646683,100,54
1763646684,99,61
1763646685,99,52
1763646686,99,63
1763646687,100,52
1763646688,100,63
1763646689,100,57
1763646690,100,58
1763646691,99,54
1763646692,99,60
1763646693,100,53
1763646694,100,62
1763646695,100,53
1763646696,100,63
1763646698,100,56
1763646699,100,61
1763646700,100,56
1763646701,100,60
1763646702,100,53
1763646703,99,63
1763646704,100,52
1763646705,100,56
1763646706,100,56
1763646707,100,60
1763646708,100,53
1763646709,100,63
1763646710,100,53
1763646711,100,63
1763646712,100,50
1763646713,100,56
1763646714,99,57
1763646715,99,59
1763646716,55,29
1763646717,100,52
1763646718,99,63
1763646719,100,51
1763646720,100,61
1763646721,99,52
1763646722,99,63
1763646723,99,52
1763646724,99,63
1763646725,100,51
1763646726,99,62
1763646727,100,52
1763646728,99,59
1763646729,99,52
1763646730,100,63
1763646731,100,51
1763646732,99,63
1763646733,100,50
1763646734,99,62
1763646735,100,56
1763646737,99,59
1763646738,100,52
1763646739,99,63
1763646740,100,52
1763646741,100,63
1763646742,100,51
1763646743,100,62
1763646744,100,53
1763646745,87,50
1763646746,100,57
1763646747,100,57
1763646748,100,54
1763646749,100,61
1763646750,100,52
1763646751,100,53
1763646752,100,59
1763646753,100,56
1763646754,100,57
1763646755,100,59
1763646756,100,52
1763646757,100,63
1763646758,100,51
1763646759,100,54
1763646760,100,59
1763646761,100,56
1763646762,99,58
1763646763,100,61
1763646764,100,52
1763646765,100,63
1763646766,100,50
1763646767,99,59
1763646768,99,54
1763646769,99,62
1763646770,99,51
1763646771,100,62
1763646772,100,53
1763646773,99,63
1763646774,100,58
1763646776,99,56
1763646777,100,56
1763646778,99,59
1763646779,100,53
1763646780,100,62
1763646781,99,52
1763646782,100,62
1763646783,99,61
1763646784,100,55
1763646785,100,60
1763646786,100,56
1763646787,99,57
1763646788,99,57
1763646789,99,54
1763646790,100,52
1763646791,99,61
1763646792,100,52
1763646793,100,61
1763646794,100,55
1763646795,100,59
1763646796,100,56
1763646797,99,57
1763646798,100,51
1763646799,99,63
1763646800,100,52
1763646801,100,62
1763646802,100,52
1763646803,100,62
1763646804,100,53
1763646805,99,62
1763646806,100,43
1763646807,100,61
1763646808,100,53
1763646809,100,60
1763646810,100,56
1763646811,99,57
1763646812,100,58
1763646813,100,63
1763646814,100,51
1763646816,99,62
1763646817,100,52
1763646818,99,60
1763646819,100,56
1763646820,100,59
1763646821,100,55
1763646822,100,63
1763646823,100,51
1763646824,100,63
1763646825,100,51
1763646826,100,60
1763646827,100,53
1763646828,99,62
1763646829,100,51
1763646830,100,63
