timestamp,gpu_util_percent,memory_util_percent
1763880169,100,77
1763880170,100,77
1763880171,100,77
1763880172,100,77
1763880173,100,77
1763880174,100,77
1763880175,100,77
1763880176,100,77
1763880177,100,77
1763880178,100,77
1763880179,100,77
1763880180,100,77
1763880181,100,77
1763880182,100,77
1763880183,100,77
1763880184,100,76
1763880185,100,78
1763880187,100,78
1763880188,100,78
1763880189,100,77
1763880190,100,79
1763880191,100,77
1763880192,100,78
1763880193,100,77
1763880194,100,77
1763880195,100,77
1763880196,100,77
1763880197,100,77
1763880198,100,77
1763880199,100,77
1763880200,100,77
1763880201,100,77
1763880202,100,77
1763880203,100,77
1763880204,100,77
1763880205,100,76
1763880206,100,78
1763880207,100,77
1763880208,100,79
1763880209,100,79
1763880210,100,79
1763880211,100,79
1763880212,100,79
1763880213,100,79
1763880215,100,80
1763880216,100,80
1763880217,100,80
1763880218,100,79
1763880219,100,80
1763880220,100,80
1763880221,100,80
1763880222,100,79
1763880223,100,77
