timestamp,power_draw_w
1763881088,190.66
1763881089,190.57
1763881090,191.05
1763881091,190.15
1763881092,190.34
1763881093,190.39
1763881094,190.65
1763881095,190.07
1763881096,189.75
1763881097,190.17
1763881098,191.02
1763881099,190.43
1763881100,190.06
1763881101,190.49
1763881102,189.12
1763881103,188.81
1763881104,189.27
1763881105,189.11
1763881107,164.13
1763881108,243.32
1763881109,291.69
1763881110,208.81
1763881111,176.62
1763881112,176.40
1763881113,176.13
1763881114,175.77
1763881115,175.77
1763881116,175.66
1763881117,175.82
1763881118,175.97
1763881119,176.09
1763881120,176.06
1763881121,175.96
1763881122,176.01
1763881123,175.54
1763881124,176.36
1763881125,175.83
1763881126,176.23
1763881127,176.14
1763881128,176.50
1763881129,176.20
1763881130,176.98
1763881131,177.09
1763881132,176.29
1763881133,176.81
1763881135,176.69
1763881136,179.10
1763881137,183.65
1763881138,183.61
1763881139,183.68
1763881140,183.94
1763881141,184.49
