timestamp,power_draw_w
1763924245,184.12
1763924246,184.21
1763924247,184.24
1763924248,184.32
1763924249,184.39
1763924250,184.35
1763924251,183.93
1763924252,184.20
1763924253,184.22
1763924254,184.06
1763924255,184.34
1763924256,184.79
1763924257,185.14
1763924258,183.72
1763924259,184.30
1763924260,184.16
1763924261,183.83
1763924262,184.02
1763924263,184.66
1763924264,184.48
1763924265,184.38
1763924267,184.90
1763924268,184.67
1763924269,184.49
1763924270,183.58
1763924271,182.29
1763924272,184.10
1763924273,188.70
1763924274,187.70
1763924275,188.51
1763924276,188.41
1763924277,189.10
1763924278,188.42
1763924279,188.67
1763924280,187.88
1763924281,188.73
1763924282,188.21
1763924283,188.69
1763924284,188.69
1763924285,188.82
1763924286,188.79
1763924287,189.09
1763924288,188.24
1763924289,188.90
1763924290,188.36
1763924291,189.07
1763924292,188.46
1763924293,188.74
1763924295,188.73
1763924296,188.77
1763924297,188.31
1763924298,188.78
1763924299,188.12
1763924300,188.74
1763924301,188.27
1763924302,188.86
1763924303,188.93
1763924304,190.01
1763924305,188.41
1763924306,188.85
1763924307,189.14
1763924308,188.96
1763924309,188.88
1763924310,188.06
1763924311,188.61
1763924312,188.44
1763924313,188.92
1763924314,188.85
1763924315,188.96
1763924316,188.57
1763924317,189.20
1763924318,188.02
1763924319,188.74
1763924320,188.07
1763924322,188.75
1763924323,188.47
1763924324,188.74
1763924325,188.74
1763924326,188.78
1763924327,189.11
1763924328,188.73
1763924329,188.13
1763924330,188.46
1763924331,188.11
1763924332,188.48
1763924333,188.67
1763924334,188.67
1763924335,188.75
1763924336,188.62
1763924337,188.00
1763924338,188.66
1763924339,188.06
1763924340,188.77
1763924341,188.47
1763924342,188.51
1763924343,188.07
1763924344,188.58
1763924345,187.86
1763924346,188.54
1763924347,188.28
1763924348,188.26
1763924350,188.19
1763924351,188.41
1763924352,188.61
1763924353,188.21
1763924354,188.74
1763924355,188.51
1763924356,187.81
1763924357,188.38
1763924358,187.63
1763924359,188.53
1763924360,188.13
1763924361,188.60
1763924362,188.01
1763924363,188.59
1763924364,187.73
1763924365,188.46
1763924366,187.64
1763924367,188.53
1763924368,188.04
1763924369,188.42
1763924370,188.61
1763924371,188.87
1763924372,188.36
1763924373,188.92
1763924374,188.17
1763924375,188.83
1763924377,188.13
1763924378,188.54
1763924379,188.58
1763924380,188.71
1763924381,187.87
1763924382,188.79
1763924383,187.91
1763924384,188.70
1763924385,188.01
1763924386,188.79
1763924387,188.14
1763924388,188.84
1763924389,188.55
1763924390,188.74
1763924391,188.12
1763924392,189.05
1763924393,188.51
1763924394,189.04
1763924395,188.47
1763924396,189.12
1763924397,188.67
1763924398,189.13
1763924399,188.82
1763924400,189.02
1763924401,188.57
1763924402,188.63
1763924403,188.64
1763924405,189.33
1763924406,189.21
1763924407,189.05
1763924408,189.30
1763924409,189.46
1763924410,189.44
1763924411,188.71
1763924412,188.82
1763924413,189.07
1763924414,189.22
1763924415,189.19
1763924416,189.23
1763924417,189.22
1763924418,189.39
1763924419,188.37
1763924420,188.90
1763924421,188.31
1763924422,188.72
1763924423,188.70
1763924424,189.13
1763924425,189.12
1763924426,189.22
1763924427,188.48
1763924428,189.26
1763924429,188.60
1763924430,189.54
1763924432,188.56
1763924433,189.08
1763924434,188.28
1763924435,189.39
1763924436,188.63
1763924437,189.48
1763924438,188.80
1763924439,189.13
1763924440,188.37
1763924441,189.29
1763924442,188.61
1763924443,189.25
1763924444,188.55
1763924445,188.60
1763924446,188.07
1763924447,188.63
1763924448,188.20
1763924449,188.63
1763924450,187.86
1763924451,188.73
1763924452,188.08
1763924453,189.11
1763924454,188.57
1763924455,189.07
1763924456,189.12
1763924457,189.20
1763924458,188.90
1763924460,188.64
1763924461,188.62
1763924462,188.69
1763924463,189.24
1763924464,189.04
1763924465,188.85
1763924466,188.72
1763924467,188.98
1763924468,188.14
1763924469,188.65
1763924470,188.07
1763924471,188.77
1763924472,188.11
1763924473,188.56
1763924474,188.07
1763924475,188.51
1763924476,188.38
1763924477,188.84
1763924478,188.14
1763924479,188.93
1763924480,188.33
1763924481,188.90
1763924482,188.20
1763924483,188.97
1763924484,189.50
1763924485,188.92
1763924487,188.91
1763924488,189.17
1763924489,189.20
1763924490,188.69
1763924491,188.45
1763924492,188.96
1763924493,188.74
1763924494,188.97
1763924495,189.13
1763924496,189.14
1763924497,189.10
1763924498,182.22
1763924499,312.56
1763924500,317.94
1763924501,317.86
1763924502,287.47
1763924503,270.48
1763924504,209.57
1763924505,189.79
1763924506,189.31
1763924507,190.08
1763924508,189.66
1763924509,191.28
1763924510,190.45
1763924511,189.76
1763924512,190.23
1763924513,189.55
1763924515,189.48
1763924516,190.17
1763924517,190.26
1763924518,189.44
1763924519,190.47
1763924520,190.01
1763924521,188.88
1763924522,189.51
1763924523,189.37
1763924524,189.34
1763924525,190.01
1763924526,189.01
1763924527,189.77
1763924528,190.09
1763924529,189.27
1763924530,189.90
1763924531,188.88
1763924532,189.79
1763924533,190.03
1763924534,189.59
1763924535,190.11
1763924536,189.71
1763924537,189.97
1763924538,189.91
1763924539,189.65
1763924540,189.83
1763924542,188.95
1763924543,190.05
1763924544,189.46
1763924545,189.42
1763924546,189.46
1763924547,189.03
1763924548,189.79
1763924549,189.24
1763924550,189.27
1763924551,189.54
1763924552,189.10
1763924553,189.37
1763924554,188.93
1763924555,189.03
1763924556,189.18
1763924557,188.53
1763924558,189.26
1763924559,188.50
1763924560,189.31
1763924561,189.39
1763924562,188.93
1763924563,189.70
1763924564,188.66
1763924565,189.32
1763924566,189.39
1763924567,189.37
1763924568,189.71
1763924570,189.08
1763924571,189.69
1763924572,189.61
1763924573,189.81
1763924574,189.87
1763924575,189.09
1763924576,189.64
1763924577,189.36
1763924578,189.69
1763924579,189.38
1763924580,188.58
1763924581,189.43
1763924582,189.15
1763924583,190.24
1763924584,189.87
1763924585,189.36
1763924586,190.27
1763924587,189.41
1763924588,189.82
1763924589,189.28
1763924590,189.94
1763924591,188.97
1763924592,190.04
1763924593,189.58
1763924594,189.91
1763924595,190.19
1763924597,190.38
1763924598,190.28
1763924599,189.49
1763924600,190.67
1763924601,190.46
1763924602,189.78
1763924603,189.05
1763924604,190.02
1763924605,189.04
1763924606,189.85
1763924607,189.99
1763924608,189.00
1763924609,189.60
1763924610,189.02
1763924611,189.37
1763924612,189.76
1763924613,189.14
1763924614,189.59
1763924615,190.10
1763924616,189.46
1763924617,190.48
1763924618,189.04
1763924619,189.82
1763924620,189.73
1763924621,189.34
1763924622,189.53
1763924623,189.31
1763924625,189.51
1763924626,189.62
1763924627,189.26
1763924628,189.94
1763924629,189.58
1763924630,189.51
1763924631,189.75
1763924632,189.94
1763924633,190.37
1763924634,189.74
1763924635,189.96
1763924636,189.39
1763924637,189.27
1763924638,189.94
1763924639,189.32
1763924640,190.10
1763924641,189.84
1763924642,189.30
1763924643,189.94
1763924644,189.01
1763924645,190.01
1763924646,189.45
1763924647,189.16
1763924648,189.56
1763924649,189.09
1763924650,189.57
1763924652,188.89
1763924653,189.61
1763924654,189.56
1763924655,188.94
1763924656,189.76
1763924657,189.32
1763924658,189.45
1763924659,190.07
1763924660,188.88
1763924661,189.57
1763924662,189.23
1763924663,189.45
1763924664,190.10
1763924665,189.12
1763924666,189.67
1763924667,189.64
1763924668,189.32
1763924669,190.11
1763924670,189.18
1763924671,189.67
1763924672,189.56
1763924673,189.30
1763924674,190.00
1763924675,189.11
1763924676,189.54
1763924677,189.41
1763924679,189.36
1763924680,189.81
1763924681,189.81
1763924682,190.31
1763924683,190.30
1763924684,189.63
1763924685,175.04
1763924686,285.20
1763924687,318.52
1763924688,318.13
1763924689,289.56
1763924690,238.20
1763924691,199.67
1763924692,195.39
1763924693,195.60
1763924694,196.33
1763924695,196.18
1763924696,196.27
1763924697,195.86
1763924698,196.15
1763924699,196.64
1763924700,195.43
1763924701,195.19
1763924702,195.91
1763924703,196.34
1763924704,196.00
1763924705,196.47
1763924707,196.80
1763924708,196.91
1763924709,195.82
1763924710,195.74
1763924711,197.01
1763924712,196.63
1763924713,196.21
1763924714,196.34
1763924715,196.28
1763924716,195.31
1763924717,195.05
1763924718,195.76
1763924719,195.86
1763924720,195.50
1763924721,195.53
1763924722,196.34
1763924723,196.40
1763924724,196.68
1763924725,195.82
1763924726,195.36
1763924727,196.02
1763924728,196.01
1763924729,195.85
1763924730,195.11
1763924731,195.54
1763924732,195.91
1763924734,195.40
1763924735,195.33
1763924736,195.20
1763924737,195.89
1763924738,195.71
1763924739,195.34
1763924740,195.82
1763924741,196.57
1763924742,196.26
1763924743,195.69
1763924744,196.43
1763924745,196.57
1763924746,195.12
1763924747,195.73
1763924748,195.62
1763924749,195.47
1763924750,194.93
1763924751,195.22
1763924752,196.47
1763924753,196.17
1763924754,195.56
1763924755,195.85
1763924756,196.33
1763924757,195.48
1763924758,195.04
1763924759,195.49
1763924760,196.29
1763924762,196.15
1763924763,197.51
1763924764,195.94
1763924765,195.54
1763924766,180.60
1763924767,270.79
1763924768,299.76
1763924769,264.52
1763924770,228.32
1763924771,199.06
1763924772,199.10
1763924773,199.19
1763924774,199.59
1763924775,199.28
1763924776,193.14
1763924777,180.87
1763924778,180.71
1763924779,180.62
1763924780,180.74
1763924781,180.76
1763924782,181.15
1763924783,180.75
1763924784,180.92
1763924785,180.61
1763924786,180.61
1763924787,180.68
1763924789,181.09
1763924790,180.76
1763924791,180.68
1763924792,180.69
1763924793,181.12
1763924794,180.94
1763924795,181.14
1763924796,181.25
1763924797,181.43
1763924798,181.47
1763924799,181.25
1763924800,181.18
1763924801,180.85
