timestamp,gpu_temp_c,memory_temp_c
1763950197,58,N/A
1763950198,58,N/A
1763950199,58,N/A
1763950200,58,N/A
1763950201,58,N/A
1763950202,58,N/A
1763950203,58,N/A
1763950204,58,N/A
1763950205,58,N/A
1763950206,60,N/A
1763950207,60,N/A
1763950208,60,N/A
1763950209,64,N/A
1763950210,66,N/A
1763950211,66,N/A
1763950212,67,N/A
1763950213,67,N/A
1763950214,68,N/A
1763950215,69,N/A
1763950216,69,N/A
1763950217,70,N/A
1763950218,70,N/A
1763950219,70,N/A
1763950221,71,N/A
1763950222,71,N/A
1763950223,72,N/A
1763950224,72,N/A
1763950225,73,N/A
1763950226,73,N/A
1763950227,73,N/A
1763950228,74,N/A
1763950229,74,N/A
1763950230,74,N/A
1763950231,75,N/A
1763950232,75,N/A
1763950233,76,N/A
1763950234,75,N/A
1763950235,76,N/A
1763950236,76,N/A
1763950237,76,N/A
1763950238,75,N/A
1763950239,76,N/A
1763950240,76,N/A
1763950241,76,N/A
1763950242,77,N/A
1763950243,77,N/A
1763950244,78,N/A
1763950245,77,N/A
1763950246,78,N/A
1763950248,77,N/A
1763950249,78,N/A
1763950250,78,N/A
1763950251,78,N/A
1763950252,79,N/A
1763950253,79,N/A
1763950254,80,N/A
1763950255,79,N/A
1763950256,80,N/A
1763950257,80,N/A
1763950258,80,N/A
1763950259,80,N/A
1763950260,80,N/A
1763950261,80,N/A
1763950262,81,N/A
1763950263,81,N/A
1763950264,81,N/A
1763950265,81,N/A
1763950266,81,N/A
1763950267,81,N/A
1763950268,81,N/A
1763950269,81,N/A
1763950270,81,N/A
1763950271,81,N/A
1763950272,81,N/A
1763950273,82,N/A
1763950274,81,N/A
1763950276,81,N/A
1763950277,81,N/A
1763950278,80,N/A
1763950279,78,N/A
1763950280,79,N/A
1763950281,80,N/A
1763950282,80,N/A
1763950283,80,N/A
1763950284,81,N/A
1763950285,80,N/A
1763950286,81,N/A
1763950287,80,N/A
1763950288,80,N/A
1763950289,80,N/A
1763950290,80,N/A
1763950291,80,N/A
1763950292,80,N/A
1763950293,80,N/A
1763950294,80,N/A
1763950295,80,N/A
1763950296,80,N/A
1763950297,80,N/A
1763950298,80,N/A
1763950299,80,N/A
1763950300,80,N/A
1763950301,81,N/A
1763950303,80,N/A
1763950304,80,N/A
1763950305,81,N/A
1763950306,81,N/A
1763950307,81,N/A
1763950308,81,N/A
1763950309,80,N/A
1763950310,81,N/A
1763950311,81,N/A
1763950312,81,N/A
1763950313,81,N/A
1763950314,80,N/A
1763950315,81,N/A
1763950316,80,N/A
1763950317,81,N/A
1763950318,81,N/A
1763950319,80,N/A
1763950320,81,N/A
1763950321,80,N/A
1763950322,80,N/A
1763950323,81,N/A
1763950324,80,N/A
1763950325,81,N/A
1763950326,81,N/A
1763950327,80,N/A
1763950328,81,N/A
1763950330,81,N/A
1763950331,81,N/A
1763950332,81,N/A
1763950333,80,N/A
1763950334,81,N/A
1763950335,81,N/A
1763950336,81,N/A
1763950337,81,N/A
1763950338,80,N/A
1763950339,81,N/A
1763950340,81,N/A
1763950341,81,N/A
1763950342,81,N/A
1763950343,80,N/A
1763950344,81,N/A
1763950345,81,N/A
1763950346,81,N/A
1763950347,81,N/A
1763950348,81,N/A
1763950349,81,N/A
1763950350,80,N/A
1763950351,79,N/A
1763950352,79,N/A
1763950353,81,N/A
1763950354,80,N/A
1763950355,81,N/A
1763950357,81,N/A
1763950358,81,N/A
1763950359,81,N/A
1763950360,81,N/A
1763950361,81,N/A
1763950362,81,N/A
1763950363,81,N/A
1763950364,81,N/A
1763950365,81,N/A
1763950366,81,N/A
1763950367,81,N/A
1763950368,81,N/A
1763950369,80,N/A
1763950370,81,N/A
1763950371,80,N/A
1763950372,80,N/A
1763950373,80,N/A
1763950374,80,N/A
1763950375,80,N/A
1763950376,80,N/A
1763950377,80,N/A
1763950378,80,N/A
1763950379,80,N/A
1763950380,81,N/A
1763950381,80,N/A
1763950382,80,N/A
1763950383,81,N/A
1763950385,80,N/A
1763950386,81,N/A
1763950387,80,N/A
1763950388,80,N/A
1763950389,80,N/A
1763950390,80,N/A
1763950391,80,N/A
1763950392,80,N/A
1763950393,81,N/A
1763950394,81,N/A
1763950395,81,N/A
1763950396,81,N/A
1763950397,81,N/A
1763950398,81,N/A
1763950399,82,N/A
1763950400,81,N/A
1763950401,82,N/A
1763950402,81,N/A
1763950403,81,N/A
1763950404,81,N/A
1763950405,81,N/A
1763950406,81,N/A
1763950407,81,N/A
1763950408,81,N/A
1763950409,81,N/A
1763950411,81,N/A
1763950412,81,N/A
1763950413,81,N/A
1763950414,81,N/A
1763950415,81,N/A
1763950416,79,N/A
1763950417,82,N/A
1763950418,81,N/A
1763950419,81,N/A
1763950420,82,N/A
1763950421,81,N/A
1763950422,80,N/A
1763950423,80,N/A
1763950424,81,N/A
1763950425,80,N/A
1763950426,81,N/A
1763950427,81,N/A
1763950428,81,N/A
1763950429,81,N/A
1763950430,80,N/A
1763950431,81,N/A
1763950432,81,N/A
1763950433,81,N/A
1763950434,81,N/A
1763950435,80,N/A
1763950436,81,N/A
1763950438,81,N/A
1763950439,81,N/A
1763950440,81,N/A
1763950441,81,N/A
1763950442,81,N/A
1763950443,81,N/A
1763950444,81,N/A
1763950445,81,N/A
1763950446,81,N/A
1763950447,81,N/A
1763950448,81,N/A
1763950449,81,N/A
1763950450,81,N/A
1763950451,81,N/A
1763950452,81,N/A
1763950453,81,N/A
1763950454,81,N/A
1763950455,81,N/A
1763950456,81,N/A
1763950457,81,N/A
1763950458,81,N/A
1763950459,81,N/A
1763950460,81,N/A
1763950461,81,N/A
1763950462,81,N/A
1763950463,81,N/A
1763950465,81,N/A
1763950466,81,N/A
1763950467,81,N/A
1763950468,81,N/A
1763950469,81,N/A
1763950470,81,N/A
1763950471,81,N/A
1763950472,81,N/A
1763950473,81,N/A
1763950474,81,N/A
1763950475,81,N/A
1763950476,81,N/A
1763950477,81,N/A
1763950478,81,N/A
1763950479,81,N/A
1763950480,81,N/A
1763950481,81,N/A
1763950482,82,N/A
1763950483,81,N/A
1763950484,82,N/A
1763950485,82,N/A
1763950486,81,N/A
1763950487,82,N/A
1763950488,81,N/A
1763950489,81,N/A
1763950490,81,N/A
1763950492,81,N/A
1763950493,82,N/A
1763950494,80,N/A
1763950495,81,N/A
1763950496,81,N/A
1763950497,81,N/A
1763950498,81,N/A
1763950499,82,N/A
1763950500,81,N/A
1763950501,82,N/A
1763950502,82,N/A
1763950503,81,N/A
1763950504,82,N/A
1763950505,82,N/A
1763950506,82,N/A
