timestamp,gpu_temp_c,memory_temp_c
1763959215,62,N/A
1763959216,62,N/A
1763959217,62,N/A
1763959218,61,N/A
1763959219,61,N/A
1763959220,61,N/A
1763959221,61,N/A
1763959222,61,N/A
1763959223,61,N/A
1763959224,63,N/A
1763959225,63,N/A
1763959226,64,N/A
1763959228,64,N/A
1763959229,68,N/A
1763959230,69,N/A
1763959231,69,N/A
1763959232,69,N/A
1763959233,71,N/A
1763959234,71,N/A
1763959235,71,N/A
1763959236,72,N/A
1763959237,72,N/A
1763959238,72,N/A
1763959239,72,N/A
1763959240,73,N/A
1763959241,73,N/A
1763959242,74,N/A
1763959243,74,N/A
1763959244,74,N/A
1763959245,75,N/A
1763959246,74,N/A
1763959247,76,N/A
1763959248,76,N/A
1763959249,75,N/A
1763959250,76,N/A
1763959251,76,N/A
1763959252,76,N/A
1763959253,77,N/A
1763959255,77,N/A
1763959256,77,N/A
1763959257,77,N/A
1763959258,78,N/A
1763959259,78,N/A
1763959260,79,N/A
1763959261,78,N/A
1763959262,78,N/A
1763959263,78,N/A
1763959264,79,N/A
1763959265,79,N/A
1763959266,78,N/A
1763959267,79,N/A
1763959268,78,N/A
1763959269,79,N/A
1763959270,80,N/A
1763959271,79,N/A
1763959272,80,N/A
1763959273,79,N/A
1763959274,80,N/A
1763959275,80,N/A
1763959277,79,N/A
1763959278,80,N/A
1763959279,80,N/A
1763959280,80,N/A
1763959281,81,N/A
1763959282,80,N/A
1763959283,81,N/A
1763959284,80,N/A
1763959285,79,N/A
1763959286,81,N/A
1763959287,80,N/A
1763959288,81,N/A
1763959289,81,N/A
1763959290,80,N/A
1763959291,81,N/A
1763959292,80,N/A
1763959293,82,N/A
1763959294,81,N/A
1763959295,81,N/A
1763959296,82,N/A
1763959297,81,N/A
1763959298,82,N/A
1763959299,82,N/A
1763959300,81,N/A
1763959301,81,N/A
1763959302,81,N/A
1763959304,82,N/A
1763959305,81,N/A
1763959306,82,N/A
1763959307,81,N/A
1763959308,82,N/A
1763959309,82,N/A
1763959310,81,N/A
1763959311,82,N/A
1763959312,81,N/A
1763959313,82,N/A
1763959314,82,N/A
1763959315,82,N/A
1763959316,82,N/A
1763959317,82,N/A
1763959318,82,N/A
1763959319,82,N/A
1763959320,83,N/A
1763959321,82,N/A
1763959322,82,N/A
1763959323,82,N/A
1763959324,81,N/A
1763959325,82,N/A
1763959326,82,N/A
1763959327,81,N/A
1763959328,82,N/A
1763959329,83,N/A
1763959331,82,N/A
1763959332,83,N/A
1763959333,82,N/A
1763959334,82,N/A
1763959335,83,N/A
1763959336,82,N/A
1763959337,81,N/A
1763959338,82,N/A
1763959339,82,N/A
1763959340,81,N/A
1763959341,80,N/A
1763959342,82,N/A
1763959343,82,N/A
1763959344,82,N/A
1763959345,82,N/A
1763959346,82,N/A
1763959347,82,N/A
1763959348,82,N/A
1763959349,82,N/A
1763959350,82,N/A
1763959351,81,N/A
1763959352,81,N/A
1763959354,81,N/A
1763959355,82,N/A
1763959356,82,N/A
1763959357,81,N/A
1763959358,81,N/A
1763959359,81,N/A
1763959360,81,N/A
1763959361,81,N/A
1763959362,81,N/A
1763959363,81,N/A
1763959364,81,N/A
1763959365,81,N/A
1763959366,82,N/A
1763959367,81,N/A
1763959368,81,N/A
1763959369,81,N/A
1763959370,81,N/A
1763959371,81,N/A
1763959372,80,N/A
1763959373,80,N/A
1763959374,81,N/A
1763959375,81,N/A
1763959376,82,N/A
1763959377,81,N/A
1763959378,81,N/A
1763959380,81,N/A
1763959381,81,N/A
1763959382,81,N/A
1763959383,81,N/A
1763959384,81,N/A
1763959385,81,N/A
1763959386,82,N/A
1763959387,81,N/A
1763959388,81,N/A
1763959389,81,N/A
1763959390,80,N/A
1763959391,81,N/A
1763959392,80,N/A
1763959393,81,N/A
1763959394,81,N/A
1763959395,80,N/A
1763959396,80,N/A
1763959397,81,N/A
1763959398,80,N/A
1763959399,81,N/A
1763959400,81,N/A
1763959401,80,N/A
1763959402,81,N/A
1763959403,81,N/A
1763959404,81,N/A
1763959405,81,N/A
1763959407,80,N/A
1763959408,81,N/A
1763959409,81,N/A
1763959410,80,N/A
1763959411,81,N/A
1763959412,81,N/A
1763959413,80,N/A
1763959414,81,N/A
1763959415,80,N/A
1763959416,81,N/A
1763959417,81,N/A
1763959418,80,N/A
1763959419,81,N/A
1763959420,80,N/A
1763959421,80,N/A
1763959422,81,N/A
1763959423,80,N/A
1763959424,81,N/A
1763959425,81,N/A
1763959426,80,N/A
1763959427,81,N/A
1763959428,80,N/A
1763959429,81,N/A
1763959430,80,N/A
1763959431,81,N/A
1763959432,80,N/A
1763959434,80,N/A
1763959435,81,N/A
1763959436,81,N/A
1763959437,81,N/A
1763959438,81,N/A
1763959439,81,N/A
1763959440,81,N/A
1763959441,81,N/A
1763959442,81,N/A
1763959443,81,N/A
1763959444,81,N/A
1763959445,81,N/A
1763959446,80,N/A
1763959447,81,N/A
1763959448,81,N/A
1763959449,80,N/A
1763959450,80,N/A
1763959451,80,N/A
1763959452,80,N/A
1763959453,80,N/A
1763959454,81,N/A
1763959455,80,N/A
1763959457,81,N/A
1763959458,81,N/A
