timestamp,gpu_util_percent,memory_util_percent
1764033123,100,79
1764033124,100,79
1764033125,100,79
1764033126,100,79
1764033127,100,79
1764033128,100,78
1764033129,100,78
1764033130,100,79
1764033131,100,78
1764033132,100,78
1764033133,100,78
1764033134,100,79
1764033135,100,81
1764033137,100,81
1764033138,100,81
1764033139,100,80
1764033140,100,77
1764033141,100,75
1764033142,100,80
1764033143,100,79
1764033144,100,78
1764033145,100,78
1764033146,100,80
1764033147,100,80
1764033148,100,79
1764033149,100,75
1764033150,100,68
1764033151,100,73
1764033152,100,74
1764033153,100,72
1764033154,100,76
1764033155,100,68
1764033156,100,70
1764033157,100,74
1764033158,100,73
1764033159,100,74
1764033160,100,76
1764033161,100,75
1764033162,100,71
1764033164,100,75
1764033165,100,69
1764033166,100,68
1764033167,100,74
1764033168,100,75
1764033169,100,71
1764033170,100,76
1764033171,100,76
1764033172,100,69
1764033173,100,74
1764033174,100,73
1764033175,100,74
1764033176,100,75
1764033177,100,75
1764033178,100,72
1764033179,100,76
1764033180,100,70
1764033181,100,69
1764033182,100,73
1764033183,100,72
1764033184,100,72
1764033185,100,81
1764033186,100,79
1764033187,100,81
1764033188,100,73
1764033190,100,81
1764033191,100,76
1764033192,100,82
1764033193,100,78
1764033194,100,77
1764033195,100,76
1764033196,100,79
1764033197,100,72
1764033198,100,77
1764033199,100,81
1764033200,100,79
1764033201,100,79
1764033202,100,79
1764033203,100,82
1764033204,100,75
1764033205,56,43
1764033206,100,91
1764033207,100,93
1764033208,100,96
1764033209,100,93
1764033210,100,94
1764033211,100,90
1764033212,100,87
1764033213,100,75
1764033214,100,80
1764033215,100,77
1764033216,100,81
1764033218,100,75
1764033219,100,84
1764033220,100,77
1764033221,100,82
1764033222,100,76
1764033223,100,83
1764033224,100,80
1764033225,100,80
1764033226,100,77
1764033227,100,84
1764033228,100,81
1764033229,100,81
1764033230,100,81
1764033231,100,83
1764033232,100,80
1764033233,100,79
1764033234,100,80
1764033235,100,75
1764033236,100,79
1764033237,100,77
1764033238,100,83
1764033239,100,76
1764033240,100,83
1764033241,100,75
1764033242,100,82
1764033243,100,77
1764033245,100,83
1764033246,100,81
1764033247,100,79
1764033248,100,78
1764033249,100,83
1764033250,100,80
1764033251,100,78
1764033252,100,81
1764033253,100,83
1764033254,100,79
1764033255,100,74
1764033256,100,83
1764033257,100,77
1764033258,100,82
1764033259,100,81
1764033260,100,79
1764033261,100,82
1764033262,100,75
1764033263,100,84
1764033264,100,76
1764033265,100,84
1764033266,100,78
1764033267,100,83
1764033268,100,80
1764033269,100,84
1764033270,100,80
1764033271,100,82
1764033273,100,79
1764033274,100,74
1764033275,100,81
1764033276,100,79
1764033277,100,81
1764033278,100,75
1764033279,100,84
1764033280,100,77
1764033281,100,83
1764033282,100,77
1764033283,100,84
1764033284,100,80
1764033285,100,79
1764033286,100,79
1764033287,100,83
1764033288,100,80
1764033289,100,74
1764033290,100,83
1764033291,100,79
1764033292,100,82
1764033293,100,77
1764033294,100,84
1764033295,100,81
1764033296,100,84
1764033297,100,78
1764033298,100,82
1764033299,100,80
1764033301,100,74
1764033302,100,82
1764033303,100,83
1764033304,100,83
1764033305,100,83
1764033306,100,78
1764033307,100,82
1764033308,100,75
1764033309,100,83
1764033310,100,81
1764033311,100,81
1764033312,100,80
1764033313,100,83
1764033314,100,80
1764033315,100,79
1764033316,100,82
1764033317,100,77
1764033318,100,80
1764033319,100,74
1764033320,100,84
1764033321,100,80
1764033322,100,81
1764033323,100,80
1764033324,100,83
1764033325,100,80
1764033326,100,78
1764033328,100,82
1764033329,100,78
1764033330,100,81
1764033331,100,74
1764033332,100,83
1764033333,100,79
1764033334,100,81
1764033335,100,78
1764033336,100,84
1764033337,100,80
1764033338,100,78
1764033339,100,81
1764033340,100,83
1764033341,100,79
1764033342,100,76
1764033343,100,83
1764033344,100,78
1764033345,100,83
1764033346,100,75
1764033347,100,83
1764033348,100,79
1764033349,100,82
1764033350,100,79
1764033351,100,84
1764033352,100,80
1764033353,100,79
1764033354,100,82
1764033356,100,76
1764033357,100,79
1764033358,100,75
1764033359,100,84
1764033360,100,78
1764033361,100,83
1764033362,100,76
1764033363,100,84
1764033364,100,81
1764033365,100,80
1764033366,100,81
1764033367,100,75
1764033368,100,80
1764033369,100,75
1764033370,100,83
1764033371,100,77
1764033372,100,83
1764033373,100,75
1764033374,100,83
1764033375,100,80
1764033376,100,81
1764033377,100,80
1764033378,100,83
1764033379,100,80
1764033380,100,77
1764033381,100,82
1764033383,100,78
1764033384,100,83
1764033385,100,74
1764033386,100,84
1764033387,100,79
1764033388,100,83
1764033389,100,80
1764033390,100,84
1764033391,100,81
1764033392,100,80
1764033393,100,82
1764033394,100,75
1764033395,100,80
1764033396,100,76
1764033397,100,83
1764033398,100,78
1764033399,100,83
1764033400,100,75
1764033401,100,84
1764033402,100,80
1764033403,100,85
1764033404,100,81
1764033405,100,80
1764033406,100,78
1764033407,100,83
1764033408,100,80
1764033409,100,75
1764033411,100,83
1764033412,100,82
1764033413,100,79
1764033414,100,75
1764033415,100,84
1764033416,100,78
1764033417,100,81
1764033418,100,75
1764033419,100,82
1764033420,100,78
1764033421,100,84
1764033422,100,75
1764033423,100,83
1764033424,100,77
1764033425,100,84
1764033426,100,79
1764033427,100,82
1764033428,100,77
1764033429,100,84
1764033430,100,79
1764033431,100,78
1764033432,100,80
1764033433,100,83
1764033434,100,81
1764033435,100,77
1764033436,100,82
1764033437,100,77
1764033439,100,80
1764033440,100,74
1764033441,100,84
1764033442,100,78
1764033443,100,83
1764033444,100,80
1764033445,100,84
1764033446,100,81
1764033447,100,80
1764033448,100,81
1764033449,100,75
1764033450,100,80
1764033451,100,76
1764033452,100,83
1764033453,100,78
1764033454,100,82
1764033455,100,81
1764033456,100,82
1764033457,100,85
1764033458,100,77
1764033459,100,84
1764033460,100,74
1764033461,100,84
1764033462,100,79
1764033463,100,83
1764033464,100,79
1764033466,100,75
1764033467,100,81
1764033468,100,80
1764033469,100,81
1764033470,100,75
1764033471,100,83
1764033472,100,78
1764033473,100,81
1764033474,100,77
1764033475,100,83
1764033476,100,81
