timestamp,gpu_util_percent,memory_util_percent
1763884247,100,76
1763884248,100,77
1763884249,100,77
1763884250,100,76
1763884251,100,76
1763884252,100,76
1763884253,100,77
1763884254,100,76
1763884255,100,76
1763884256,100,77
1763884257,100,76
1763884258,100,76
1763884259,100,76
1763884260,100,76
1763884261,100,77
1763884262,100,78
1763884263,100,77
1763884264,100,77
1763884266,100,76
1763884267,100,77
1763884268,100,77
1763884269,100,77
1763884270,100,77
1763884271,100,76
1763884272,100,77
1763884273,100,76
1763884274,100,77
1763884275,100,75
1763884276,100,75
1763884277,100,73
1763884278,100,76
1763884279,100,76
1763884280,100,76
1763884281,100,76
1763884282,100,76
1763884283,100,77
1763884284,100,77
1763884285,100,76
1763884286,100,77
1763884287,100,76
1763884288,100,77
1763884289,100,77
1763884290,100,77
1763884291,100,77
1763884293,100,77
1763884294,100,76
1763884295,100,76
1763884296,100,77
1763884297,100,76
1763884298,100,77
1763884299,100,77
1763884300,100,77
1763884301,100,77
1763884302,100,76
1763884303,100,75
1763884304,100,75
1763884305,100,76
1763884306,100,77
1763884307,100,76
1763884308,100,76
1763884309,100,77
1763884310,100,75
1763884311,100,77
1763884312,100,76
1763884313,100,77
1763884314,100,77
1763884315,100,76
1763884316,100,77
1763884317,100,77
1763884318,100,76
1763884320,100,76
1763884321,100,77
1763884322,100,76
1763884323,100,76
1763884324,100,77
1763884325,100,77
1763884326,100,77
1763884327,100,77
1763884328,100,77
1763884329,100,76
1763884330,100,75
1763884331,100,74
1763884332,100,75
1763884333,100,76
1763884334,100,76
1763884335,100,77
1763884336,100,77
1763884337,100,76
1763884338,100,75
1763884339,100,76
1763884340,100,77
1763884341,100,78
1763884342,100,76
1763884343,100,76
1763884344,100,77
